,Players,Values,Team
317,Juan Brunet,$55Th.  ,granada cf
318,Yangel Herrera,$19.80m  ,granada cf
319,Luis Milla,$4.40m  ,granada cf
320,Domingos Quina,$3.30m  ,granada cf
321,Yan Eteki,$2.20m  ,granada cf
322,Ángel Montoro,$1.32m  ,granada cf
323,Ramon Azeez,$880Th.  ,granada cf
324,Eris Abedini,$330Th.  ,granada cf
325,Isma Ruiz,$330Th.  ,granada cf
326,Álvaro Bravo,$220Th.  ,granada cf
327,Kenedy,$11.00m  ,granada cf
328,Fede Vico,$1.32m  ,granada cf
329,Antonio Aranda,$220Th.  ,granada cf
330,Darwin Machís,$11.00m  ,granada cf
331,Dani Plomer,$110Th.  ,granada cf
332,Antonio Puertas,$5.50m  ,granada cf
333,Alberto Soro,$3.30m  ,granada cf
334,Jesús Rodríguez,$110Th.  ,granada cf
335,Luis Suárez,$11.00m  ,granada cf
336,Antoñín,$1.65m  ,granada cf
337,Jorge Molina,$1.65m  ,granada cf
338,Roberto Soldado,$1.32m  ,granada cf
339,Unai Simón,$22.00m  ,athletic bilbao
340,Iago Herrerín,$1.10m  ,athletic bilbao
341,Jokin Ezkieta,$330Th.  ,athletic bilbao
342,Unai Núñez,$22.00m  ,athletic bilbao
343,Iñigo Martínez,$22.00m  ,athletic bilbao
344,Yeray Álvarez,$22.00m  ,athletic bilbao
345,Aitor Paredes,$220Th.  ,athletic bilbao
346,Yuri Berchiche,$13.20m  ,athletic bilbao
347,Mikel Balenziaga,$1.32m  ,athletic bilbao
348,Ander Capa,$6.60m  ,athletic bilbao
349,Óscar de Marcos,$2.20m  ,athletic bilbao
350,Iñigo Lekue,$1.65m  ,athletic bilbao
351,Peru Nolaskoain,$3.30m  ,athletic bilbao
352,Mikel Vesga,$2.20m  ,athletic bilbao
353,Unai López,$13.20m  ,athletic bilbao
354,Unai Vencedor,$5.50m  ,athletic bilbao
355,Dani García,$3.30m  ,athletic bilbao
356,Oier Zarraga,$550Th.  ,athletic bilbao
357,Beñat Prados,$220Th.  ,athletic bilbao
358,Julen Bernaola,$55Th.  ,athletic bilbao
359,Iker Muniain,$13.20m  ,athletic bilbao
