,Players,Values,Team
293,Kieran Tierney,$35.20m  ,arsenal fc
294,Sead Kolasinac,$7.15m  ,arsenal fc
295,Joel López,0,arsenal fc
296,Héctor Bellerín,$27.50m  ,arsenal fc
297,Cédric Soares,$6.60m  ,arsenal fc
298,Thomas Partey,$44.00m  ,arsenal fc
299,Granit Xhaka,$24.20m  ,arsenal fc
300,Mohamed Elneny,$11.00m  ,arsenal fc
301,Dani Ceballos,$29.70m  ,arsenal fc
302,Joe Willock,$17.60m  ,arsenal fc
303,Miguel Azeez,$550Th.  ,arsenal fc
304,James Olayinka,0,arsenal fc
305,Ainsley Maitland-Niles,$17.60m  ,arsenal fc
306,Bukayo Saka,$71.50m  ,arsenal fc
307,Martin Ødegaard,$44.00m  ,arsenal fc
308,Emile Smith Rowe,$19.80m  ,arsenal fc
309,Ben Cottrell,$220Th.  ,arsenal fc
310,Gabriel Martinelli,$24.20m  ,arsenal fc
311,Nicolas Pépé,$38.50m  ,arsenal fc
312,Willian,$9.90m  ,arsenal fc
313,Reiss Nelson,$9.90m  ,arsenal fc
314,Alexandre Lacazette,$30.80m  ,arsenal fc
315,Pierre-Emerick Aubameyang,$27.50m  ,arsenal fc
316,Eddie Nketiah,$17.60m  ,arsenal fc
317,Folarin Balogun,$4.40m  ,arsenal fc
318,Tyreece John-Jules,0,arsenal fc
319,Illan Meslier,$22.00m  ,leeds united
320,Kiko Casilla,$880Th.  ,leeds united
321,Elia Caprile,$220Th.  ,leeds united
322,Diego Llorente,$22.00m  ,leeds united
323,Robin Koch,$18.70m  ,leeds united
324,Pascal Struijk,$9.90m  ,leeds united
325,Liam Cooper,$7.70m  ,leeds united
326,Oliver Casey,$275Th.  ,leeds united
327,Charlie Cresswell,$220Th.  ,leeds united
328,Ezgjan Alioski,$5.50m  ,leeds united
329,Barry Douglas,$1.65m  ,leeds united
330,Leif Davis,$880Th.  ,leeds united
331,Luke Ayling,$5.50m  ,leeds united
332,Stuart Dallas,$4.40m  ,leeds united
333,Gaetano Berardi,$330Th.  ,leeds united
334,Niall Huggins,$220Th.  ,leeds united
335,Cody Drameh,0,leeds united
336,Kalvin Phillips,$33.00m  ,leeds united
337,Ouasim Bouy,$275Th.  ,leeds united
338,Jack Jenkins,$165Th.  ,leeds united
339,Mateusz Klich,$4.40m  ,leeds united
340,Jamie Shackleton,$2.75m  ,leeds united
