,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Christian Gentner\Christian-Gentner,MF,Union Berlin,de Bundesliga,34,11.5,7.74,50.0
Yannick Gerhardt\Yannick-Gerhardt,MFFW,Wolfsburg,de Bundesliga,26,21.5,8.88,37.5
Valère Germain\Valere-Germain,FW,Marseille,fr Ligue 1,30,9.5,3.79,47.8
Gervinho\Gervinho,FW,Parma,it Serie A,33,22.5,4.13,0.0
Willem Geubbels\Willem-Geubbels,FWMF,Monaco,fr Ligue 1,18,3.3,7.27,50.0
Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,FWMF,Stuttgart,de Bundesliga,29,0.5,12.0,33.3
Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,eng Premier League,25,17.9,4.53,37.5
Paolo Ghiglione\Paolo-Ghiglione,DFMF,Genoa,it Serie A,23,15.1,5.96,47.2
Faouzi Ghoulam\Faouzi-Ghoulam,DFFW,Napoli,it Serie A,29,3.2,8.13,77.8
Kieran Gibbs\Kieran-Gibbs,DF,West Brom,eng Premier League,30,9.0,8.89,45.5
Morgan Gibbs-White\Morgan-Gibbs-White,MFFW,Wolves,eng Premier League,20,4.6,8.26,22.2
Niko Gießelmann\Niko-Giesselmann,DF,Union Berlin,de Bundesliga,28,4.8,7.92,59.1
Rafał Gikiewicz\Rafal-Gikiewicz,GK,Augsburg,de Bundesliga,32,34.0,6.53,
David Gil\David-Gil,GK,Cádiz,es La Liga,26,4.0,5.75,
Billy Gilmour\Billy-Gilmour,MF,Chelsea,eng Premier League,19,2.9,8.62,66.7
Álvaro Giménez\Alvaro-Gimenez,FWMF,Cádiz,es La Liga,29,4.5,4.00,40.8
Daniel Ginczek\Daniel-Ginczek,FWMF,Wolfsburg,de Bundesliga,29,2.4,9.17,62.5
Matthias Ginter\Matthias-Ginter,DF,M'Gladbach,de Bundesliga,26,34.0,9.94,61.8
Andrei Girotto\Andrei-Girotto,DFMF,Nantes,fr Ligue 1,28,29.6,11.5,61.0
Olivier Giroud\Olivier-Giroud,FW,Chelsea,eng Premier League,33,8.3,4.58,37.7
Robert Glatzel\Robert-Glatzel,FW,Mainz 05,de Bundesliga,26,4.0,9.00,35.9
Kamil Glik\Kamil-Glik,DF,Benevento,it Serie A,32,35.6,6.97,65.0
Serge Gnabry\Serge-Gnabry,FWMF,Bayern Munich,de Bundesliga,25,18.3,6.23,23.1
Ben Godfrey\Ben-Godfrey,DF,Everton,eng Premier League,22,29.8,7.99,66.4
Diego Godín\Diego-Godin,DF,Cagliari,it Serie A,34,27.9,9.50,67.5
Akaki Gogia\Akaki-Gogia,FWMF,Union Berlin,de Bundesliga,28,1.6,6.88,33.3
Amer Gojak\Amer-Gojak,MFFW,Torino,it Serie A,23,5.3,6.23,18.8
Edoardo Goldaniga\Edoardo-Goldaniga,DF,Genoa,it Serie A,26,20.6,6.65,49.2
Vladimir Golemić\Vladimir-Golemic,DF,Crotone,it Serie A,29,26.0,8.15,56.6
Pierluigi Gollini\Pierluigi-Gollini,GK,Atalanta,it Serie A,25,24.0,4.38,
Aleksandr Golovin\Aleksandr-Golovin,MFFW,Monaco,fr Ligue 1,24,11.9,7.39,39.3
Tomislav Gomelt\Tomislav-Gomelt,MF,Crotone,it Serie A,25,0.2,10.0,
André Gomes\Andre-Gomes,MF,Everton,eng Premier League,27,17.4,10.1,52.8
Dani Gómez\Dani-Gomez,FW,Levante,es La Liga,22,18.5,4.00,21.7
Ibai Gómez\Ibai-Gomez,MF,Athletic Club,es La Liga,30,4.7,4.68,50.0
Joe Gomez\Joe-Gomez,DF,Liverpool,eng Premier League,23,6.6,16.2,53.1
Maxi Gómez\Maxi-Gomez,FW,Valencia,es La Liga,23,29.9,3.21,52.1
Moi Gómez\Moi-Gomez,MFFW,Villarreal,es La Liga,26,28.5,6.74,22.4
Papu Gómez\Papu-Gomez,FWMF,Atalanta,it Serie A,32,7.4,8.65,40.0
Papu Gómez\Papu-Gomez,MFFW,Sevilla,es La Liga,32,10.2,5.59,43.8
Sergi Gómez\Sergi-Gomez,DF,Sevilla,es La Liga,28,8.0,6.38,51.1
Sergio Gómez\Sergio-Gomez,MFFW,Huesca,es La Liga,19,8.8,6.48,0.0
Alfred Gomis\Alfred-Gomis,GK,Dijon,fr Ligue 1,26,5.0,3.80,
Alfred Gomis\Alfred-Gomis,GK,Rennes,fr Ligue 1,26,22.0,4.95,
Maxime Gonalons\Maxime-Gonalons,MF,Granada,es La Liga,31,16.4,12.1,62.5
Vagner Gonçalves\Vagner-Goncalves,FWMF,Metz,fr Ligue 1,24,10.7,6.45,23.5
Álvaro González\Alvaro-Gonzalez,DF,Marseille,fr Ligue 1,30,31.5,8.41,57.5
Bruno González\Bruno-Gonzalez,DF,Valladolid,es La Liga,30,25.1,8.29,57.4
Diego González\Diego-Gonzalez,DF,Elche,es La Liga,25,14.2,7.54,64.9
Nicolás González\Nicolas-Gonzalez,FWDF,Stuttgart,de Bundesliga,22,10.4,5.38,54.2
Sergio González\Sergio-Gonzalez,MFDF,Cádiz,es La Liga,23,1.0,13.0,40.0
Urko González\Urko-Gonzalez,MF,Real Sociedad,es La Liga,19,0.5,12.0,50.0
Anthony Gordon\Anthony-Gordon,FWMF,Everton,eng Premier League,19,1.0,9.00,33.3
Leon Goretzka\Leon-Goretzka,MF,Bayern Munich,de Bundesliga,25,18.9,12.4,67.2
Andoni Gorosabel\Andoni-Gorosabel,DF,Real Sociedad,es La Liga,23,26.5,8.00,31.4
Robin Gosens\Robin-Gosens,DF,Atalanta,it Serie A,26,28.0,7.61,62.5
Amine Gouiri\Amine-Gouiri,FWMF,Nice,fr Ligue 1,20,30.5,4.56,40.8
Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,DF,Augsburg,de Bundesliga,29,31.5,10.3,48.4
Jonathan Gradit\Jonathan-Gradit,DF,Lens,fr Ligue 1,27,31.4,7.48,55.4
Karlan Grant\Karlan-Grant,FWMF,West Brom,eng Premier League,22,12.5,4.24,17.1
Alberto Grassi\Alberto-Grassi,MFDF,Parma,it Serie A,25,13.1,8.02,50.0
Andrew Gravillon\Andrew-Gravillon,DF,Lorient,fr Ligue 1,22,25.2,8.85,60.0
Demarai Gray\Demarai-Gray,FW,Leicester City,eng Premier League,24,0.2,10.0,
Demarai Gray\Demarai-Gray,FW,Leverkusen,de Bundesliga,24,4.9,5.92,0.0
Adrian Grbić\Adrian-Grbic,FW,Lorient,fr Ligue 1,23,10.7,4.77,42.3
Jack Grealish\Jack-Grealish,FWMF,Aston Villa,eng Premier League,24,24.3,8.19,37.5
Etienne Green\Etienne-Green,GK,Saint-Étienne,fr Ligue 1,20,8.0,5.25,
Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,eng Premier League,18,20.2,4.60,29.2
Michael Gregoritsch\Michael-Gregoritsch,FWMF,Augsburg,de Bundesliga,26,9.3,5.70,39.3
Clément Grenier\Clement-Grenier,MF,Rennes,fr Ligue 1,29,12.0,8.75,47.6
Sebastian Griesbeck\Sebastian-Griesbeck,MF,Union Berlin,de Bundesliga,29,9.9,8.18,32.6
Antoine Griezmann\Antoine-Griezmann,FWMF,Barcelona,es La Liga,29,28.9,4.60,50.0
Vincenzo Grifo\Vincenzo-Grifo,MFFW,Freiburg,de Bundesliga,27,25.7,6.42,37.5
Lennart Grill\Lennart-Grill,GK,Leverkusen,de Bundesliga,21,4.0,6.00,
Florian Grillitsch\Florian-Grillitsch,MFDF,Hoffenheim,de Bundesliga,24,20.9,12.7,50.8
Christian Groß\Christian-Gross,MFDF,Werder Bremen,de Bundesliga,31,16.3,10.7,50.0
Pascal Groß\Pascal-Gross,MFDF,Brighton,eng Premier League,29,27.6,8.22,31.9
Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,eng Premier League,32,1.6,8.75,0.0
Ilia Gruev\Ilia-Gruev,FW,Werder Bremen,de Bundesliga,20,0.0,0,
Carlos Gruezo\Carlos-Gruezo,MF,Augsburg,de Bundesliga,25,23.2,10.8,31.3
Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,eng Premier League,33,37.0,4.54,0.0
Andrés Guardado\Andres-Guardado,MF,Betis,es La Liga,33,14.6,11.2,47.7
Sergi Guardiola\Sergi-Guardiola,FW,Valladolid,es La Liga,29,19.9,4.77,36.8
Nemanja Gudelj\Nemanja-Gudelj,MFDF,Sevilla,es La Liga,28,11.6,7.07,58.3
Gonçalo Guedes\Goncalo-Guedes,MFFW,Valencia,es La Liga,23,25.4,5.35,42.4
Mattéo Guendouzi\Matteo-Guendouzi,MF,Hertha BSC,de Bundesliga,21,20.2,9.26,46.3
Raphaël Guerreiro\Raphael-Guerreiro,DF,Dortmund,de Bundesliga,26,24.6,9.27,38.5
Evann Guessand\Evann-Guessand,FW,Nice,fr Ligue 1,19,0.3,3.33,100.0
Kelyan Guessoum\Kelyan-Guessoum,DF,Nîmes,fr Ligue 1,21,12.5,6.24,56.5
Ander Guevara\Ander-Guevara,MF,Real Sociedad,es La Liga,23,23.1,12.0,52.4
Lamine Gueye\Lamine-Gueye,FWMF,Metz,fr Ligue 1,22,16.2,6.11,39.1
Pape Gueye\Pape-Gueye,MF,Marseille,fr Ligue 1,21,22.9,10.6,50.6
John Guidetti\John-Guidetti,FWMF,Alavés,es La Liga,28,2.3,3.48,63.6
Josuha Guilavogui\Josuha-Guilavogui,MFDF,Wolfsburg,de Bundesliga,29,8.3,13.9,64.5
Frederic Guilbert\Frederic-Guilbert,DF,Strasbourg,fr Ligue 1,25,12.4,9.11,52.8
Hugo Guillamón\Hugo-Guillamon,DF,Valencia,es La Liga,20,22.1,8.42,57.9
Bruno Guimarães\Bruno-Guimaraes,MF,Lyon,fr Ligue 1,22,19.5,10.3,60.0
Sehrou Guirassy\Sehrou-Guirassy,FW,Rennes,fr Ligue 1,24,19.6,3.32,52.8
Péter Gulácsi\Peter-Gulacsi,GK,RB Leipzig,de Bundesliga,30,33.0,6.00,0.0
Manuel Gulde\Manuel-Gulde,DF,Freiburg,de Bundesliga,29,21.7,8.62,58.0
Robert Gumny\Robert-Gumny,DF,Augsburg,de Bundesliga,22,15.3,7.78,40.9
İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,eng Premier League,29,22.5,7.56,46.7
Christian Günter\Christian-Gunter,DF,Freiburg,de Bundesliga,27,34.0,5.50,52.6
Koray Günter\Koray-Gunter,DF,Hellas Verona,it Serie A,25,19.6,13.4,63.1
Jon Guridi\Jon-Guridi,MF,Real Sociedad,es La Liga,25,9.2,7.50,43.8
Malo Gusto\Malo-Gusto,DFMF,Lyon,fr Ligue 1,17,0.0,0,
Raúl Guti\Raul-Guti,MF,Elche,es La Liga,23,31.8,8.52,38.5
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,DF,Cádiz,es La Liga,29,20.3,7.24,59.4
Miguel Gutiérrez\Miguel-Gutierrez,DF,Real Madrid,es La Liga,19,3.5,8.00,50.0
Emmanuel Gyasi\Emmanuel-Gyasi,FW,Spezia,it Serie A,26,31.7,4.92,30.7
Erling Haaland\Erling-Haaland,FW,Dortmund,de Bundesliga,20,26.7,3.60,48.1
Janik Haberer\Janik-Haberer,MFFW,Freiburg,de Bundesliga,26,5.4,12.6,25.0
Alexander Hack\Alexander-Hack,DF,Mainz 05,de Bundesliga,26,15.2,12.8,70.3
Antwoine Hackford\Antwoine-Hackford,FWDF,Sheffield Utd,eng Premier League,16,0.1,10.0,0.0
Munir El Haddadi\Munir-El-Haddadi,FW,Sevilla,es La Liga,24,9.4,7.77,41.7
André Hahn\Andre-Hahn,FWMF,Augsburg,de Bundesliga,29,22.6,4.42,39.2
Amadou Haidara\Amadou-Haidara,MFDF,RB Leipzig,de Bundesliga,22,21.2,10.0,48.2
Massadio Haïdara\Massadio-Haidara,DF,Lens,fr Ligue 1,27,23.7,7.68,56.8
Achraf Hakimi\Achraf-Hakimi,DF,Inter,it Serie A,21,29.6,5.57,31.7
Sébastien Haller\Sebastien-Haller,FW,West Ham,eng Premier League,26,10.4,3.46,43.9
Marcel Halstenberg\Marcel-Halstenberg,DF,RB Leipzig,de Bundesliga,28,18.3,11.5,67.5
Pierre-Yves Hamel\Pierre-Yves-Hamel,FW,Lorient,fr Ligue 1,26,9.4,3.83,48.3
Romain Hamouma\Romain-Hamouma,FW,Saint-Étienne,fr Ligue 1,33,19.7,6.19,32.9
Samir Handanović\Samir-Handanovic,GK,Inter,it Serie A,36,36.0,2.94,
Lukáš Haraslín\Lukas-Haraslin,FWMF,Sassuolo,it Serie A,24,3.7,5.14,66.7
Amine Harit\Amine-Harit,MFFW,Schalke 04,de Bundesliga,23,23.3,5.28,18.8
Rekeem Harper\Rekeem-Harper,MF,West Brom,eng Premier League,20,0.4,15.0,
Jack Harrison\Jack-Harrison,MF,Leeds United,eng Premier League,23,31.6,6.58,42.3
Marcel Hartel\Marcel-Hartel,MF,Arminia,de Bundesliga,24,18.7,9.84,42.1
Makoto Hasebe\Makoto-Hasebe,DFMF,Eint Frankfurt,de Bundesliga,36,25.4,12.2,54.7
Hans Hateboer\Hans-Hateboer,DF,Atalanta,it Serie A,26,19.6,5.92,59.6
Kortney Hause\Kortney-Hause,DF,Aston Villa,eng Premier League,25,7.0,10.1,77.0
Kai Havertz\Kai-Havertz,MFFW,Chelsea,eng Premier League,21,16.9,6.57,47.2
Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,eng Premier League,25,21.6,10.0,59.8
Eden Hazard\Eden-Hazard,FWMF,Real Madrid,es La Liga,29,5.9,4.58,37.5
Thorgan Hazard\Thorgan-Hazard,FWMF,Dortmund,de Bundesliga,27,7.3,7.95,13.3
Jonas Hector\Jonas-Hector,MF,Köln,de Bundesliga,30,14.3,8.46,50.0
Michael Hector\Michael-Hector,DF,Fulham,eng Premier League,28,2.9,8.62,62.5
Hwang Hee-chan\Hwang-Hee-chan,FWMF,RB Leipzig,de Bundesliga,24,5.1,5.49,31.3
Ahmed Hegazi\Ahmed-Hegazi,DF,West Brom,eng Premier League,29,1.0,21.0,72.7
Dominique Heintz\Dominique-Heintz,DF,Freiburg,de Bundesliga,26,15.2,9.74,62.8
Dean Henderson\Dean-Henderson,GK,Manchester Utd,eng Premier League,23,12.5,4.00,
Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,eng Premier League,30,18.9,12.7,70.0
Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,eng Premier League,28,15.8,8.73,34.1
Benjamin Henrichs\Benjamin-Henrichs,DFMF,RB Leipzig,de Bundesliga,23,6.0,9.50,54.5
Dalbert Henrique\Dalbert-Henrique,DF,Rennes,fr Ligue 1,26,4.1,10.5,60.0
Eduardo Henrique\Eduardo-Henrique,MF,Crotone,it Serie A,25,10.3,8.06,40.0
Luis Henrique\Luis-Henrique,DFFW,Marseille,fr Ligue 1,18,7.5,7.47,75.0
Christophe Hérelle\Christophe-Herelle,DF,Brest,fr Ligue 1,27,15.3,9.02,68.3
Jérôme Hergault\Jerome-Hergault,DF,Lorient,fr Ligue 1,34,18.1,7.24,50.0
Mario Hermoso\Mario-Hermoso,DF,Atlético Madrid,es La Liga,25,28.6,8.29,52.8
Aridane Hernández\Aridane-Hernandez,DF,Osasuna,es La Liga,31,22.5,10.3,71.4
Lucas Hernández\Lucas-Hernandez,DF,Bayern Munich,de Bundesliga,24,17.7,10.2,72.1
Pablo Hernández\Pablo-Hernandez,MFFW,Leeds United,eng Premier League,35,4.7,10.9,0.0
Theo Hernández\Theo-Hernandez,DF,Milan,it Serie A,22,32.6,8.44,66.3
Hernani\Hernani,MF,Parma,it Serie A,26,24.3,7.74,59.0
Ander Herrera\Ander-Herrera,MF,Paris S-G,fr Ligue 1,30,20.6,7.57,44.8
Héctor Herrera\Hector-Herrera,MF,Atlético Madrid,es La Liga,30,7.6,12.1,57.1
Sergio Herrera\Sergio-Herrera,GK,Osasuna,es La Liga,27,32.9,6.84,
Yangel Herrera\Yangel-Herrera,MF,Granada,es La Liga,22,25.7,10.4,52.1
Patrick Herrmann\Patrick-Herrmann,FW,M'Gladbach,de Bundesliga,29,9.7,7.73,26.7
Pablo Hervías\Pablo-Hervias,DFMF,Valladolid,es La Liga,27,13.4,8.88,47.8
Përparim Hetemaj\Perparim-Hetemaj,MF,Benevento,it Serie A,33,24.6,8.70,30.4
Son Heung-min\Son-Heung-min,FW,Tottenham,eng Premier League,28,34.6,4.65,26.4
Aaron Hickey\Aaron-Hickey,DF,Bologna,it Serie A,18,8.4,9.40,42.9
Vitorino Hilton\Vitorino-Hilton,DF,Montpellier,fr Ligue 1,42,23.5,8.85,63.0
Martin Hinteregger\Martin-Hinteregger,DF,Eint Frankfurt,de Bundesliga,27,28.1,14.0,75.1
Marwin Hitz\Marwin-Hitz,GK,Dortmund,de Bundesliga,32,15.5,4.45,
Wesley Hoedt\Wesley-Hoedt,DF,Lazio,it Serie A,26,10.6,10.3,67.9
Ki-Jana Hoever\Ki-Jana-Hoever,DF,Wolves,eng Premier League,18,6.4,9.84,42.1
Nicolas Höfler\Nicolas-Hofler,MF,Freiburg,de Bundesliga,30,30.3,11.7,61.5
Jonas Hofmann\Jonas-Hofmann,FWMF,M'Gladbach,de Bundesliga,28,20.2,7.08,40.0
Marco Höger\Marco-Hoger,DFMF,Köln,de Bundesliga,30,0.6,15.0,33.3
Rob Holding\Rob-Holding,DF,Arsenal,eng Premier League,24,28.4,8.73,56.0
Lucas Höler\Lucas-Holer,FWMF,Freiburg,de Bundesliga,26,23.2,6.21,49.7
Mason Holgate\Mason-Holgate,DF,Everton,eng Premier League,23,25.4,7.91,64.6
Jordan Holsgrove\Jordan-Holsgrove,MF,Celta Vigo,es La Liga,20,1.6,5.63,
Franck Honorat\Franck-Honorat,MFFW,Brest,fr Ligue 1,23,27.3,6.12,42.3
Matthew Hoppe\Matthew-Hoppe,FW,Schalke 04,de Bundesliga,19,14.5,3.72,26.0
Jannes Horn\Jannes-Horn,DF,Köln,de Bundesliga,23,19.6,8.47,54.4
Timo Horn\Timo-Horn,GK,Köln,de Bundesliga,27,33.4,5.75,
Fraser Hornby\Fraser-Hornby,FW,Reims,fr Ligue 1,20,0.4,2.50,50.0
Conor Hourihane\Conor-Hourihane,MF,Aston Villa,eng Premier League,29,2.5,4.80,100.0
Lukáš Hrádecký\Lukas-Hradecky,GK,Leverkusen,de Bundesliga,30,28.5,6.04,100.0
Ajdin Hrustic\Ajdin-Hrustic,MFFW,Eint Frankfurt,de Bundesliga,24,3.0,11.0,40.0
Florian Hübner\Florian-Hubner,DF,Union Berlin,de Bundesliga,29,5.8,10.7,67.6
Callum Hudson-Odoi\Callum-Hudson-Odoi,FWDF,Chelsea,eng Premier League,19,11.8,6.19,31.3
Niall Huggins\Niall-Huggins,DF,Leeds United,eng Premier League,19,0.4,17.5,
Mats Hummels\Mats-Hummels,DF,Dortmund,de Bundesliga,31,31.3,13.2,74.6
Adrien Hunou\Adrien-Hunou,FWMF,Rennes,fr Ligue 1,26,6.5,3.38,37.5
Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,FW,Schalke 04,de Bundesliga,36,6.5,2.77,43.8
Elseid Hysaj\Elseid-Hysaj,DF,Napoli,it Serie A,26,19.6,7.96,50.0
Pierre Højbjerg\Pierre-Hojbjerg,MF,Tottenham,eng Premier League,24,38.0,11.3,56.5
Simone Iacoponi\Simone-Iacoponi,DF,Parma,it Serie A,33,13.3,7.74,55.0
Iago\Iago,DF,Augsburg,de Bundesliga,23,17.3,9.08,40.7
Roger Ibanez\Roger-Ibanez,DF,Roma,it Serie A,21,26.6,10.3,66.3
Vedad Ibišević\Vedad-Ibisevic,FW,Schalke 04,de Bundesliga,35,1.7,0.59,46.2
Vicente Iborra\Vicente-Iborra,MF,Villarreal,es La Liga,32,10.3,9.13,51.3
Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,MF,Dijon,fr Ligue 1,26,29.0,9.07,57.9
Zlatan Ibrahimović\Zlatan-Ibrahimovic,FW,Milan,it Serie A,38,16.6,3.80,62.2
Mauro Icardi\Mauro-Icardi,FW,Paris S-G,fr Ligue 1,27,12.0,2.92,51.7
Oussama Idrissi\Oussama-Idrissi,FWMF,Sevilla,es La Liga,24,0.3,10.0,0.0
Blendi Idrizi\Blendi-Idrizi,MF,Schalke 04,de Bundesliga,22,2.6,9.23,15.4
Odion Ighalo\Odion-Ighalo,FW,Manchester Utd,eng Premier League,31,0.1,0.00,0.0
Iglesias\Iglesias,DFMF,Getafe,es La Liga,22,6.7,8.36,52.4
Borja Iglesias\Borja-Iglesias,FW,Betis,es La Liga,27,15.7,3.76,33.8
Igor\Igor,DF,Fiorentina,it Serie A,22,13.0,7.69,51.5
Kelechi Iheanacho\Kelechi-Iheanacho,FW,Leicester City,eng Premier League,23,16.2,4.38,17.3
Jonathan Ikone\Jonathan-Ikone,MFFW,Lille,fr Ligue 1,22,24.2,4.79,31.7
Yun Il-lok\Yun-Il-lok,MFFW,Montpellier,fr Ligue 1,28,3.5,8.29,50.0
Ilaix\Ilaix,MF,Barcelona,es La Liga,17,6.0,6.33,52.4
Ivan Ilić\Ivan-Ilic,MF,Hellas Verona,it Serie A,19,20.4,12.1,52.5
Josip Iličić\Josip-Ilicic,FWMF,Atalanta,it Serie A,32,17.0,5.65,4.2
Asier Illarramendi\Asier-Illarramendi,MF,Real Sociedad,es La Liga,30,3.7,6.49,41.7
Stefan Ilsanker\Stefan-Ilsanker,MFDF,Eint Frankfurt,de Bundesliga,31,17.5,13.4,57.6
Ciro Immobile\Ciro-Immobile,FW,Lazio,it Serie A,30,31.7,4.76,31.7
Riccardo Improta\Riccardo-Improta,MFDF,Benevento,it Serie A,26,25.9,6.22,51.5
Roberto Inglese\Roberto-Inglese,FW,Parma,it Serie A,28,6.4,3.59,40.7
Danny Ings\Danny-Ings,FW,Southampton,eng Premier League,28,24.1,4.52,25.3
Marcus Ingvartsen\Marcus-Ingvartsen,MFFW,Union Berlin,de Bundesliga,24,21.8,6.97,48.0
Lorenzo Insigne\Lorenzo-Insigne,FW,Napoli,it Serie A,29,31.8,6.73,50.0
Roberto Insigne\Roberto-Insigne,MFFW,Benevento,it Serie A,26,17.8,6.01,24.1
Pablo Insua\Pablo-Insua,DF,Huesca,es La Liga,26,17.6,7.33,60.8
Takashi Inui\Takashi-Inui,MFFW,Eibar,es La Liga,32,20.2,5.74,23.9
Artur Ioniță\Artur-Ionita,MF,Benevento,it Serie A,29,31.5,7.62,44.4
Alexander Isak\Alexander-Isak,FW,Real Sociedad,es La Liga,20,26.0,2.85,35.9
Isco\Isco,MFFW,Real Madrid,es La Liga,28,10.1,5.15,27.8
Ardian Ismajli\Ardian-Ismajli,DF,Spezia,it Serie A,23,14.4,8.68,62.3
Branislav Ivanović\Branislav-Ivanovic,DF,West Brom,eng Premier League,36,8.5,9.88,59.4
Alex Iwobi\Alex-Iwobi,FWDF,Everton,eng Premier League,24,17.1,6.90,33.3
Jairo Izquierdo\Jairo-Izquierdo,MFDF,Cádiz,es La Liga,26,14.2,9.08,38.1
José Izquierdo\Jose-Izquierdo,DF,Brighton,eng Premier League,28,0.1,10.0,
Armando Izzo\Armando-Izzo,DF,Torino,it Serie A,28,22.3,8.74,65.1
Phil Jagielka\Phil-Jagielka,DF,Sheffield Utd,eng Premier League,37,5.8,7.76,60.0
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,FWMF,Brighton,eng Premier League,26,5.9,6.95,23.5
Mato Jajalo\Mato-Jajalo,MF,Udinese,it Serie A,32,0.4,10.0,
Ismail Jakobs\Ismail-Jakobs,DFMF,Köln,de Bundesliga,20,19.2,7.29,58.1
Daniel James\Daniel-James,FW,Manchester Utd,eng Premier League,22,10.1,5.84,31.6
Reece James\Reece-James,DF,Chelsea,eng Premier League,20,26.4,8.18,56.3
Alexandre Jankewitz\Alexandre-Jankewitz,MF,Southampton,eng Premier League,18,0.0,1,
Saidy Janko\Saidy-Janko,DF,Valladolid,es La Liga,24,13.6,6.91,67.4
Jakub Jankto\Jakub-Jankto,MF,Sampdoria,it Serie A,24,26.8,7.01,25.0
Tony Jantschke\Tony-Jantschke,DF,M'Gladbach,de Bundesliga,30,3.0,11.7,66.7
Adnan Januzaj\Adnan-Januzaj,FWMF,Real Sociedad,es La Liga,25,11.3,6.11,47.6
Rune Jarstein\Rune-Jarstein,GK,Hertha BSC,de Bundesliga,35,8.0,4.88,
Jason\Jason,MFDF,Valencia,es La Liga,26,4.9,6.94,28.6
Luis Javier Suárez\Luis-Javier-Suarez,FWMF,Granada,es La Liga,22,18.5,4.27,26.9
Corentin Jean\Corentin-Jean,FWMF,Lens,fr Ligue 1,25,6.4,4.38,22.7
Daniel Jebbison\Daniel-Jebbison,FW,Sheffield Utd,eng Premier League,17,3.2,5.00,19.2
Tin Jedvaj\Tin-Jedvaj,DF,Leverkusen,de Bundesliga,24,1.7,4.71,60.0
Fredrik Jensen\Fredrik-Jensen,FWMF,Augsburg,de Bundesliga,22,4.2,8.10,18.2
Jesé\Jese,FW,Paris S-G,fr Ligue 1,27,0.3,3.33,
Gabriel Jesus\Gabriel-Jesus,FW,Manchester City,eng Premier League,23,22.9,4.50,18.4
Juan Jesus\Juan-Jesus,DF,Roma,it Serie A,29,1.7,7.06,50.0
Raúl Jiménez\Raul-Jimenez,FW,Wolves,eng Premier League,29,9.1,4.95,47.2
Joaquín\Joaquin,FWMF,Betis,es La Liga,39,14.3,5.59,40.0
John Joe\John-Joe,MFDF,Getafe,es La Liga,16,0.7,10.0,25.0
Joelinton\Joelinton,FWMF,Newcastle Utd,eng Premier League,23,22.0,6.14,46.0
Marco John\Marco-John,DF,Hoffenheim,de Bundesliga,18,11.1,8.74,33.3
Ben Johnson\Ben-Johnson,DF,West Ham,eng Premier League,20,5.8,7.59,45.5
Sam Johnstone\Sam-Johnstone,GK,West Brom,eng Premier League,27,37.0,5.30,
Curtis Jones\Curtis-Jones,MF,Liverpool,eng Premier League,19,13.1,9.24,36.4
Frenkie de Jong\Frenkie-de-Jong,MFDF,Barcelona,es La Liga,23,35.0,8.57,62.5
Luuk de Jong\Luuk-de-Jong,FW,Sevilla,es La Liga,29,14.1,4.33,51.1
Jony\Jony,MFFW,Osasuna,es La Liga,29,9.7,7.11,50.0
Joan Jordán\Joan-Jordan,MF,Sevilla,es La Liga,26,26.7,9.03,46.2
Jorginho\Jorginho,MF,Chelsea,eng Premier League,28,22.3,9.91,48.5
Josan\Josan,MFDF,Elche,es La Liga,30,21.4,6.78,61.9
Willian José\Willian-Jose,FW,Wolves,eng Premier League,28,12.3,4.47,42.3
Willian José\Willian-Jose,FW,Real Sociedad,es La Liga,28,7.7,3.51,40.0
Joselu\Joselu,FW,Alavés,es La Liga,30,33.6,4.79,65.7
Josema\Josema,DF,Elche,es La Liga,24,21.8,6.83,54.4
Jota\Jota,FW,Valladolid,es La Liga,21,7.4,,
Jota\Jota,MF,Alavés,es La Liga,29,15.5,6.90,33.3
Diogo Jota\Diogo-Jota,FW,Liverpool,eng Premier League,23,12.4,6.13,26.9
Stevan Jovetić\Stevan-Jovetic,FWMF,Monaco,fr Ligue 1,30,8.9,7.98,38.2
Luka Jović\Luka-Jovic,FWMF,Real Madrid,es La Liga,22,1.7,4.12,42.9
Luka Jović\Luka-Jovic,FWMF,Eint Frankfurt,de Bundesliga,22,9.9,3.43,39.0
Juanmi\Juanmi,FWMF,Betis,es La Liga,27,6.7,4.33,40.7
Hamed Junior Traorè\Hamed-Junior-Traore,FWMF,Sassuolo,it Serie A,20,19.9,6.43,38.9
Vinicius Júnior\Vinicius-Junior,FW,Real Madrid,es La Liga,20,21.9,5.07,25.0
