,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Values,Team
50,Etienne Green,GK,Saint-Étienne,fr Ligue 1,20.0,8.0,8.0,720.0,8.0,8.0,1.0,24.0,18.0,75.0,4.0,1.0,3.0,3.0,37.5,2.0,1.0,0.0,0.0,8.5,0.27,0.5,0.06,44.0,129.0,34.1,75.0,5.0,6.7,5.0,0.63,13.3,3850000.0,as saint etienne
51,Lennart Grill,GK,Leverkusen,de Bundesliga,21.0,4.0,4.0,360.0,4.0,7.0,1.75,20.0,13.0,65.0,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,6.3,0.32,-0.7,-0.16,10.0,25.0,40.0,23.0,3.0,13.0,4.0,1.0,15.9,1650000.0,bayer 04 leverkusen
52,Vicente Guaita,GK,Crystal Palace,eng Premier League,33.0,37.0,37.0,3330.0,37.0,64.0,1.73,168.0,105.0,63.7,11.0,8.0,18.0,8.0,21.6,3.0,1.0,9.0,0.0,61.8,0.36,-2.2,-0.06,253.0,721.0,35.1,367.0,26.0,7.1,15.0,0.41,13.1,2200000.0,crystal palace
53,Péter Gulácsi,GK,RB Leipzig,de Bundesliga,30.0,33.0,33.0,2970.0,33.0,30.0,0.91,77.0,48.0,64.9,19.0,8.0,6.0,15.0,45.5,3.0,0.0,2.0,0.0,24.5,0.29,-5.5,-0.17,137.0,275.0,49.8,186.0,12.0,6.5,53.0,1.61,18.7,14300000.0,rb leipzig
54,Dean Henderson,GK,Manchester Utd,eng Premier League,23.0,13.0,12.0,1125.0,12.5,12.0,0.96,50.0,38.0,76.0,9.0,2.0,1.0,4.0,33.3,0.0,0.0,4.0,0.0,12.3,0.26,0.3,0.02,41.0,110.0,37.3,105.0,9.0,8.6,14.0,1.12,15.3,24200000.0,manchester united
55,Timo Horn,GK,Köln,de Bundesliga,27.0,34.0,34.0,3009.0,33.4,59.0,1.76,150.0,98.0,65.3,8.0,9.0,17.0,5.0,14.7,7.0,1.0,6.0,0.0,52.6,0.3,-6.4,-0.19,272.0,601.0,45.3,269.0,9.0,3.3,23.0,0.69,14.1,4400000.0,1 fc koln
56,Rune Jarstein,GK,Hertha BSC,de Bundesliga,35.0,8.0,8.0,720.0,8.0,13.0,1.62,31.0,20.0,61.3,2.0,1.0,5.0,1.0,12.5,1.0,0.0,2.0,1.0,10.1,0.28,-1.9,-0.24,60.0,153.0,39.2,75.0,7.0,9.3,4.0,0.5,12.8,550000.0,hertha bsc
57,Sam Johnstone,GK,West Brom,eng Premier League,27.0,37.0,37.0,3330.0,37.0,74.0,2.0,228.0,161.0,70.6,4.0,11.0,22.0,6.0,16.2,7.0,2.0,13.0,3.0,75.3,0.3,4.3,0.12,336.0,961.0,35.0,348.0,25.0,7.2,26.0,0.7,14.5,8800000.0,west bromwich albion
58,Bingourou Kamara,GK,Strasbourg,fr Ligue 1,23.0,8.0,8.0,720.0,8.0,14.0,1.75,31.0,19.0,58.1,2.0,0.0,6.0,2.0,25.0,1.0,0.0,1.0,1.0,9.7,0.28,-3.3,-0.41,63.0,142.0,44.4,58.0,3.0,5.2,1.0,0.13,12.9,880000.0,rc strasbourg alsace
59,Eiji Kawashima,GK,Strasbourg,fr Ligue 1,37.0,24.0,24.0,2160.0,24.0,31.0,1.29,91.0,62.0,69.2,8.0,7.0,9.0,8.0,33.3,3.0,1.0,3.0,0.0,29.5,0.31,-1.5,-0.06,199.0,421.0,47.3,204.0,12.0,5.9,5.0,0.21,11.5,385000.0,rc strasbourg alsace
