Player,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,23.3,33,1.42,23,0,2,2,5,1,7,0.30,5,0,0,1,1,0
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,8.8,3,0.34,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,49,1.30,38,2,3,2,3,1,4,0.11,4,0,0,0,0,0
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,42,1.73,40,1,0,0,0,1,4,0.16,4,0,0,0,0,0
Ludovic Baal\Ludovic-Baal,DF,Brest,fr Ligue 1,34,3.3,7,2.13,5,1,0,0,0,1,1,0.30,1,0,0,0,0,0
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,13,1.49,9,0,3,1,0,0,2,0.23,1,0,1,0,0,0
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,19,0.66,16,0,2,1,0,0,0,0.00,0,0,0,0,0,0
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,53,1.98,46,1,0,0,3,3,6,0.22,5,0,0,0,1,0
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,3,1.97,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,14,2.32,8,2,0,2,1,1,0,0.00,0,0,0,0,0,0
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,26,1.45,16,0,4,2,2,2,5,0.28,4,0,1,0,0,0
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,98,4.12,56,15,10,7,9,1,14,0.59,7,4,1,1,0,1
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,3,0.29,3,0,0,0,0,0,1,0.10,1,0,0,0,0,0
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
