,,,,,,Pass,Pass,Pass,Pass
Player,Pos,Squad,Comp,Age,90s,TB,Press,Sw,Crs
,,,,,,,,,
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,de Bundesliga,25,12.3,0.08,4.80,0.98,4.31
Timo Becker\Timo-Becker,DF,Schalke 04,de Bundesliga,23,18.2,0.00,5.77,0.77,1.10
Jan Bednarek\Jan-Bednarek,DF,Southampton,eng Premier League,24,34.4,0.03,7.27,0.87,0.00
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,eng Premier League,23,5.8,0.00,7.59,0.69,0.69
Valon Behrami\Valon-Behrami,MF,Genoa,it Serie A,35,9.9,0.10,4.24,0.10,0.20
Brian Behrendt\Brian-Behrendt,DF,Arminia,de Bundesliga,28,0.9,0.00,10.0,5.56,1.11
Maximilian Beier\Maximilian-Beier,FWDF,Hoffenheim,de Bundesliga,17,0.1,0.00,20.0,0.00,0.00
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,de Bundesliga,28,6.6,0.15,4.39,0.00,0.61
Erwan Belhadji\Erwan-Belhadji,MF,Dijon,fr Ligue 1,19,0.3,0.00,3.33,0.00,0.00
Haris Belkebla\Haris-Belkebla,MF,Brest,fr Ligue 1,26,30.3,0.07,6.90,0.92,0.43
Stefan Bell\Stefan-Bell,DF,Mainz 05,de Bundesliga,28,14.1,0.00,5.53,0.78,0.14
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,de Bundesliga,30,8.9,0.00,7.53,1.57,5.73
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,fr Ligue 1,22,23.2,0.09,6.34,1.47,1.42
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,eng Premier League,25,23.2,0.09,7.80,0.60,2.20
Jude Bellingham\Jude-Bellingham,MF,Dortmund,de Bundesliga,17,18.9,0.11,8.62,1.64,1.11
Andrea Belotti\Andrea-Belotti,FW,Torino,it Serie A,26,32.1,0.31,6.36,0.84,0.69
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,es La Liga,21,15.5,0.00,7.29,1.16,0.26
Sami Ben Amar\Sami-Ben-Amar,MF,Nîmes,fr Ligue 1,22,0.1,0.00,0.00,0.00,0.00
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,fr Ligue 1,33,18.9,0.11,9.42,2.59,1.96
Salim Ben Seghir\Salim-Ben-Seghir,DF,Nice,fr Ligue 1,17,0.1,0.00,10.0,0.00,0.00
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,fr Ligue 1,29,29.0,0.34,7.17,0.41,0.76
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,13.5,0.00,8.59,1.70,1.19
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,0.5,0.00,6.00,2.00,0.00
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,10.4,0.10,9.71,1.35,0.87
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,13.0,0.00,6.62,1.38,0.31
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,17.5,0.17,4.06,1.03,0.86
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,7.3,0.00,11.4,1.64,1.37
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,1.7,0.00,5.88,2.35,1.18
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38.0,0.00,3.08,0.55,0.00
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,29.5,0.03,6.10,0.37,1.12
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,0.0,0,0,0,0
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,0.8,0.00,10.0,2.50,5.00
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,1.7,0.00,3.53,4.12,0.00
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,14.7,0.07,9.39,1.97,0.48
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,15.5,0.19,5.29,0.65,2.52
Yassine Benrahou\Yassine-Benrahou,MF,Nîmes,fr Ligue 1,21,13.8,0.29,5.87,2.68,2.32
Ramy Bensebaini\Ramy-Bensebaini,DF,M'Gladbach,de Bundesliga,25,20.1,0.05,6.92,1.09,0.70
Josh Benson\Josh-Benson,MF,Burnley,eng Premier League,20,2.9,0.00,4.83,0.00,1.38
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,de Bundesliga,25,6.1,0.00,7.87,1.48,0.16
Rodrigo Bentancur\Rodrigo-Bentancur,MF,Juventus,it Serie A,23,25.8,0.19,10.7,2.05,0.31
Christian Benteke\Christian-Benteke,FW,Crystal Palace,eng Premier League,29,20.2,0.05,13.7,0.20,0.30
Karim Benzema\Karim-Benzema,FW,Real Madrid,es La Liga,32,32.2,0.25,6.58,0.62,0.81
Yassine Benzia\Yassine-Benzia,MFFW,Dijon,fr Ligue 1,25,4.5,0.00,10.9,2.22,1.56
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,0.3,0.00,6.67,0.00,0.00
Domenico Berardi\Domenico-Berardi,FWMF,Sassuolo,it Serie A,25,27.5,0.25,8.80,1.96,2.33
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,eng Premier League,31,1.3,0.77,2.31,0.77,0.77
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,es La Liga,30,18.7,0.05,5.45,2.14,3.42
Álex Berenguer\Alex-Berenguer,MF,Torino,it Serie A,25,1.5,0.00,7.33,2.00,1.33
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,es La Liga,25,25.3,0.16,5.77,1.38,2.49
Bartosz Bereszyński\Bartosz-Bereszynski,DF,Sampdoria,it Serie A,28,29.0,0.00,5.34,0.66,1.00
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,eng Premier League,29,15.1,0.07,7.02,1.19,1.59
Sander Berge\Sander-Berge,MF,Sheffield Utd,eng Premier League,22,12.4,0.08,5.89,0.97,1.45
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,eng Premier League,22,13.4,0.00,5.52,0.30,0.90
Valon Berisha\Valon-Berisha,MF,Reims,fr Ligue 1,27,18.3,0.11,6.67,3.93,1.09
Bernard\Bernard,MFFW,Everton,eng Premier League,27,5.1,0.00,6.08,0.39,1.76
Federico Bernardeschi\Federico-Bernardeschi,DFMF,Juventus,it Serie A,26,10.8,0.00,5.93,2.13,3.89
Bernardo\Bernardo,DFMF,Brighton,eng Premier League,25,2.3,0.00,5.65,0.43,1.74
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38.0,0.00,1.47,0.74,0.00
Juan Bernat\Juan-Bernat,DF,Paris S-G,fr Ligue 1,27,2.2,0.91,2.73,0.45,0.45
Dimitry Bertaud\Dimitry-Bertaud,GK,Montpellier,fr Ligue 1,22,8.3,0.00,1.93,1.57,0.00
Marco Bertini\Marco-Bertini,MF,Lazio,it Serie A,17,0.1,0.00,10.0,0.00,0.00
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,eng Premier League,30,28.9,0.03,5.74,0.73,1.97
Daniel Bessa\Daniel-Bessa,MFFW,Hellas Verona,it Serie A,27,6.8,0.15,7.94,0.74,1.62
Loïc Bessile\Loic-Bessile,DF,Bordeaux,fr Ligue 1,21,1.0,0.00,3.00,2.00,0.00
Louis Beyer\Louis-Beyer,DF,M'Gladbach,de Bundesliga,20,2.1,0.00,8.10,0.48,0.00
Bartosz Bialek\Bartosz-Bialek,FWMF,Wolfsburg,de Bundesliga,18,3.0,0.00,8.33,1.00,0.00
Giulian Biancone\Giulian-Biancone,DFMF,Monaco,fr Ligue 1,20,1.0,0.00,12.0,5.00,8.00
Ermin Bičakčić\Ermin-Bicakcic,DF,Hoffenheim,de Bundesliga,30,1.4,0.00,4.29,0.00,0.00
Pedro Bigas\Pedro-Bigas,DF,Eibar,es La Liga,29,17.0,0.00,4.82,2.35,0.35
El Bilal Touré\El-Bilal-Toure,FWMF,Reims,fr Ligue 1,18,13.8,0.14,6.88,0.14,0.14
Cristiano Biraghi\Cristiano-Biraghi,DF,Fiorentina,it Serie A,27,31.1,0.10,3.89,2.60,5.24
Davide Biraschi\Davide-Biraschi,DF,Genoa,it Serie A,26,10.2,0.00,5.88,0.98,0.78
Yves Bissouma\Yves-Bissouma,MF,Brighton,eng Premier League,23,34.6,0.14,7.66,1.27,0.23
Leonardo Bittencourt\Leonardo-Bittencourt,MFFW,Werder Bremen,de Bundesliga,26,16.8,0.06,7.32,1.49,2.38
Blanco\Blanco,MFDF,Real Madrid,es La Liga,20,2.4,0.00,4.58,3.33,1.25
Alejandro Blanco\Alejandro-Blanco,MF,Valencia,es La Liga,21,6.4,0.00,3.44,0.31,0.94
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,es La Liga,25,18.2,0.00,2.47,0.88,0.00
Ludovic Blas\Ludovic-Blas,MFFW,Nantes,fr Ligue 1,22,31.0,0.10,5.94,1.58,0.74
Alejandro Blesa\Alejandro-Blesa,MF,Levante,es La Liga,18,0.1,0.00,0.00,0.00,0.00
Jérôme Boateng\Jerome-Boateng,DF,Bayern Munich,de Bundesliga,31,26.3,0.00,5.86,2.66,0.34
Antonin Bobichon\Antonin-Bobichon,MFFW,Angers,fr Ligue 1,24,10.1,0.20,10.0,2.67,1.68
Yann Bodiger\Yann-Bodiger,MF,Cádiz,es La Liga,25,2.8,0.00,7.14,1.07,0.36
Jean-Paul Boëtius\Jean-Paul-Boetius,MFFW,Mainz 05,de Bundesliga,26,22.9,0.22,6.59,1.09,1.27
Sacha Boey\Sacha-Boey,DF,Dijon,fr Ligue 1,19,20.7,0.00,4.78,0.87,1.79
Sacha Boey\Sacha-Boey,DF,Rennes,fr Ligue 1,19,1.4,0.00,8.57,0.00,1.43
Jeremie Boga\Jeremie-Boga,FWMF,Sassuolo,it Serie A,23,19.8,0.05,7.58,0.35,1.01
Melayro Bogarde\Melayro-Bogarde,DFMF,Hoffenheim,de Bundesliga,18,3.1,0.00,5.81,2.90,0.00
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,eng Premier League,20,12.3,0.16,5.12,0.08,0.98
Quentin Boisgard\Quentin-Boisgard,MFFW,Lorient,fr Ligue 1,23,14.6,0.07,7.05,2.05,2.53
Willy Boly\Willy-Boly,DF,Wolves,eng Premier League,29,20.9,0.00,5.17,0.53,0.00
Giacomo Bonaventura\Giacomo-Bonaventura,MF,Fiorentina,it Serie A,30,25.1,0.04,7.81,1.24,0.80
Federico Bonazzoli\Federico-Bonazzoli,FW,Sampdoria,it Serie A,23,1.5,0.00,4.67,0.67,0.00
Federico Bonazzoli\Federico-Bonazzoli,FW,Torino,it Serie A,23,6.3,0.00,5.87,1.90,0.48
Kevin Bonifazi\Kevin-Bonifazi,DF,Udinese,it Serie A,24,27.4,0.00,5.44,0.73,0.15
Leonardo Bonucci\Leonardo-Bonucci,DF,Juventus,it Serie A,33,22.5,0.04,4.31,1.87,0.09
Elias Bördner\Elias-Bordner,GK,Eint Frankfurt,de Bundesliga,18,1.0,0.00,3.00,0.00,0.00
Dennis Borkowski\Dennis-Borkowski,MFFW,RB Leipzig,de Bundesliga,18,0.1,0.00,10.0,0.00,0.00
Sebastiaan Bornauw\Sebastiaan-Bornauw,DF,Köln,de Bundesliga,21,23.1,0.00,4.24,1.69,0.04
Sven Botman\Sven-Botman,DF,Lille,fr Ligue 1,20,36.8,0.03,4.76,1.41,0.03
Denis Bouanga\Denis-Bouanga,MFFW,Saint-Étienne,fr Ligue 1,25,30.2,0.07,5.76,1.23,1.82
Hicham Boudaoui\Hicham-Boudaoui,MFFW,Nice,fr Ligue 1,20,19.3,0.00,7.82,0.67,0.47
Ryad Boudebouz\Ryad-Boudebouz,MFFW,Saint-Étienne,fr Ligue 1,30,7.2,0.28,7.92,4.03,3.06
Sofiane Boufal\Sofiane-Boufal,FWMF,Angers,fr Ligue 1,26,8.1,0.25,5.56,1.11,1.60
Nassim Boujellab\Nassim-Boujellab,MFFW,Schalke 04,de Bundesliga,21,6.7,0.00,6.27,0.00,0.15
Farid Boulaya\Farid-Boulaya,MFFW,Metz,fr Ligue 1,27,31.3,0.19,7.70,3.74,2.43
Yassine Bounou\Yassine-Bounou,GK,Sevilla,es La Liga,29,33.0,0.00,2.45,1.58,0.00
Ismaëlben Boura\Ismaelben-Boura,DF,Lens,fr Ligue 1,19,9.1,0.00,7.25,1.65,2.86
Mehdi Bourabia\Mehdi-Bourabia,MF,Sassuolo,it Serie A,28,5.9,0.00,8.31,0.85,0.34
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,fr Ligue 1,26,28.4,0.25,7.61,4.65,2.57
Edoardo Bove\Edoardo-Bove,MF,Roma,it Serie A,18,0.1,0.00,10.0,0.00,0.00
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,eng Premier League,23,28.5,0.04,5.44,1.61,1.82
Dedryck Boyata\Dedryck-Boyata,DF,Hertha BSC,de Bundesliga,29,17.2,0.00,4.24,2.73,0.06
John Boye\John-Boye,DF,Metz,fr Ligue 1,33,33.8,0.03,2.96,1.86,0.00
Lucas Boyé\Lucas-Boye,FW,Elche,es La Liga,24,29.9,0.03,6.29,0.67,0.37
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,de Bundesliga,19,7.2,0.14,4.86,0.42,1.67
Umut Bozok\Umut-Bozok,FWMF,Lorient,fr Ligue 1,23,0.7,0.00,11.4,1.43,0.00
Jayden Braaf\Jayden-Braaf,FW,Udinese,it Serie A,17,1.3,0.00,5.38,0.00,0.77
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,fr Ligue 1,20,14.0,0.00,5.93,0.93,2.50
Robbie Brady\Robbie-Brady,MF,Burnley,eng Premier League,28,11.7,0.26,7.61,1.03,2.14
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,es La Liga,29,13.1,0.15,5.11,0.31,0.61
Julian Brandt\Julian-Brandt,FWMF,Dortmund,de Bundesliga,24,16.6,0.42,8.01,1.99,1.51
Darko Brašanac\Darko-Brasanac,MF,Osasuna,es La Liga,28,10.1,0.00,7.72,0.20,1.09
Lilian Brassier\Lilian-Brassier,DF,Brest,fr Ligue 1,20,10.7,0.09,6.26,1.40,0.37
Álvaro Bravo\Alvaro-Bravo,MF,Granada,es La Liga,22,0.2,0.00,20.0,0.00,0.00
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20.0,0.00,2.70,1.25,0.00
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1.0,0.00,1.00,0.00,0.00
Josip Brekalo\Josip-Brekalo,FW,Wolfsburg,de Bundesliga,22,20.2,0.05,8.56,1.88,1.44
Gleison Bremer\Gleison-Bremer,DF,Torino,it Serie A,23,32.6,0.00,5.71,1.32,0.03
Joshua Brenet\Joshua-Brenet,DF,Hoffenheim,de Bundesliga,26,0.0,0,0,0,0
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,eng Premier League,20,12.5,0.24,4.48,0.48,1.04
Anthony Briançon\Anthony-Briancon,DF,Nîmes,fr Ligue 1,25,13.6,0.00,3.68,4.71,0.07
Jimmy Briand\Jimmy-Briand,FW,Bordeaux,fr Ligue 1,34,6.3,0.00,7.30,0.00,0.16
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,es La Liga,22,14.7,0.00,5.44,0.27,0.07
Nathan Broadhead\Nathan-Broadhead,MF,Everton,eng Premier League,22,0.0,0,1,0,0
Dylan Bronn\Dylan-Bronn,DF,Metz,fr Ligue 1,25,37.9,0.05,4.51,1.48,0.13
John Brooks\John-Brooks,DF,Wolfsburg,de Bundesliga,27,30.8,0.00,5.39,2.27,0.06
Daniel Brosinski\Daniel-Brosinski,DF,Mainz 05,de Bundesliga,32,15.9,0.06,5.35,1.95,3.65
Josh Brownhill\Josh-Brownhill,MF,Burnley,eng Premier League,24,31.3,0.00,8.27,0.61,0.54
Marcelo Brozović\Marcelo-Brozovic,MF,Inter,it Serie A,27,28.7,0.14,10.4,3.87,0.91
Gastón Brugman\Gaston-Brugman,MF,Parma,it Serie A,27,18.0,0.17,6.67,3.00,0.89
Juan Brunet\Juan-Brunet,MF,Granada,es La Liga,22,0.3,0.00,6.67,0.00,0.00
Juan Brunetta\Juan-Brunetta,FWMF,Parma,it Serie A,23,5.3,0.00,6.42,3.21,1.89
Cédric Brunner\Cedric-Brunner,DF,Arminia,de Bundesliga,26,29.5,0.00,6.61,1.19,1.80
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,de Bundesliga,21,1.0,0.00,4.00,0.00,1.00
Bryan\Bryan,FW,Sevilla,es La Liga,19,0.1,0.00,10.0,0.00,0.00
Bryan\Bryan,MFFW,Eibar,es La Liga,19,25.2,0.12,6.19,2.14,4.37
Joe Bryan\Joe-Bryan,DFFW,Fulham,eng Premier League,26,7.4,0.14,6.35,1.62,3.24
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,eng Premier League,23,11.2,0.00,4.82,1.34,1.34
Lucas Buadés\Lucas-Buades,MF,Nîmes,fr Ligue 1,22,0.2,0.00,15.0,0.00,0.00
Ante Budimir\Ante-Budimir,FW,Osasuna,es La Liga,29,18.1,0.00,9.34,0.17,0.28
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8.0,0.00,4.75,0.63,0.00
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,de Bundesliga,27,10.9,0.00,5.60,0.83,2.39
Alessandro Buongiorno\Alessandro-Buongiorno,DF,Torino,it Serie A,21,9.5,0.11,3.16,0.74,0.00
Esteban Burgos\Esteban-Burgos,DF,Eibar,es La Liga,28,12.3,0.00,4.15,3.50,0.00
Burgui\Burgui,MF,Alavés,es La Liga,26,0.2,0.00,5.00,0.00,0.00
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,de Bundesliga,20,15.3,0.00,5.88,0.26,0.78
Nishan Burkart\Nishan-Burkart,MF,Freiburg,de Bundesliga,20,0.2,0.00,10.0,0.00,0.00
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,eng Premier League,23,14.1,0.07,6.10,0.14,1.42
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,18.5,0.00,2.22,0.97,0.00
Dan Burn\Dan-Burn,DF,Brighton,eng Premier League,28,22.9,0.00,7.55,0.87,1.40
Patrick Burner\Patrick-Burner,DF,Nice,fr Ligue 1,24,0.0,0,0,0,0
Patrick Burner\Patrick-Burner,DF,Nîmes,fr Ligue 1,24,14.6,0.07,3.56,0.82,1.51
Maxime Busi\Maxime-Busi,DF,Parma,it Serie A,20,13.3,0.15,4.29,1.35,1.50
Sergio Busquets\Sergio-Busquets,MF,Barcelona,es La Liga,32,28.0,0.54,11.0,1.61,0.11
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1.0,0.00,1.00,0.00,0.00
David Button\David-Button,GK,West Brom,eng Premier League,31,1.0,0.00,2.00,2.00,0.00
Oskar Buur\Oskar-Buur,DF,Wolves,eng Premier League,22,0.2,0.00,0.00,0.00,0.00
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1.0,0.00,3.00,0.00,0.00
Erick Cabaco\Erick-Cabaco,DF,Getafe,es La Liga,25,14.7,0.00,3.74,3.67,0.20
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1.0,0.00,1.00,0.00,0.00
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,fr Ligue 1,26,10.5,0.19,5.52,1.14,2.00
Martín Cáceres\Martin-Caceres,DF,Fiorentina,it Serie A,33,24.9,0.00,3.25,1.65,1.24
Anthony Caci\Anthony-Caci,DF,Strasbourg,fr Ligue 1,23,31.1,0.03,7.20,3.31,2.06
Mathieu Cafaro\Mathieu-Cafaro,MFFW,Reims,fr Ligue 1,23,23.0,0.04,4.17,2.17,2.39
Gary Cahill\Gary-Cahill,DF,Crystal Palace,eng Premier League,34,20.0,0.00,4.75,0.60,0.00
Yannick Cahuzac\Yannick-Cahuzac,MF,Lens,fr Ligue 1,35,25.0,0.04,4.92,0.52,0.40
Felipe Caicedo\Felipe-Caicedo,FW,Lazio,it Serie A,31,10.3,0.00,6.99,0.19,0.00
Marc-Aurèle Caillard\Marc-Aurele-Caillard,GK,Metz,fr Ligue 1,26,4.0,0.00,0.75,0.00,0.00
Tom Cairney\Tom-Cairney,MF,Fulham,eng Premier League,29,8.4,0.00,9.05,4.05,2.14
Cala\Cala,DF,Cádiz,es La Liga,30,25.2,0.00,2.94,2.50,0.00
Arturo Calabresi\Arturo-Calabresi,DF,Cagliari,it Serie A,24,0.2,0.00,10.0,0.00,5.00
Arturo Calabresi\Arturo-Calabresi,DF,Bologna,it Serie A,24,0.2,0.00,0.00,0.00,0.00
Davide Calabria\Davide-Calabria,DF,Milan,it Serie A,23,29.4,0.14,4.52,1.26,1.80
Riccardo Calafiori\Riccardo-Calafiori,DF,Roma,it Serie A,18,0.7,0.00,10.0,0.00,0.00
Mattia Caldara\Mattia-Caldara,DF,Atalanta,it Serie A,26,1.2,0.00,5.00,4.17,0.83
Luca Caldirola\Luca-Caldirola,DF,Benevento,it Serie A,29,17.5,0.00,3.14,1.09,0.17
Duje Ćaleta-Car\Duje-Caleta-Car,DF,Marseille,fr Ligue 1,23,31.3,0.13,3.74,1.79,0.00
Hakan Çalhanoğlu\Hakan-Calhanoglu,MFFW,Milan,it Serie A,26,29.0,0.17,7.21,3.79,2.14
Kerim Calhanoglu\Kerim-Calhanoglu,DF,Schalke 04,de Bundesliga,17,3.3,0.00,6.67,0.91,1.82
Fabrizio Caligara\Fabrizio-Caligara,MF,Cagliari,it Serie A,20,2.0,0.00,6.50,0.50,2.00
Daniel Caligiuri\Daniel-Caligiuri,MFDF,Augsburg,de Bundesliga,32,29.6,0.07,8.24,1.99,1.39
José Callejón\Jose-Callejon,FWMF,Fiorentina,it Serie A,33,7.4,0.27,5.54,1.35,2.97
Jonathan Calleri\Jonathan-Calleri,FW,Osasuna,es La Liga,26,17.2,0.06,7.03,0.47,0.81
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,eng Premier League,23,31.9,0.03,7.02,0.25,0.47
Dani Calvo\Dani-Calvo,DF,Elche,es La Liga,26,19.8,0.00,3.69,1.41,0.05
Drissa Camara\Drissa-Camara,MF,Parma,it Serie A,18,0.2,0.00,5.00,0.00,0.00
Mahdi Camara\Mahdi-Camara,MFDF,Saint-Étienne,fr Ligue 1,22,36.6,0.00,6.72,1.17,0.77
Eduardo Camavinga\Eduardo-Camavinga,MF,Rennes,fr Ligue 1,17,26.7,0.11,8.01,1.12,0.15
José Campaña\Jose-Campana,MF,Levante,es La Liga,27,8.3,0.36,7.23,2.17,1.93
Emre Can\Emre-Can,DFMF,Dortmund,de Bundesliga,26,23.7,0.17,9.49,2.53,0.51
Sergio Canales\Sergio-Canales,MFFW,Betis,es La Liga,29,27.8,0.25,10.1,3.74,1.65
João Cancelo\Joao-Cancelo,DF,Manchester City,eng Premier League,26,25.5,0.39,7.88,1.53,2.71
Antonio Candreva\Antonio-Candreva,MF,Sampdoria,it Serie A,33,27.8,0.07,7.23,4.64,5.50
Álex Cantero\Alex-Cantero,FW,Levante,es La Liga,20,2.6,0.38,8.08,0.00,0.38
Ander Capa\Ander-Capa,DF,Athletic Club,es La Liga,28,23.7,0.04,5.02,0.84,2.28
Pierrick Capelle\Pierrick-Capelle,MFDF,Angers,fr Ligue 1,33,22.8,0.13,9.43,1.01,1.05
Étienne Capoue\Etienne-Capoue,MF,Villarreal,es La Liga,32,13.2,0.15,8.11,1.36,0.00
Elio Capradossi\Elio-Capradossi,DF,Spezia,it Serie A,24,1.0,0.00,9.00,0.00,0.00
Gianluca Caprari\Gianluca-Caprari,MFFW,Benevento,it Serie A,27,20.7,0.10,6.04,1.30,1.55
Francesco Caputo\Francesco-Caputo,FW,Sassuolo,it Serie A,32,18.9,0.05,5.45,0.11,0.21
Maxence Caqueret\Maxence-Caqueret,MF,Lyon,fr Ligue 1,20,19.6,0.10,9.69,1.02,0.61
Andrea Carboni\Andrea-Carboni,DF,Cagliari,it Serie A,19,12.1,0.00,4.21,1.32,1.24
Isaac Carcelen\Isaac-Carcelen,DF,Cádiz,es La Liga,27,28.7,0.03,5.44,1.15,1.25
Cárdenas\Cardenas,GK,Levante,es La Liga,23,8.0,0.00,3.38,2.63,0.00
Irvin Cardona\Irvin-Cardona,FWMF,Brest,fr Ligue 1,22,22.5,0.04,4.40,1.02,1.60
Marc Cardona\Marc-Cardona,FWMF,Osasuna,es La Liga,25,0.6,0.00,8.33,0.00,1.67
Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,eng Premier League,20,3.9,0.26,6.15,0.77,2.31
Diego Carlos\Diego-Carlos,DF,Sevilla,es La Liga,27,31.0,0.03,4.58,3.19,0.10
Juan Carlos\Juan-Carlos,MFFW,Huesca,es La Liga,29,3.2,0.00,7.81,0.00,0.63
Lionel Carole\Lionel-Carole,DF,Strasbourg,fr Ligue 1,29,14.9,0.07,6.58,2.35,2.35
Yannick Carrasco\Yannick-Carrasco,DFMF,Atlético Madrid,es La Liga,26,24.2,0.25,6.32,1.40,2.85
Sergio Carreira\Sergio-Carreira,DF,Celta Vigo,es La Liga,19,2.9,0.00,5.52,0.69,1.38
Guido Carrillo\Guido-Carrillo,FW,Elche,es La Liga,29,11.1,0.00,11.0,0.54,0.18
Andy Carroll\Andy-Carroll,FW,Newcastle Utd,eng Premier League,31,4.4,0.00,11.1,0.91,0.68
Scott Carson\Scott-Carson,GK,Manchester City,eng Premier League,34,1.0,0.00,0.00,0.00,0.00
Dani Carvajal\Dani-Carvajal,DF,Real Madrid,es La Liga,28,10.6,0.09,5.85,2.17,2.08
Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,eng Premier League,17,2.8,0.00,5.00,0.00,0.71
William Carvalho\William-Carvalho,MF,Betis,es La Liga,28,13.6,0.15,10.3,2.28,0.15
Casemiro\Casemiro,MF,Real Madrid,es La Liga,28,32.2,0.06,9.16,2.76,0.40
Matty Cash\Matty-Cash,DF,Aston Villa,eng Premier League,22,26.4,0.04,5.45,1.14,2.35
Kiko Casilla\Kiko-Casilla,GK,Leeds United,eng Premier League,33,3.0,0.00,1.33,0.67,0.00
Giuseppe Caso\Giuseppe-Caso,MF,Genoa,it Serie A,21,0.6,0.00,5.00,0.00,1.67
Moreto Cassamã\Moreto-Cassama,MF,Reims,fr Ligue 1,22,22.6,0.18,7.79,3.45,0.27
Francesco Cassata\Francesco-Cassata,DFMF,Genoa,it Serie A,23,2.5,0.00,6.80,2.00,1.60
Timothy Castagne\Timothy-Castagne,DF,Leicester City,eng Premier League,24,26.1,0.19,6.25,0.57,1.42
Koen Casteels\Koen-Casteels,GK,Wolfsburg,de Bundesliga,28,32.0,0.00,2.59,0.84,0.00
Jean-Charles Castelletto\Jean-Charles-Castelletto,DF,Nantes,fr Ligue 1,25,21.6,0.00,3.56,0.65,0.09
Samu Castillejo\Samu-Castillejo,FW,Milan,it Serie A,25,13.1,0.08,6.49,0.99,2.14
Gonzalo Castro\Gonzalo-Castro,MFFW,Stuttgart,de Bundesliga,33,19.2,0.16,8.39,1.56,1.41
Jonny Castro\Jonny-Castro,DF,Wolves,eng Premier League,26,5.5,0.00,6.73,0.55,1.09
