,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Tyrese Francois\Tyrese-Francois,DF,Fulham,eng Premier League,20,0.2,0.00,135.0,0.00
Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,eng Premier League,26,10.3,0.39,72.8,1.36
Fred\Fred,MF,Manchester Utd,eng Premier League,27,26.6,0.90,119.1,0.94
Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,eng Premier League,27,6.3,0.32,93.2,0.16
Remo Freuler\Remo-Freuler,MF,Atalanta,it Serie A,28,30.1,1.26,162.6,1.16
Marco Friedl\Marco-Friedl,DF,Werder Bremen,de Bundesliga,22,30.9,0.26,117.4,0.26
Marvin Friedrich\Marvin-Friedrich,DF,Union Berlin,de Bundesliga,24,34.0,0.35,127.3,0.35
Jeremie Frimpong\Jeremie-Frimpong,DFFW,Leverkusen,de Bundesliga,19,4.8,3.75,245.2,2.71
Jorge de Frutos\Jorge-de-Frutos,MFFW,Levante,es La Liga,23,24.3,1.98,100.2,2.55
Christian Fuchs\Christian-Fuchs,DF,Leicester City,eng Premier League,34,7.8,0.00,89.2,0.26
Angelo Fulgini\Angelo-Fulgini,MF,Angers,fr Ligue 1,23,30.3,2.71,156.1,2.61
Niclas Füllkrug\Niclas-Fullkrug,FWMF,Werder Bremen,de Bundesliga,27,9.7,1.24,28.7,2.68
Ramiro Funes Mori\Ramiro-Funes-Mori,DF,Villarreal,es La Liga,29,8.1,0.00,289.0,0.12
Darnell Furlong\Darnell-Furlong,DF,West Brom,eng Premier League,24,32.6,0.37,47.3,1.01
Daniel Fuzato\Daniel-Fuzato,GK,Roma,it Serie A,23,5.0,0.00,32.4,0.00
Baptiste Gabard\Baptiste-Gabard,MF,Saint-Étienne,fr Ligue 1,20,1.5,0.67,56.7,0.67
Matteo Gabbia\Matteo-Gabbia,DF,Milan,it Serie A,20,6.2,0.00,101.0,0.16
Manolo Gabbiadini\Manolo-Gabbiadini,FW,Sampdoria,it Serie A,28,9.7,0.52,48.2,1.65
Mijat Gaćinović\Mijat-Gacinovic,DFMF,Hoffenheim,de Bundesliga,25,9.1,0.66,85.9,1.21
Roberto Gagliardini\Roberto-Gagliardini,MF,Inter,it Serie A,26,13.7,0.51,98.2,0.95
Riccardo Gagliolo\Riccardo-Gagliolo,DF,Parma,it Serie A,30,21.7,0.41,156.1,0.46
Adolfo Gaich\Adolfo-Gaich,FW,Benevento,it Serie A,21,8.5,1.18,28.5,2.94
Andrey Galabinov\Andrey-Galabinov,FW,Spezia,it Serie A,31,4.8,0.63,42.9,3.33
Javi Galán\Javi-Galan,DF,Huesca,es La Liga,25,34.1,3.34,155.7,1.41
Conor Gallagher\Conor-Gallagher,MF,West Brom,eng Premier League,20,28.1,1.35,69.0,1.49
Enric Gallego\Enric-Gallego,FW,Osasuna,es La Liga,33,9.0,0.33,28.0,4.11
Kévin Gameiro\Kevin-Gameiro,FW,Valencia,es La Liga,33,12.0,0.33,30.7,2.58
Idrissa Gana Gueye\Idrissa-Gana-Gueye,MF,Paris S-G,fr Ligue 1,30,17.6,1.36,216.0,0.74
Ignatius Ganago\Ignatius-Ganago,FW,Lens,fr Ligue 1,21,14.5,1.52,38.3,3.24
Aleix García\Aleix-Garcia,MF,Eibar,es La Liga,23,4.9,0.41,82.9,0.41
Borja García\Borja-Garcia,MFFW,Huesca,es La Liga,29,12.4,1.77,94.8,1.53
Dani García\Dani-Garcia,MF,Athletic Club,es La Liga,30,21.3,0.38,72.1,0.19
David García\David-Garcia,DF,Osasuna,es La Liga,26,35.0,0.03,53.3,0.20
Eric García\Eric-Garcia,DF,Manchester City,eng Premier League,19,4.3,0.00,245.6,0.23
Manu García\Manu-Garcia,MF,Alavés,es La Liga,34,12.5,0.16,37.4,0.64
Raúl García\Raul-Garcia,DFMF,Valladolid,es La Liga,31,5.6,1.25,78.6,0.71
Raúl García\Raul-Garcia,FWMF,Athletic Club,es La Liga,34,19.4,0.41,38.5,1.44
Rubén García\Ruben-Garcia,MFFW,Osasuna,es La Liga,27,30.2,0.89,70.5,1.82
Sergi García\Sergi-Garcia,MF,Alavés,es La Liga,21,0.2,0.00,130.0,5.00
Unai García\Unai-Garcia,DF,Osasuna,es La Liga,28,13.8,0.29,69.3,0.36
Mario Gaspar\Mario-Gaspar,DF,Villarreal,es La Liga,29,20.6,0.49,96.3,0.73
Manuel Gasparini\Manuel-Gasparini,GK,Udinese,it Serie A,18,0.0,0,5,0
Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,eng Premier League,29,5.7,0.18,26.0,1.40
Paulo Gazzaniga\Paulo-Gazzaniga,GK,Elche,es La Liga,28,8.0,0.00,45.3,0.00
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,Everton,eng Premier League,24,0.1,0.00,120.0,0.00
Yann Gboho\Yann-Gboho,MFFW,Rennes,fr Ligue 1,19,3.4,3.24,172.9,0.59
David de Gea\David-de-Gea,GK,Manchester Utd,eng Premier League,29,25.5,0.00,16.7,0.00
Christian Gebauer\Christian-Gebauer,MFFW,Arminia,de Bundesliga,26,7.6,0.66,51.8,0.92
Theodor Gebre Selassie\Theodor-Gebre-Selassie,DF,Werder Bremen,de Bundesliga,33,33.7,0.15,53.1,0.62
Emrehan Gedikli\Emrehan-Gedikli,FW,Leverkusen,de Bundesliga,17,0.3,0.00,13.3,6.67
Dennis Geiger\Dennis-Geiger,MF,Hoffenheim,de Bundesliga,22,7.3,0.55,92.6,0.27
Christian Gentner\Christian-Gentner,MF,Union Berlin,de Bundesliga,34,11.5,0.61,40.5,0.70
Yannick Gerhardt\Yannick-Gerhardt,MFFW,Wolfsburg,de Bundesliga,26,21.5,0.60,80.4,1.44
Valère Germain\Valere-Germain,FW,Marseille,fr Ligue 1,30,9.5,0.21,26.6,1.79
Gervinho\Gervinho,FW,Parma,it Serie A,33,22.5,1.91,108.7,1.91
Willem Geubbels\Willem-Geubbels,FWMF,Monaco,fr Ligue 1,18,3.3,0.00,52.1,3.33
Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,FWMF,Stuttgart,de Bundesliga,29,0.5,0.00,136.0,8.00
Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,eng Premier League,25,17.9,1.56,101.3,2.18
Paolo Ghiglione\Paolo-Ghiglione,DFMF,Genoa,it Serie A,23,15.1,0.40,106.8,1.26
Faouzi Ghoulam\Faouzi-Ghoulam,DFFW,Napoli,it Serie A,29,3.2,0.94,129.1,0.94
Kieran Gibbs\Kieran-Gibbs,DF,West Brom,eng Premier League,30,9.0,0.22,61.4,0.56
Morgan Gibbs-White\Morgan-Gibbs-White,MFFW,Wolves,eng Premier League,20,4.6,1.52,128.0,3.26
Niko Gießelmann\Niko-Giesselmann,DF,Union Berlin,de Bundesliga,28,4.8,0.42,77.3,0.83
Rafał Gikiewicz\Rafal-Gikiewicz,GK,Augsburg,de Bundesliga,32,34.0,0.03,59.8,0.03
David Gil\David-Gil,GK,Cádiz,es La Liga,26,4.0,0.00,65.8,0.00
Billy Gilmour\Billy-Gilmour,MF,Chelsea,eng Premier League,19,2.9,0.34,84.5,0.00
Álvaro Giménez\Alvaro-Gimenez,FWMF,Cádiz,es La Liga,29,4.5,0.00,14.2,4.00
Daniel Ginczek\Daniel-Ginczek,FWMF,Wolfsburg,de Bundesliga,29,2.4,1.25,21.7,3.33
Matthias Ginter\Matthias-Ginter,DF,M'Gladbach,de Bundesliga,26,34.0,0.29,173.0,0.12
Andrei Girotto\Andrei-Girotto,DFMF,Nantes,fr Ligue 1,28,29.6,0.17,95.2,0.14
Olivier Giroud\Olivier-Giroud,FW,Chelsea,eng Premier League,33,8.3,0.36,8.67,1.81
Robert Glatzel\Robert-Glatzel,FW,Mainz 05,de Bundesliga,26,4.0,1.75,70.5,3.50
Kamil Glik\Kamil-Glik,DF,Benevento,it Serie A,32,35.6,0.11,59.3,0.17
Serge Gnabry\Serge-Gnabry,FWMF,Bayern Munich,de Bundesliga,25,18.3,1.97,151.7,2.57
Ben Godfrey\Ben-Godfrey,DF,Everton,eng Premier League,22,29.8,0.27,116.1,0.57
Diego Godín\Diego-Godin,DF,Cagliari,it Serie A,34,27.9,0.50,140.0,0.14
Akaki Gogia\Akaki-Gogia,FWMF,Union Berlin,de Bundesliga,28,1.6,2.50,70.0,2.50
Amer Gojak\Amer-Gojak,MFFW,Torino,it Serie A,23,5.3,1.13,91.9,1.70
Edoardo Goldaniga\Edoardo-Goldaniga,DF,Genoa,it Serie A,26,20.6,0.24,83.0,0.53
Vladimir Golemić\Vladimir-Golemic,DF,Crotone,it Serie A,29,26.0,0.12,78.8,0.15
Pierluigi Gollini\Pierluigi-Gollini,GK,Atalanta,it Serie A,25,24.0,0.04,44.2,0.04
Aleksandr Golovin\Aleksandr-Golovin,MFFW,Monaco,fr Ligue 1,24,11.9,1.60,141.5,1.85
Tomislav Gomelt\Tomislav-Gomelt,MF,Crotone,it Serie A,25,0.2,0.00,150.0,0.00
André Gomes\Andre-Gomes,MF,Everton,eng Premier League,27,17.4,1.49,107.7,0.98
Dani Gómez\Dani-Gomez,FW,Levante,es La Liga,22,18.5,1.84,64.2,2.43
Ibai Gómez\Ibai-Gomez,MF,Athletic Club,es La Liga,30,4.7,0.85,40.2,1.06
Joe Gomez\Joe-Gomez,DF,Liverpool,eng Premier League,23,6.6,0.61,162.4,0.15
Maxi Gómez\Maxi-Gomez,FW,Valencia,es La Liga,23,29.9,0.40,27.4,2.04
Moi Gómez\Moi-Gomez,MFFW,Villarreal,es La Liga,26,28.5,1.54,100.8,0.81
Papu Gómez\Papu-Gomez,FWMF,Atalanta,it Serie A,32,7.4,2.97,218.6,1.08
Papu Gómez\Papu-Gomez,MFFW,Sevilla,es La Liga,32,10.2,1.27,189.9,1.57
Sergi Gómez\Sergi-Gomez,DF,Sevilla,es La Liga,28,8.0,0.00,97.6,0.00
Sergio Gómez\Sergio-Gomez,MFFW,Huesca,es La Liga,19,8.8,1.70,124.4,1.93
Alfred Gomis\Alfred-Gomis,GK,Dijon,fr Ligue 1,26,5.0,0.00,25.6,0.00
Alfred Gomis\Alfred-Gomis,GK,Rennes,fr Ligue 1,26,22.0,0.00,29.2,0.00
Maxime Gonalons\Maxime-Gonalons,MF,Granada,es La Liga,31,16.4,1.04,77.4,0.61
Vagner Gonçalves\Vagner-Goncalves,FWMF,Metz,fr Ligue 1,24,10.7,1.31,67.6,4.11
Álvaro González\Alvaro-Gonzalez,DF,Marseille,fr Ligue 1,30,31.5,0.13,176.3,0.06
Bruno González\Bruno-Gonzalez,DF,Valladolid,es La Liga,30,25.1,0.16,44.9,0.08
Diego González\Diego-Gonzalez,DF,Elche,es La Liga,25,14.2,0.42,122.5,0.21
Nicolás González\Nicolas-Gonzalez,FWDF,Stuttgart,de Bundesliga,22,10.4,1.54,79.2,2.88
Sergio González\Sergio-Gonzalez,MFDF,Cádiz,es La Liga,23,1.0,0.00,37.0,2.00
Urko González\Urko-Gonzalez,MF,Real Sociedad,es La Liga,19,0.5,0.00,162.0,2.00
Anthony Gordon\Anthony-Gordon,FWMF,Everton,eng Premier League,19,1.0,3.00,116.0,3.00
Leon Goretzka\Leon-Goretzka,MF,Bayern Munich,de Bundesliga,25,18.9,0.63,118.3,1.06
Andoni Gorosabel\Andoni-Gorosabel,DF,Real Sociedad,es La Liga,23,26.5,0.42,100.6,1.02
Robin Gosens\Robin-Gosens,DF,Atalanta,it Serie A,26,28.0,0.57,121.3,1.21
Amine Gouiri\Amine-Gouiri,FWMF,Nice,fr Ligue 1,20,30.5,1.74,114.2,1.80
Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,DF,Augsburg,de Bundesliga,29,31.5,0.57,133.4,0.35
Jonathan Gradit\Jonathan-Gradit,DF,Lens,fr Ligue 1,27,31.4,0.99,221.4,0.41
Karlan Grant\Karlan-Grant,FWMF,West Brom,eng Premier League,22,12.5,0.96,35.7,2.48
Alberto Grassi\Alberto-Grassi,MFDF,Parma,it Serie A,25,13.1,0.38,62.9,1.07
Andrew Gravillon\Andrew-Gravillon,DF,Lorient,fr Ligue 1,22,25.2,0.24,100.6,0.12
Demarai Gray\Demarai-Gray,FW,Leicester City,eng Premier League,24,0.2,0.00,140.0,5.00
Demarai Gray\Demarai-Gray,FW,Leverkusen,de Bundesliga,24,4.9,2.65,148.4,2.24
Adrian Grbić\Adrian-Grbic,FW,Lorient,fr Ligue 1,23,10.7,0.56,40.6,1.50
Jack Grealish\Jack-Grealish,FWMF,Aston Villa,eng Premier League,24,24.3,2.51,237.0,1.89
Etienne Green\Etienne-Green,GK,Saint-Étienne,fr Ligue 1,20,8.0,0.00,35.1,0.00
Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,eng Premier League,18,20.2,1.88,113.1,1.44
Michael Gregoritsch\Michael-Gregoritsch,FWMF,Augsburg,de Bundesliga,26,9.3,1.18,45.6,2.90
Clément Grenier\Clement-Grenier,MF,Rennes,fr Ligue 1,29,12.0,0.75,108.3,1.33
Sebastian Griesbeck\Sebastian-Griesbeck,MF,Union Berlin,de Bundesliga,29,9.9,0.10,25.2,1.11
Antoine Griezmann\Antoine-Griezmann,FWMF,Barcelona,es La Liga,29,28.9,0.87,66.7,1.35
Vincenzo Grifo\Vincenzo-Grifo,MFFW,Freiburg,de Bundesliga,27,25.7,1.36,112.8,1.60
Lennart Grill\Lennart-Grill,GK,Leverkusen,de Bundesliga,21,4.0,0.00,37.8,0.00
Florian Grillitsch\Florian-Grillitsch,MFDF,Hoffenheim,de Bundesliga,24,20.9,0.91,174.0,0.86
Christian Groß\Christian-Gross,MFDF,Werder Bremen,de Bundesliga,31,16.3,0.49,123.9,0.18
Pascal Groß\Pascal-Gross,MFDF,Brighton,eng Premier League,29,27.6,0.40,94.6,1.09
Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,eng Premier League,32,1.6,0.63,105.0,1.25
Ilia Gruev\Ilia-Gruev,FW,Werder Bremen,de Bundesliga,20,0.0,0,0,0
Carlos Gruezo\Carlos-Gruezo,MF,Augsburg,de Bundesliga,25,23.2,0.43,42.6,0.60
Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,eng Premier League,33,37.0,0.00,35.6,0.00
Andrés Guardado\Andres-Guardado,MF,Betis,es La Liga,33,14.6,0.62,122.9,0.89
Sergi Guardiola\Sergi-Guardiola,FW,Valladolid,es La Liga,29,19.9,1.41,49.9,3.07
Nemanja Gudelj\Nemanja-Gudelj,MFDF,Sevilla,es La Liga,28,11.6,0.26,121.9,0.78
Gonçalo Guedes\Goncalo-Guedes,MFFW,Valencia,es La Liga,23,25.4,2.05,161.9,1.81
Mattéo Guendouzi\Matteo-Guendouzi,MF,Hertha BSC,de Bundesliga,21,20.2,0.79,147.8,0.99
Raphaël Guerreiro\Raphael-Guerreiro,DF,Dortmund,de Bundesliga,26,24.6,1.30,212.5,1.34
Evann Guessand\Evann-Guessand,FW,Nice,fr Ligue 1,19,0.3,3.33,53.3,0.00
Kelyan Guessoum\Kelyan-Guessoum,DF,Nîmes,fr Ligue 1,21,12.5,0.08,130.9,0.00
Ander Guevara\Ander-Guevara,MF,Real Sociedad,es La Liga,23,23.1,0.65,128.4,0.74
Lamine Gueye\Lamine-Gueye,FWMF,Metz,fr Ligue 1,22,16.2,1.05,90.1,3.02
Pape Gueye\Pape-Gueye,MF,Marseille,fr Ligue 1,21,22.9,0.52,110.3,0.79
John Guidetti\John-Guidetti,FWMF,Alavés,es La Liga,28,2.3,0.43,17.0,2.17
Josuha Guilavogui\Josuha-Guilavogui,MFDF,Wolfsburg,de Bundesliga,29,8.3,0.48,53.9,0.12
Frederic Guilbert\Frederic-Guilbert,DF,Strasbourg,fr Ligue 1,25,12.4,1.77,130.6,1.45
Hugo Guillamón\Hugo-Guillamon,DF,Valencia,es La Liga,20,22.1,0.09,133.2,0.36
Bruno Guimarães\Bruno-Guimaraes,MF,Lyon,fr Ligue 1,22,19.5,1.08,194.2,0.97
Sehrou Guirassy\Sehrou-Guirassy,FW,Rennes,fr Ligue 1,24,19.6,1.38,40.5,2.76
Péter Gulácsi\Peter-Gulacsi,GK,RB Leipzig,de Bundesliga,30,33.0,0.00,35.4,0.00
Manuel Gulde\Manuel-Gulde,DF,Freiburg,de Bundesliga,29,21.7,0.18,90.8,0.00
Robert Gumny\Robert-Gumny,DF,Augsburg,de Bundesliga,22,15.3,0.78,70.6,0.92
İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,eng Premier League,29,22.5,1.29,163.4,0.93
Christian Günter\Christian-Gunter,DF,Freiburg,de Bundesliga,27,34.0,0.56,85.8,0.76
Koray Günter\Koray-Gunter,DF,Hellas Verona,it Serie A,25,19.6,0.31,107.2,0.31
Jon Guridi\Jon-Guridi,MF,Real Sociedad,es La Liga,25,9.2,1.74,90.1,1.30
Malo Gusto\Malo-Gusto,DFMF,Lyon,fr Ligue 1,17,0.0,0,0,0
Raúl Guti\Raul-Guti,MF,Elche,es La Liga,23,31.8,1.42,68.4,0.91
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,DF,Cádiz,es La Liga,29,20.3,0.00,20.6,0.05
Miguel Gutiérrez\Miguel-Gutierrez,DF,Real Madrid,es La Liga,19,3.5,1.43,195.4,0.86
Emmanuel Gyasi\Emmanuel-Gyasi,FW,Spezia,it Serie A,26,31.7,1.17,73.9,2.33
Erling Haaland\Erling-Haaland,FW,Dortmund,de Bundesliga,20,26.7,1.05,51.1,2.10
Janik Haberer\Janik-Haberer,MFFW,Freiburg,de Bundesliga,26,5.4,1.30,79.6,1.85
Alexander Hack\Alexander-Hack,DF,Mainz 05,de Bundesliga,26,15.2,0.46,93.2,0.33
Antwoine Hackford\Antwoine-Hackford,FWDF,Sheffield Utd,eng Premier League,16,0.1,0.00,0.00,0.00
Munir El Haddadi\Munir-El-Haddadi,FW,Sevilla,es La Liga,24,9.4,1.49,99.9,2.13
André Hahn\Andre-Hahn,FWMF,Augsburg,de Bundesliga,29,22.6,0.97,38.0,2.08
Amadou Haidara\Amadou-Haidara,MFDF,RB Leipzig,de Bundesliga,22,21.2,1.08,115.0,1.56
Massadio Haïdara\Massadio-Haidara,DF,Lens,fr Ligue 1,27,23.7,0.72,127.7,1.01
Achraf Hakimi\Achraf-Hakimi,DF,Inter,it Serie A,21,29.6,1.25,149.5,1.49
Sébastien Haller\Sebastien-Haller,FW,West Ham,eng Premier League,26,10.4,0.77,18.0,3.27
Marcel Halstenberg\Marcel-Halstenberg,DF,RB Leipzig,de Bundesliga,28,18.3,0.93,194.0,0.55
Pierre-Yves Hamel\Pierre-Yves-Hamel,FW,Lorient,fr Ligue 1,26,9.4,0.32,25.5,3.30
Romain Hamouma\Romain-Hamouma,FW,Saint-Étienne,fr Ligue 1,33,19.7,1.88,93.8,3.35
Samir Handanović\Samir-Handanovic,GK,Inter,it Serie A,36,36.0,0.00,41.2,0.00
Lukáš Haraslín\Lukas-Haraslin,FWMF,Sassuolo,it Serie A,24,3.7,1.89,132.4,1.35
Amine Harit\Amine-Harit,MFFW,Schalke 04,de Bundesliga,23,23.3,4.16,135.1,2.49
Rekeem Harper\Rekeem-Harper,MF,West Brom,eng Premier League,20,0.4,2.50,45.0,2.50
Jack Harrison\Jack-Harrison,MF,Leeds United,eng Premier League,23,31.6,1.46,119.2,2.37
Marcel Hartel\Marcel-Hartel,MF,Arminia,de Bundesliga,24,18.7,1.12,71.1,1.12
Makoto Hasebe\Makoto-Hasebe,DFMF,Eint Frankfurt,de Bundesliga,36,25.4,0.24,187.7,0.35
Hans Hateboer\Hans-Hateboer,DF,Atalanta,it Serie A,26,19.6,0.26,111.7,0.87
Kortney Hause\Kortney-Hause,DF,Aston Villa,eng Premier League,25,7.0,0.00,53.9,0.29
Kai Havertz\Kai-Havertz,MFFW,Chelsea,eng Premier League,21,16.9,1.30,100.8,2.66
Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,eng Premier League,25,21.6,0.46,35.1,0.69
Eden Hazard\Eden-Hazard,FWMF,Real Madrid,es La Liga,29,5.9,2.88,205.1,1.53
Thorgan Hazard\Thorgan-Hazard,FWMF,Dortmund,de Bundesliga,27,7.3,1.10,124.7,1.10
Jonas Hector\Jonas-Hector,MF,Köln,de Bundesliga,30,14.3,0.42,61.0,1.61
Michael Hector\Michael-Hector,DF,Fulham,eng Premier League,28,2.9,0.69,154.1,0.34
Hwang Hee-chan\Hwang-Hee-chan,FWMF,RB Leipzig,de Bundesliga,24,5.1,2.16,71.4,2.35
Ahmed Hegazi\Ahmed-Hegazi,DF,West Brom,eng Premier League,29,1.0,0.00,62.0,1.00
Dominique Heintz\Dominique-Heintz,DF,Freiburg,de Bundesliga,26,15.2,0.53,154.9,0.33
Dean Henderson\Dean-Henderson,GK,Manchester Utd,eng Premier League,23,12.5,0.00,31.4,0.00
Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,eng Premier League,30,18.9,0.37,235.8,0.37
Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,eng Premier League,28,15.8,0.63,41.4,0.57
Benjamin Henrichs\Benjamin-Henrichs,DFMF,RB Leipzig,de Bundesliga,23,6.0,0.33,102.8,1.50
Dalbert Henrique\Dalbert-Henrique,DF,Rennes,fr Ligue 1,26,4.1,0.24,102.2,0.49
Eduardo Henrique\Eduardo-Henrique,MF,Crotone,it Serie A,25,10.3,0.97,86.0,1.26
Luis Henrique\Luis-Henrique,DFFW,Marseille,fr Ligue 1,18,7.5,2.40,126.9,1.07
Christophe Hérelle\Christophe-Herelle,DF,Brest,fr Ligue 1,27,15.3,0.20,119.9,0.13
Jérôme Hergault\Jerome-Hergault,DF,Lorient,fr Ligue 1,34,18.1,0.61,68.3,1.22
Mario Hermoso\Mario-Hermoso,DF,Atlético Madrid,es La Liga,25,28.6,0.38,122.2,0.28
Aridane Hernández\Aridane-Hernandez,DF,Osasuna,es La Liga,31,22.5,0.22,37.3,0.13
Lucas Hernández\Lucas-Hernandez,DF,Bayern Munich,de Bundesliga,24,17.7,1.24,149.7,0.62
Pablo Hernández\Pablo-Hernandez,MFFW,Leeds United,eng Premier League,35,4.7,1.91,248.1,0.85
Theo Hernández\Theo-Hernandez,DF,Milan,it Serie A,22,32.6,2.02,235.0,1.32
Hernani\Hernani,MF,Parma,it Serie A,26,24.3,1.60,98.4,1.40
Ander Herrera\Ander-Herrera,MF,Paris S-G,fr Ligue 1,30,20.6,0.78,142.3,0.87
Héctor Herrera\Hector-Herrera,MF,Atlético Madrid,es La Liga,30,7.6,0.39,137.2,0.39
Sergio Herrera\Sergio-Herrera,GK,Osasuna,es La Liga,27,32.9,0.03,68.7,0.03
Yangel Herrera\Yangel-Herrera,MF,Granada,es La Liga,22,25.7,0.58,46.8,0.86
Patrick Herrmann\Patrick-Herrmann,FW,M'Gladbach,de Bundesliga,29,9.7,1.03,91.5,1.34
Pablo Hervías\Pablo-Hervias,DFMF,Valladolid,es La Liga,27,13.4,1.42,170.1,0.52
Përparim Hetemaj\Perparim-Hetemaj,MF,Benevento,it Serie A,33,24.6,0.53,68.3,1.10
Son Heung-min\Son-Heung-min,FW,Tottenham,eng Premier League,28,34.6,1.10,85.0,1.45
Aaron Hickey\Aaron-Hickey,DF,Bologna,it Serie A,18,8.4,0.95,113.3,1.19
Vitorino Hilton\Vitorino-Hilton,DF,Montpellier,fr Ligue 1,42,23.5,0.04,90.7,0.17
Martin Hinteregger\Martin-Hinteregger,DF,Eint Frankfurt,de Bundesliga,27,28.1,0.28,113.5,0.50
Marwin Hitz\Marwin-Hitz,GK,Dortmund,de Bundesliga,32,15.5,0.00,44.2,0.00
Wesley Hoedt\Wesley-Hoedt,DF,Lazio,it Serie A,26,10.6,0.19,137.4,0.19
Ki-Jana Hoever\Ki-Jana-Hoever,DF,Wolves,eng Premier League,18,6.4,1.41,146.9,1.09
Nicolas Höfler\Nicolas-Hofler,MF,Freiburg,de Bundesliga,30,30.3,1.32,94.4,0.46
Jonas Hofmann\Jonas-Hofmann,FWMF,M'Gladbach,de Bundesliga,28,20.2,0.64,100.0,1.44
Marco Höger\Marco-Hoger,DFMF,Köln,de Bundesliga,30,0.6,1.67,113.3,3.33
Rob Holding\Rob-Holding,DF,Arsenal,eng Premier League,24,28.4,0.32,152.0,0.11
Lucas Höler\Lucas-Holer,FWMF,Freiburg,de Bundesliga,26,23.2,1.34,80.0,3.28
Mason Holgate\Mason-Holgate,DF,Everton,eng Premier League,23,25.4,0.28,97.4,0.43
Jordan Holsgrove\Jordan-Holsgrove,MF,Celta Vigo,es La Liga,20,1.6,0.00,82.5,3.13
Franck Honorat\Franck-Honorat,MFFW,Brest,fr Ligue 1,23,27.3,1.28,107.9,1.39
Matthew Hoppe\Matthew-Hoppe,FW,Schalke 04,de Bundesliga,19,14.5,0.76,37.4,3.24
Jannes Horn\Jannes-Horn,DF,Köln,de Bundesliga,23,19.6,0.36,121.5,0.26
Timo Horn\Timo-Horn,GK,Köln,de Bundesliga,27,33.4,0.09,49.6,0.00
Fraser Hornby\Fraser-Hornby,FW,Reims,fr Ligue 1,20,0.4,0.00,2.50,2.50
Conor Hourihane\Conor-Hourihane,MF,Aston Villa,eng Premier League,29,2.5,0.00,32.8,0.40
Lukáš Hrádecký\Lukas-Hradecky,GK,Leverkusen,de Bundesliga,30,28.5,0.00,79.7,0.04
Ajdin Hrustic\Ajdin-Hrustic,MFFW,Eint Frankfurt,de Bundesliga,24,3.0,2.33,194.0,3.00
Florian Hübner\Florian-Hubner,DF,Union Berlin,de Bundesliga,29,5.8,0.00,58.4,0.17
Callum Hudson-Odoi\Callum-Hudson-Odoi,FWDF,Chelsea,eng Premier League,19,11.8,1.27,219.7,1.10
Niall Huggins\Niall-Huggins,DF,Leeds United,eng Premier League,19,0.4,0.00,75.0,0.00
Mats Hummels\Mats-Hummels,DF,Dortmund,de Bundesliga,31,31.3,0.26,210.9,0.22
Adrien Hunou\Adrien-Hunou,FWMF,Rennes,fr Ligue 1,26,6.5,0.31,42.3,2.62
Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,FW,Schalke 04,de Bundesliga,36,6.5,0.46,24.9,1.85
Elseid Hysaj\Elseid-Hysaj,DF,Napoli,it Serie A,26,19.6,0.87,143.2,0.71
Pierre Højbjerg\Pierre-Hojbjerg,MF,Tottenham,eng Premier League,24,38.0,0.66,114.1,0.74
Simone Iacoponi\Simone-Iacoponi,DF,Parma,it Serie A,33,13.3,0.23,132.9,0.45
Iago\Iago,DF,Augsburg,de Bundesliga,23,17.3,0.52,106.3,0.81
Roger Ibanez\Roger-Ibanez,DF,Roma,it Serie A,21,26.6,0.75,170.0,0.38
Vedad Ibišević\Vedad-Ibisevic,FW,Schalke 04,de Bundesliga,35,1.7,0.00,6.47,2.94
Vicente Iborra\Vicente-Iborra,MF,Villarreal,es La Liga,32,10.3,0.49,77.2,0.49
Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,MF,Dijon,fr Ligue 1,26,29.0,0.72,110.1,0.83
Zlatan Ibrahimović\Zlatan-Ibrahimovic,FW,Milan,it Serie A,38,16.6,0.90,66.4,1.87
Mauro Icardi\Mauro-Icardi,FW,Paris S-G,fr Ligue 1,27,12.0,0.33,18.4,1.67
Oussama Idrissi\Oussama-Idrissi,FWMF,Sevilla,es La Liga,24,0.3,0.00,226.7,3.33
Blendi Idrizi\Blendi-Idrizi,MF,Schalke 04,de Bundesliga,22,2.6,0.00,93.1,1.15
Odion Ighalo\Odion-Ighalo,FW,Manchester Utd,eng Premier League,31,0.1,0.00,0.00,10.0
Iglesias\Iglesias,DFMF,Getafe,es La Liga,22,6.7,0.60,58.7,0.45
