,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,de Bundesliga,31,0.3,0.00,33.3,3.33
Kike Barja\Kike-Barja,MFFW,Osasuna,es La Liga,23,15.9,2.83,113.0,2.45
Ross Barkley\Ross-Barkley,MF,Aston Villa,eng Premier League,26,17.0,2.00,107.0,2.00
Ross Barkley\Ross-Barkley,MF,Chelsea,eng Premier League,26,0.5,8.00,168.0,2.00
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,de Bundesliga,22,10.9,1.83,117.1,2.75
Ashley Barnes\Ashley-Barnes,FW,Burnley,eng Premier League,30,14.8,0.14,28.6,3.45
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,eng Premier League,22,21.6,1.30,165.7,2.45
Marc Baró\Marc-Baro,DF,Cádiz,es La Liga,20,1.0,1.00,42.0,0.00
Antonio Barragán\Antonio-Barragan,DF,Elche,es La Liga,33,24.8,0.36,89.2,0.44
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,it Serie A,25,0.9,0.00,95.6,0.00
Leandro Barreiro Martins\Leandro-Barreiro-Martins,MF,Mainz 05,de Bundesliga,20,25.6,0.27,29.0,0.98
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,es La Liga,18,14.5,2.69,102.8,2.90
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,de Bundesliga,25,12.3,0.89,60.8,0.33
Musa Barrow\Musa-Barrow,FWMF,Bologna,it Serie A,21,32.5,1.11,95.3,3.02
Kyle Bartley\Kyle-Bartley,DF,West Brom,eng Premier League,29,28.7,0.10,36.2,0.31
Paolo Bartolomei\Paolo-Bartolomei,MF,Spezia,it Serie A,30,3.6,1.11,76.9,1.11
Marc Bartra\Marc-Bartra,DF,Betis,es La Liga,29,18.8,0.32,83.8,0.21
Daniele Baselli\Daniele-Baselli,MF,Torino,it Serie A,28,4.4,1.14,100.7,0.91
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,eng Premier League,32,28.6,0.66,112.1,0.49
Toma Bašić\Toma-Basic,MF,Bordeaux,fr Ligue 1,23,28.9,0.73,86.2,1.42
Álvaro Bastida\Alvaro-Bastida,MF,Cádiz,es La Liga,16,0.4,0.00,20.0,0.00
Alessandro Bastoni\Alessandro-Bastoni,DF,Inter,it Serie A,21,32.5,0.22,193.8,0.28
Simone Bastoni\Simone-Bastoni,DF,Spezia,it Serie A,23,16.9,0.83,180.5,1.42
Bastos\Bastos,DF,Lazio,it Serie A,29,0.7,2.86,98.6,0.00
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,eng Premier League,26,8.1,1.48,60.4,1.98
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,es La Liga,29,27.7,0.65,76.0,0.54
Cristian Battocchio\Cristian-Battocchio,MFFW,Brest,fr Ligue 1,28,3.9,1.03,77.4,0.51
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31.0,0.00,50.4,0.03
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,de Bundesliga,32,11.9,0.59,51.3,0.42
Christoph Baumgartner\Christoph-Baumgartner,MFFW,Hoffenheim,de Bundesliga,20,26.3,1.63,113.7,2.85
Jon Bautista\Jon-Bautista,FWMF,Real Sociedad,es La Liga,25,4.1,0.49,43.2,2.93
Paul Baysse\Paul-Baysse,DF,Bordeaux,fr Ligue 1,32,29.0,0.10,121.1,0.28
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,de Bundesliga,23,0.4,2.50,27.5,5.00
Ihlas Bebou\Ihlas-Bebou,FW,Hoffenheim,de Bundesliga,26,24.4,2.09,87.8,4.55
Rodrigo Becão\Rodrigo-Becao,DF,Udinese,it Serie A,24,30.9,0.26,103.6,0.32
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,de Bundesliga,25,12.3,0.98,142.6,2.03
Timo Becker\Timo-Becker,DF,Schalke 04,de Bundesliga,23,18.2,0.99,86.5,0.93
Jan Bednarek\Jan-Bednarek,DF,Southampton,eng Premier League,24,34.4,0.06,104.5,0.15
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,eng Premier League,23,5.8,1.55,62.4,1.38
Valon Behrami\Valon-Behrami,MF,Genoa,it Serie A,35,9.9,0.30,34.4,0.51
Brian Behrendt\Brian-Behrendt,DF,Arminia,de Bundesliga,28,0.9,1.11,60.0,0.00
Maximilian Beier\Maximilian-Beier,FWDF,Hoffenheim,de Bundesliga,17,0.1,0.00,190.0,0.00
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,de Bundesliga,28,6.6,2.42,50.9,2.73
Erwan Belhadji\Erwan-Belhadji,MF,Dijon,fr Ligue 1,19,0.3,3.33,140.0,6.67
Haris Belkebla\Haris-Belkebla,MF,Brest,fr Ligue 1,26,30.3,0.83,92.4,0.63
Stefan Bell\Stefan-Bell,DF,Mainz 05,de Bundesliga,28,14.1,0.00,71.6,0.07
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,de Bundesliga,30,8.9,3.03,150.9,2.70
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,fr Ligue 1,22,23.2,2.16,109.9,2.37
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,eng Premier League,25,23.2,0.69,119.1,0.69
Jude Bellingham\Jude-Bellingham,MF,Dortmund,de Bundesliga,17,18.9,1.64,104.7,1.43
