,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,fr Ligue 1,33,18.9,33.3,0.07,-0.02
Salim Ben Seghir\Salim-Ben-Seghir,DF,Nice,fr Ligue 1,17,0.1,,,0.00
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,fr Ligue 1,29,29.0,32.4,0.15,0.03
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,13.5,36.4,0.08,-0.06
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,0.5,,,0.00
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,10.4,0.0,0.05,-0.02
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,13.0,33.3,0.05,-0.01
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,17.5,37.8,0.18,-0.15
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,7.3,37.5,0.05,0.08
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,1.7,0.0,0.03,-0.06
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38.0,,,0.00
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,29.5,16.7,0.05,-0.01
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,0.0,,,0.0
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,0.8,,,0.00
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,1.7,,,0.00
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,14.7,8.3,0.06,-0.05
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,15.5,31.4,0.07,-0.08
Yassine Benrahou\Yassine-Benrahou,MF,Nîmes,fr Ligue 1,21,13.8,21.1,0.04,-0.06
Ramy Bensebaini\Ramy-Bensebaini,DF,M'Gladbach,de Bundesliga,25,20.1,33.3,0.07,0.08
Josh Benson\Josh-Benson,MF,Burnley,eng Premier League,20,2.9,0.0,0.09,-0.07
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,de Bundesliga,25,6.1,,,-0.13
Rodrigo Bentancur\Rodrigo-Bentancur,MF,Juventus,it Serie A,23,25.8,33.3,0.04,-0.03
Christian Benteke\Christian-Benteke,FW,Crystal Palace,eng Premier League,29,20.2,46.5,0.11,0.09
Karim Benzema\Karim-Benzema,FW,Real Madrid,es La Liga,32,32.2,41.0,0.14,0.16
Yassine Benzia\Yassine-Benzia,MFFW,Dijon,fr Ligue 1,25,4.5,0.0,0.08,0.04
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,0.3,,,0.00
Domenico Berardi\Domenico-Berardi,FWMF,Sassuolo,it Serie A,25,27.5,29.4,0.08,0.09
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,eng Premier League,31,1.3,0.0,0.03,0.00
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,es La Liga,30,18.7,37.5,0.05,0.01
Álex Berenguer\Alex-Berenguer,MF,Torino,it Serie A,25,1.5,100.0,0.16,-0.20
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,es La Liga,25,25.3,31.3,0.13,0.08
Bartosz Bereszyński\Bartosz-Bereszynski,DF,Sampdoria,it Serie A,28,29.0,33.3,0.04,0.03
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,eng Premier League,29,15.1,42.1,0.09,0.02
Sander Berge\Sander-Berge,MF,Sheffield Utd,eng Premier League,22,12.4,11.1,0.05,-0.02
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,eng Premier League,22,13.4,33.3,0.17,-0.11
Valon Berisha\Valon-Berisha,MF,Reims,fr Ligue 1,27,18.3,14.3,0.05,-0.05
Bernard\Bernard,MFFW,Everton,eng Premier League,27,5.1,33.3,0.03,0.16
Federico Bernardeschi\Federico-Bernardeschi,DFMF,Juventus,it Serie A,26,10.8,46.2,0.12,-0.14
Bernardo\Bernardo,DFMF,Brighton,eng Premier League,25,2.3,0.0,0.08,-0.13
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38.0,,,0.00
Juan Bernat\Juan-Bernat,DF,Paris S-G,fr Ligue 1,27,2.2,,,0.00
Dimitry Bertaud\Dimitry-Bertaud,GK,Montpellier,fr Ligue 1,22,8.3,,,0.00
Marco Bertini\Marco-Bertini,MF,Lazio,it Serie A,17,0.1,,,0.00
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,eng Premier League,30,28.9,37.5,0.08,-0.02
Daniel Bessa\Daniel-Bessa,MFFW,Hellas Verona,it Serie A,27,6.8,50.0,0.10,-0.12
Loïc Bessile\Loic-Bessile,DF,Bordeaux,fr Ligue 1,21,1.0,,,0.00
Louis Beyer\Louis-Beyer,DF,M'Gladbach,de Bundesliga,20,2.1,,,0.00
Bartosz Bialek\Bartosz-Bialek,FWMF,Wolfsburg,de Bundesliga,18,3.0,55.6,0.23,-0.03
Giulian Biancone\Giulian-Biancone,DFMF,Monaco,fr Ligue 1,20,1.0,0.0,0.04,0.00
Ermin Bičakčić\Ermin-Bicakcic,DF,Hoffenheim,de Bundesliga,30,1.4,50.0,0.18,0.43
Pedro Bigas\Pedro-Bigas,DF,Eibar,es La Liga,29,17.0,10.0,0.09,-0.05
El Bilal Touré\El-Bilal-Toure,FWMF,Reims,fr Ligue 1,18,13.8,45.0,0.12,0.12
Cristiano Biraghi\Cristiano-Biraghi,DF,Fiorentina,it Serie A,27,31.1,24.0,0.08,-0.03
Davide Biraschi\Davide-Biraschi,DF,Genoa,it Serie A,26,10.2,0.0,0.04,-0.01
Yves Bissouma\Yves-Bissouma,MF,Brighton,eng Premier League,23,34.6,7.1,0.03,-0.01
Leonardo Bittencourt\Leonardo-Bittencourt,MFFW,Werder Bremen,de Bundesliga,26,16.8,23.8,0.09,-0.02
Blanco\Blanco,MFDF,Real Madrid,es La Liga,20,2.4,0.0,0.02,0.00
Alejandro Blanco\Alejandro-Blanco,MF,Valencia,es La Liga,21,6.4,28.6,0.11,0.03
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,es La Liga,25,18.2,,,0.00
Ludovic Blas\Ludovic-Blas,MFFW,Nantes,fr Ligue 1,22,31.0,33.3,0.09,0.11
Alejandro Blesa\Alejandro-Blesa,MF,Levante,es La Liga,18,0.1,,,0.00
Jérôme Boateng\Jerome-Boateng,DF,Bayern Munich,de Bundesliga,31,26.3,37.5,0.04,0.03
Antonin Bobichon\Antonin-Bobichon,MFFW,Angers,fr Ligue 1,24,10.1,13.6,0.05,-0.11
Yann Bodiger\Yann-Bodiger,MF,Cádiz,es La Liga,25,2.8,,,0.00
Jean-Paul Boëtius\Jean-Paul-Boetius,MFFW,Mainz 05,de Bundesliga,26,22.9,31.0,0.10,-0.03
Sacha Boey\Sacha-Boey,DF,Dijon,fr Ligue 1,19,20.7,10.0,0.03,-0.01
Sacha Boey\Sacha-Boey,DF,Rennes,fr Ligue 1,19,1.4,0.0,0.12,-0.07
Jeremie Boga\Jeremie-Boga,FWMF,Sassuolo,it Serie A,23,19.8,45.5,0.11,0.02
Melayro Bogarde\Melayro-Bogarde,DFMF,Hoffenheim,de Bundesliga,18,3.1,50.0,0.02,-0.03
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,eng Premier League,20,12.3,41.2,0.10,0.02
Quentin Boisgard\Quentin-Boisgard,MFFW,Lorient,fr Ligue 1,23,14.6,29.2,0.08,0.01
Willy Boly\Willy-Boly,DF,Wolves,eng Premier League,29,20.9,21.4,0.08,-0.00
Giacomo Bonaventura\Giacomo-Bonaventura,MF,Fiorentina,it Serie A,30,25.1,25.6,0.06,0.01
Federico Bonazzoli\Federico-Bonazzoli,FW,Sampdoria,it Serie A,23,1.5,0.0,0.04,-0.13
Federico Bonazzoli\Federico-Bonazzoli,FW,Torino,it Serie A,23,6.3,28.6,0.07,0.06
Kevin Bonifazi\Kevin-Bonifazi,DF,Udinese,it Serie A,24,27.4,0.0,0.08,-0.05
Leonardo Bonucci\Leonardo-Bonucci,DF,Juventus,it Serie A,33,22.5,18.8,0.18,-0.03
Elias Bördner\Elias-Bordner,GK,Eint Frankfurt,de Bundesliga,18,1.0,,,0.00
Dennis Borkowski\Dennis-Borkowski,MFFW,RB Leipzig,de Bundesliga,18,0.1,,,0.00
Sebastiaan Bornauw\Sebastiaan-Bornauw,DF,Köln,de Bundesliga,21,23.1,26.7,0.09,-0.01
Sven Botman\Sven-Botman,DF,Lille,fr Ligue 1,20,36.8,31.3,0.06,-0.03
Denis Bouanga\Denis-Bouanga,MFFW,Saint-Étienne,fr Ligue 1,25,30.2,36.1,0.10,-0.17
Hicham Boudaoui\Hicham-Boudaoui,MFFW,Nice,fr Ligue 1,20,19.3,56.3,0.15,0.04
Ryad Boudebouz\Ryad-Boudebouz,MFFW,Saint-Étienne,fr Ligue 1,30,7.2,27.3,0.07,-0.32
Sofiane Boufal\Sofiane-Boufal,FWMF,Angers,fr Ligue 1,26,8.1,35.7,0.11,-0.07
Nassim Boujellab\Nassim-Boujellab,MFFW,Schalke 04,de Bundesliga,21,6.7,42.9,0.10,-0.06
Farid Boulaya\Farid-Boulaya,MFFW,Metz,fr Ligue 1,27,31.3,33.8,0.05,0.02
Yassine Bounou\Yassine-Bounou,GK,Sevilla,es La Liga,29,33.0,100.0,0.34,0.02
Ismaëlben Boura\Ismaelben-Boura,DF,Lens,fr Ligue 1,19,9.1,0.0,0.10,-0.02
Mehdi Bourabia\Mehdi-Bourabia,MF,Sassuolo,it Serie A,28,5.9,33.3,0.07,0.07
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,fr Ligue 1,26,28.4,37.5,0.09,0.01
Edoardo Bove\Edoardo-Bove,MF,Roma,it Serie A,18,0.1,,,0.00
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,eng Premier League,23,28.5,29.1,0.11,0.06
Dedryck Boyata\Dedryck-Boyata,DF,Hertha BSC,de Bundesliga,29,17.2,10.0,0.06,0.02
John Boye\John-Boye,DF,Metz,fr Ligue 1,33,33.8,15.4,0.14,-0.03
Lucas Boyé\Lucas-Boye,FW,Elche,es La Liga,24,29.9,38.6,0.10,0.04
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,de Bundesliga,19,7.2,25.0,0.05,-0.06
Umut Bozok\Umut-Bozok,FWMF,Lorient,fr Ligue 1,23,0.7,,,0.00
Jayden Braaf\Jayden-Braaf,FW,Udinese,it Serie A,17,1.3,100.0,0.10,0.62
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,fr Ligue 1,20,14.0,75.0,0.06,0.05
Robbie Brady\Robbie-Brady,MF,Burnley,eng Premier League,28,11.7,31.3,0.05,0.02
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,es La Liga,29,13.1,30.4,0.19,-0.23
Julian Brandt\Julian-Brandt,FWMF,Dortmund,de Bundesliga,24,16.6,34.8,0.13,0.00
Darko Brašanac\Darko-Brasanac,MF,Osasuna,es La Liga,28,10.1,50.0,0.16,0.07
Lilian Brassier\Lilian-Brassier,DF,Brest,fr Ligue 1,20,10.7,20.0,0.05,0.07
Álvaro Bravo\Alvaro-Bravo,MF,Granada,es La Liga,22,0.2,,,0.00
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20.0,,,0.00
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1.0,,,0.00
Josip Brekalo\Josip-Brekalo,FW,Wolfsburg,de Bundesliga,22,20.2,44.7,0.08,0.16
Gleison Bremer\Gleison-Bremer,DF,Torino,it Serie A,23,32.6,34.6,0.13,0.05
Joshua Brenet\Joshua-Brenet,DF,Hoffenheim,de Bundesliga,26,0.0,,,0.0
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,eng Premier League,20,12.5,28.0,0.07,-0.14
Anthony Briançon\Anthony-Briancon,DF,Nîmes,fr Ligue 1,25,13.6,50.0,0.06,-0.01
Jimmy Briand\Jimmy-Briand,FW,Bordeaux,fr Ligue 1,34,6.3,25.0,0.07,-0.10
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,es La Liga,22,14.7,42.9,0.05,-0.02
Nathan Broadhead\Nathan-Broadhead,MF,Everton,eng Premier League,22,0.0,,,0.0
Dylan Bronn\Dylan-Bronn,DF,Metz,fr Ligue 1,25,37.9,23.1,0.05,-0.00
John Brooks\John-Brooks,DF,Wolfsburg,de Bundesliga,27,30.8,22.2,0.09,0.01
Daniel Brosinski\Daniel-Brosinski,DF,Mainz 05,de Bundesliga,32,15.9,14.3,0.05,0.01
Josh Brownhill\Josh-Brownhill,MF,Burnley,eng Premier League,24,31.3,22.2,0.05,-0.06
Marcelo Brozović\Marcelo-Brozovic,MF,Inter,it Serie A,27,28.7,22.2,0.07,0.01
Gastón Brugman\Gaston-Brugman,MF,Parma,it Serie A,27,18.0,44.4,0.06,-0.01
Juan Brunet\Juan-Brunet,MF,Granada,es La Liga,22,0.3,,,0.00
Juan Brunetta\Juan-Brunetta,FWMF,Parma,it Serie A,23,5.3,50.0,0.13,-0.06
Cédric Brunner\Cedric-Brunner,DF,Arminia,de Bundesliga,26,29.5,33.3,0.06,-0.01
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,de Bundesliga,21,1.0,,,0.00
Bryan\Bryan,FW,Sevilla,es La Liga,19,0.1,,,0.00
Bryan\Bryan,MFFW,Eibar,es La Liga,19,25.2,37.5,0.09,0.00
Joe Bryan\Joe-Bryan,DFFW,Fulham,eng Premier League,26,7.4,25.0,0.05,0.08
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,eng Premier League,23,11.2,50.0,0.20,0.05
Lucas Buadés\Lucas-Buades,MF,Nîmes,fr Ligue 1,22,0.2,,,0.00
Ante Budimir\Ante-Budimir,FW,Osasuna,es La Liga,29,18.1,48.9,0.16,0.22
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8.0,,,0.00
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,de Bundesliga,27,10.9,36.8,0.10,-0.09
Alessandro Buongiorno\Alessandro-Buongiorno,DF,Torino,it Serie A,21,9.5,0.0,0.06,-0.02
Esteban Burgos\Esteban-Burgos,DF,Eibar,es La Liga,28,12.3,66.7,0.35,-0.02
Burgui\Burgui,MF,Alavés,es La Liga,26,0.2,,,0.00
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,de Bundesliga,20,15.3,34.4,0.14,-0.16
Nishan Burkart\Nishan-Burkart,MF,Freiburg,de Bundesliga,20,0.2,,,0.00
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,eng Premier League,23,14.1,24.0,0.10,-0.10
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,18.5,,,0.00
Dan Burn\Dan-Burn,DF,Brighton,eng Premier League,28,22.9,37.5,0.10,-0.02
Patrick Burner\Patrick-Burner,DF,Nice,fr Ligue 1,24,0.0,,,0.0
Patrick Burner\Patrick-Burner,DF,Nîmes,fr Ligue 1,24,14.6,16.7,0.07,-0.03
Maxime Busi\Maxime-Busi,DF,Parma,it Serie A,20,13.3,12.5,0.07,-0.04
Sergio Busquets\Sergio-Busquets,MF,Barcelona,es La Liga,32,28.0,33.3,0.07,-0.01
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1.0,,,0.00
David Button\David-Button,GK,West Brom,eng Premier League,31,1.0,,,0.00
Oskar Buur\Oskar-Buur,DF,Wolves,eng Premier League,22,0.2,,,0.00
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1.0,,,0.00
Erick Cabaco\Erick-Cabaco,DF,Getafe,es La Liga,25,14.7,0.0,0.06,-0.01
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1.0,,,0.00
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,fr Ligue 1,26,10.5,40.0,0.12,-0.02
Martín Cáceres\Martin-Caceres,DF,Fiorentina,it Serie A,33,24.9,40.0,0.08,0.03
Anthony Caci\Anthony-Caci,DF,Strasbourg,fr Ligue 1,23,31.1,0.0,0.04,-0.01
Mathieu Cafaro\Mathieu-Cafaro,MFFW,Reims,fr Ligue 1,23,23.0,32.8,0.06,0.03
Gary Cahill\Gary-Cahill,DF,Crystal Palace,eng Premier League,34,20.0,27.3,0.06,0.01
Yannick Cahuzac\Yannick-Cahuzac,MF,Lens,fr Ligue 1,35,25.0,25.0,0.20,-0.02
Felipe Caicedo\Felipe-Caicedo,FW,Lazio,it Serie A,31,10.3,36.7,0.15,0.26
Marc-Aurèle Caillard\Marc-Aurele-Caillard,GK,Metz,fr Ligue 1,26,4.0,,,0.00
Tom Cairney\Tom-Cairney,MF,Fulham,eng Premier League,29,8.4,33.3,0.06,0.04
Cala\Cala,DF,Cádiz,es La Liga,30,25.2,35.7,0.10,0.06
Arturo Calabresi\Arturo-Calabresi,DF,Cagliari,it Serie A,24,0.2,,,0.00
Arturo Calabresi\Arturo-Calabresi,DF,Bologna,it Serie A,24,0.2,,,0.00
Davide Calabria\Davide-Calabria,DF,Milan,it Serie A,23,29.4,29.2,0.05,0.03
Riccardo Calafiori\Riccardo-Calafiori,DF,Roma,it Serie A,18,0.7,,,0.00
Mattia Caldara\Mattia-Caldara,DF,Atalanta,it Serie A,26,1.2,0.0,0.13,-0.25
Luca Caldirola\Luca-Caldirola,DF,Benevento,it Serie A,29,17.5,50.0,0.12,0.06
Duje Ćaleta-Car\Duje-Caleta-Car,DF,Marseille,fr Ligue 1,23,31.3,30.0,0.10,0.03
Hakan Çalhanoğlu\Hakan-Calhanoglu,MFFW,Milan,it Serie A,26,29.0,27.4,0.06,-0.05
Kerim Calhanoglu\Kerim-Calhanoglu,DF,Schalke 04,de Bundesliga,17,3.3,100.0,0.11,-0.03
Fabrizio Caligara\Fabrizio-Caligara,MF,Cagliari,it Serie A,20,2.0,,,0.00
Daniel Caligiuri\Daniel-Caligiuri,MFDF,Augsburg,de Bundesliga,32,29.6,34.2,0.07,0.04
José Callejón\Jose-Callejon,FWMF,Fiorentina,it Serie A,33,7.4,11.1,0.03,-0.04
Jonathan Calleri\Jonathan-Calleri,FW,Osasuna,es La Liga,26,17.2,34.7,0.12,-0.05
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,eng Premier League,23,31.9,56.8,0.19,0.02
Dani Calvo\Dani-Calvo,DF,Elche,es La Liga,26,19.8,57.1,0.13,0.06
Drissa Camara\Drissa-Camara,MF,Parma,it Serie A,18,0.2,,,0.00
Mahdi Camara\Mahdi-Camara,MFDF,Saint-Étienne,fr Ligue 1,22,36.6,45.5,0.16,-0.01
Eduardo Camavinga\Eduardo-Camavinga,MF,Rennes,fr Ligue 1,17,26.7,30.8,0.07,-0.03
José Campaña\Jose-Campana,MF,Levante,es La Liga,27,8.3,33.3,0.06,-0.05
Emre Can\Emre-Can,DFMF,Dortmund,de Bundesliga,26,23.7,23.5,0.05,0.01
Sergio Canales\Sergio-Canales,MFFW,Betis,es La Liga,29,27.8,24.4,0.07,0.09
João Cancelo\Joao-Cancelo,DF,Manchester City,eng Premier League,26,25.5,31.4,0.06,0.00
Antonio Candreva\Antonio-Candreva,MF,Sampdoria,it Serie A,33,27.8,31.6,0.06,0.01
Álex Cantero\Alex-Cantero,FW,Levante,es La Liga,20,2.6,0.0,0.05,-0.08
Ander Capa\Ander-Capa,DF,Athletic Club,es La Liga,28,23.7,50.0,0.10,0.04
Pierrick Capelle\Pierrick-Capelle,MFDF,Angers,fr Ligue 1,33,22.8,17.2,0.13,-0.03
Étienne Capoue\Etienne-Capoue,MF,Villarreal,es La Liga,32,13.2,37.5,0.06,0.04
Elio Capradossi\Elio-Capradossi,DF,Spezia,it Serie A,24,1.0,0.0,0.13,-0.10
Gianluca Caprari\Gianluca-Caprari,MFFW,Benevento,it Serie A,27,20.7,31.9,0.07,0.04
Francesco Caputo\Francesco-Caputo,FW,Sassuolo,it Serie A,32,18.9,42.5,0.18,0.08
Maxence Caqueret\Maxence-Caqueret,MF,Lyon,fr Ligue 1,20,19.6,0.0,0.08,-0.04
Andrea Carboni\Andrea-Carboni,DF,Cagliari,it Serie A,19,12.1,0.0,0.05,-0.02
Isaac Carcelen\Isaac-Carcelen,DF,Cádiz,es La Liga,27,28.7,27.3,0.03,-0.01
Cárdenas\Cardenas,GK,Levante,es La Liga,23,8.0,,,0.00
Irvin Cardona\Irvin-Cardona,FWMF,Brest,fr Ligue 1,22,22.5,35.7,0.14,-0.03
Marc Cardona\Marc-Cardona,FWMF,Osasuna,es La Liga,25,0.6,100.0,0.17,-0.33
Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,eng Premier League,20,3.9,60.0,0.07,-0.10
Diego Carlos\Diego-Carlos,DF,Sevilla,es La Liga,27,31.0,33.3,0.07,0.00
Juan Carlos\Juan-Carlos,MFFW,Huesca,es La Liga,29,3.2,25.0,0.11,-0.16
Lionel Carole\Lionel-Carole,DF,Strasbourg,fr Ligue 1,29,14.9,33.3,0.04,-0.01
Yannick Carrasco\Yannick-Carrasco,DFMF,Atlético Madrid,es La Liga,26,24.2,58.1,0.14,0.00
Sergio Carreira\Sergio-Carreira,DF,Celta Vigo,es La Liga,19,2.9,50.0,0.19,0.21
Guido Carrillo\Guido-Carrillo,FW,Elche,es La Liga,29,11.1,26.9,0.10,0.03
Andy Carroll\Andy-Carroll,FW,Newcastle Utd,eng Premier League,31,4.4,14.3,0.08,-0.05
Scott Carson\Scott-Carson,GK,Manchester City,eng Premier League,34,1.0,,,0.00
Dani Carvajal\Dani-Carvajal,DF,Real Madrid,es La Liga,28,10.6,20.0,0.06,-0.06
Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,eng Premier League,17,2.8,44.4,0.13,-0.04
William Carvalho\William-Carvalho,MF,Betis,es La Liga,28,13.6,40.0,0.08,0.05
Casemiro\Casemiro,MF,Real Madrid,es La Liga,28,32.2,24.4,0.10,0.04
Matty Cash\Matty-Cash,DF,Aston Villa,eng Premier League,22,26.4,22.2,0.04,-0.01
Kiko Casilla\Kiko-Casilla,GK,Leeds United,eng Premier League,33,3.0,,,0.00
Giuseppe Caso\Giuseppe-Caso,MF,Genoa,it Serie A,21,0.6,,,0.00
Moreto Cassamã\Moreto-Cassama,MF,Reims,fr Ligue 1,22,22.6,18.2,0.03,0.03
Francesco Cassata\Francesco-Cassata,DFMF,Genoa,it Serie A,23,2.5,100.0,0.05,-0.04
Timothy Castagne\Timothy-Castagne,DF,Leicester City,eng Premier League,24,26.1,37.5,0.16,0.03
Koen Casteels\Koen-Casteels,GK,Wolfsburg,de Bundesliga,28,32.0,,,0.00
Jean-Charles Castelletto\Jean-Charles-Castelletto,DF,Nantes,fr Ligue 1,25,21.6,50.0,0.23,-0.03
Samu Castillejo\Samu-Castillejo,FW,Milan,it Serie A,25,13.1,28.0,0.08,-0.08
Gonzalo Castro\Gonzalo-Castro,MFFW,Stuttgart,de Bundesliga,33,19.2,35.5,0.11,0.04
Jonny Castro\Jonny-Castro,DF,Wolves,eng Premier League,26,5.5,0.0,0.06,-0.02
Gaetano Castrovilli\Gaetano-Castrovilli,MF,Fiorentina,it Serie A,23,25.9,42.4,0.11,0.06
Danilo Cataldi\Danilo-Cataldi,MF,Lazio,it Serie A,25,6.3,33.3,0.07,-0.06
Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,eng Premier League,26,27.5,34.8,0.10,-0.12
Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,eng Premier League,33,15.3,42.9,0.21,0.17
Dani Ceballos\Dani-Ceballos,MF,Arsenal,eng Premier League,23,17.9,16.7,0.06,-0.04
Federico Ceccherini\Federico-Ceccherini,DF,Fiorentina,it Serie A,28,3.0,,,0.00
Federico Ceccherini\Federico-Ceccherini,DF,Hellas Verona,it Serie A,28,19.3,0.0,0.09,-0.05
Zeki Çelik\Zeki-Celik,DF,Lille,fr Ligue 1,23,26.5,37.5,0.05,0.08
Bersant Celina\Bersant-Celina,MFFW,Dijon,fr Ligue 1,23,25.5,20.8,0.06,-0.06
Fabien Centonze\Fabien-Centonze,DF,Metz,fr Ligue 1,24,35.8,28.0,0.05,-0.01
Luca Ceppitelli\Luca-Ceppitelli,DF,Cagliari,it Serie A,30,16.3,14.3,0.06,-0.02
Alberto Cerri\Alberto-Cerri,FWMF,Cagliari,it Serie A,24,4.1,37.5,0.16,-0.37
Sava Cestic\Sava-Cestic,DF,Köln,de Bundesliga,19,10.0,0.0,0.11,-0.01
Julian Chabot\Julian-Chabot,DF,Spezia,it Serie A,22,18.4,22.2,0.07,0.02
Nassim Chadli\Nassim-Chadli,FWMF,Nîmes,fr Ligue 1,19,0.3,,,0.00
Fouad Chafik\Fouad-Chafik,DF,Dijon,fr Ligue 1,33,18.0,20.0,0.03,0.04
Mehdi Chahiri\Mehdi-Chahiri,FWMF,Strasbourg,fr Ligue 1,24,8.9,33.3,0.09,0.01
Sofian Chakla\Sofian-Chakla,DF,Getafe,es La Liga,26,10.0,33.3,0.05,-0.01
Sofian Chakla\Sofian-Chakla,DF,Villarreal,es La Liga,26,0.1,0.0,0.06,-1.00
Aníbal Chalá\Anibal-Chala,DF,Dijon,fr Ligue 1,24,8.3,,,0.00
Trevoh Chalobah\Trevoh-Chalobah,DFMF,Lorient,fr Ligue 1,21,24.9,21.4,0.14,0.00
Calum Chambers\Calum-Chambers,DF,Arsenal,eng Premier League,25,8.4,0.0,0.07,-0.07
Timothy Chandler\Timothy-Chandler,DF,Eint Frankfurt,de Bundesliga,30,4.8,33.3,0.15,0.02
Kwon Chang-hoon\Kwon-Chang-hoon,MFFW,Freiburg,de Bundesliga,26,2.4,0.0,0.03,-0.04
Gaëtan Charbonnier\Gaetan-Charbonnier,MFFW,Brest,fr Ligue 1,31,17.4,35.3,0.15,0.02
Brendan Chardonnet\Brendan-Chardonnet,DF,Brest,fr Ligue 1,25,30.2,45.0,0.12,0.02
Xavier Chavalerin\Xavier-Chavalerin,MF,Reims,fr Ligue 1,29,28.3,27.3,0.05,-0.04
Pape Cheikh Diop\Pape-Cheikh-Diop,MF,Dijon,fr Ligue 1,22,12.1,0.0,0.07,-0.03
Chema\Chema,DFMF,Getafe,es La Liga,28,6.2,33.3,0.02,0.00
Rayan Cherki\Rayan-Cherki,FWMF,Lyon,fr Ligue 1,16,7.8,31.3,0.06,0.00
Denis Cheryshev\Denis-Cheryshev,MF,Valencia,es La Liga,29,12.2,23.8,0.07,-0.12
Giorgio Chiellini\Giorgio-Chiellini,DF,Juventus,it Serie A,35,15.4,0.0,0.10,-0.04
Federico Chiesa\Federico-Chiesa,MFDF,Juventus,it Serie A,22,24.6,41.7,0.10,0.08
Federico Chiesa\Federico-Chiesa,DF,Fiorentina,it Serie A,22,2.7,11.1,0.08,0.11
Ben Chilwell\Ben-Chilwell,DF,Chelsea,eng Premier League,23,25.4,37.0,0.09,0.02
Vlad Chiricheș\Vlad-Chiriches,DF,Sassuolo,it Serie A,30,20.4,27.3,0.10,0.04
Pedro Chirivella\Pedro-Chirivella,MF,Nantes,fr Ligue 1,23,25.3,22.2,0.04,-0.01
Tahith Chong\Tahith-Chong,FWMF,Werder Bremen,de Bundesliga,20,4.3,11.1,0.03,-0.07
Joris Chotard\Joris-Chotard,MF,Montpellier,fr Ligue 1,18,12.9,37.5,0.09,-0.05
