,Player,Position,Team,Comp,Age,MP,Min,Goals,Ast,G+A,xG,xA,SoT%,npxG/Sh,G-xG,Pass Cmp%,Prog Passes,Through Balls,Passes Under Pressure,Switch Passes,Crosses,Shot Creating Actions,Dribbles to Shot,Def Action to Shot,Tackles,Press,Shots Blocked,Interceptions,Clearances,Errors,Dribbles Successful,Dribble Distance,Mistakes,Ball Recoveries,Air Duels Won%,Values
975,Robert Gumny,DF,augsburg,de Bundesliga,22,24,1377,0.07,0.0,0.07,0.05,0.03,42.9,0.11,0.01,74.6,2.16,0.0,6.21,0.39,1.5,0.98,0.0,0.0,1.24,13.0,0.26,1.83,1.83,0.0,0.78,70.6,0.92,7.78,40.9,3300000.0
976,Edinson Cavani,FW,manchester utd,eng Premier League,33,26,1375,0.65,0.2,0.85,0.48,0.18,42.9,0.21,0.17,78.7,1.18,0.13,3.59,0.46,0.33,2.22,0.13,0.13,0.98,13.7,0.07,0.65,0.72,0.0,0.39,13.5,1.83,4.77,32.1,6600000.0
977,Angel Rodriguez,FWMF,getafe,es La Liga,33,33,1374,0.33,0.0,0.33,0.36,0.03,34.3,0.11,-0.03,66.7,0.65,0.0,5.88,0.65,0.92,1.63,0.0,0.0,0.33,16.2,0.13,0.13,0.46,0.0,0.59,40.3,3.2,4.38,25.2,3300000.0
978,Jonathan Burkardt,FWDF,mainz 05,de Bundesliga,20,29,1373,0.13,0.0,0.13,0.29,0.1,34.4,0.14,-0.16,70.8,2.16,0.0,5.88,0.26,0.78,1.9,0.07,0.0,1.96,19.0,0.33,0.33,0.92,0.0,1.5,81.8,2.88,7.78,26.6,4950000.0
979,Simon Banza,FW,lens,fr Ligue 1,23,34,1372,0.33,0.13,0.46,0.39,0.08,33.3,0.14,-0.06,74.5,1.38,0.07,6.71,0.59,0.72,1.91,0.07,0.07,1.18,11.7,0.2,0.33,0.86,0.0,0.79,47.8,3.42,3.55,45.5,2750000.0
980,Andreas Christensen,DF,chelsea,eng Premier League,24,17,1371,0.0,0.0,0.0,0.01,0.03,0.0,0.03,-0.01,92.8,3.03,0.0,5.39,0.92,0.07,0.59,0.0,0.0,1.32,6.78,0.99,1.71,5.26,0.07,0.07,156.9,0.13,8.62,67.2,33000000.0
981,Salih Ozcan,MFFW,koln,de Bundesliga,22,28,1371,0.0,0.07,0.07,0.04,0.05,45.5,0.06,-0.04,80.5,2.57,0.0,9.01,1.05,0.66,1.58,0.13,0.0,1.64,17.4,0.13,1.38,1.78,0.0,0.46,88.3,1.91,11.1,47.1,3850000.0
982,Matej Vydra,FW,burnley,eng Premier League,28,28,1371,0.2,0.13,0.33,0.4,0.12,25.7,0.17,-0.2,72.6,0.86,0.07,5.99,0.13,0.39,2.43,0.72,0.07,0.59,18.5,0.07,0.33,0.46,0.0,1.51,35.8,2.89,3.22,24.2,3300000.0
983,Alexander Hack,DF,mainz 05,de Bundesliga,26,21,1370,0.07,0.0,0.07,0.02,0.03,25.0,0.04,0.05,77.3,3.22,0.07,5.92,1.25,0.13,0.72,0.0,0.0,2.83,8.82,1.32,1.97,8.03,0.13,0.46,93.2,0.33,12.8,70.3,2200000.0
984,Fabio Silva,FW,wolves,eng Premier League,18,32,1369,0.26,0.2,0.46,0.39,0.03,34.8,0.11,-0.13,74.2,1.12,0.0,5.79,0.2,0.39,2.04,0.2,0.07,0.66,17.2,0.07,0.33,0.33,0.0,0.99,38.2,2.83,4.41,29.6,27500000.0
985,Nicolas Cozza,DF,montpellier,fr Ligue 1,21,20,1369,0.0,0.0,0.0,0.03,0.03,0.0,0.38,-0.03,79.7,2.96,0.0,3.88,0.66,0.86,0.53,0.0,0.0,2.57,12.0,0.79,1.38,3.36,0.0,0.79,101.2,0.99,7.43,39.5,4180000.0
986,Dominique Heintz,DF,freiburg,de Bundesliga,26,21,1369,0.0,0.0,0.0,0.02,0.03,25.0,0.06,-0.02,85.8,4.34,0.0,5.0,3.29,0.39,0.39,0.0,0.0,1.91,10.1,0.79,1.38,4.01,0.0,0.53,154.9,0.33,9.74,62.8,5500000.0
987,Flavien Tait,MFFW,rennes,fr Ligue 1,27,23,1368,0.07,0.2,0.26,0.16,0.15,33.3,0.1,-0.09,84.1,4.54,0.13,11.8,1.38,1.12,3.36,0.33,0.07,2.96,18.3,0.26,1.58,0.53,0.0,1.84,154.5,1.45,8.82,50.0,5500000.0
988,Carles Alena,MFFW,getafe,es La Liga,22,22,1366,0.13,0.13,0.26,0.13,0.13,26.7,0.06,0.01,68.9,4.08,0.07,6.12,1.91,1.58,3.75,0.26,0.07,1.18,17.1,0.07,0.46,0.59,0.0,1.18,85.3,1.12,7.76,26.0,16500000.0
989,Thomas Lemar,MFFW,atletico madrid,es La Liga,24,27,1366,0.07,0.2,0.26,0.09,0.13,43.5,0.06,-0.02,81.6,4.47,0.13,7.7,2.37,1.84,2.37,0.07,0.0,2.17,20.5,0.13,0.79,0.46,0.0,2.7,127.7,1.38,7.3,41.2,27500000.0
990,Samuel Chukwueze,MFFW,villarreal,es La Liga,21,28,1365,0.26,0.13,0.4,0.23,0.17,32.3,0.11,0.03,74.6,3.09,0.13,7.5,0.72,2.43,3.75,0.53,0.0,1.05,12.0,0.0,0.46,0.53,0.0,3.22,178.4,2.83,5.86,46.4,22000000.0
991,Johann Berg Gudmundsson,MF,burnley,eng Premier League,29,22,1363,0.13,0.0,0.13,0.11,0.03,42.1,0.09,0.02,75.4,2.25,0.07,7.02,1.19,1.59,1.79,0.0,0.07,1.26,11.0,0.13,1.13,0.93,0.0,0.4,82.0,0.79,7.15,38.0,3300000.0
992,Marash Kumbulla,DF,roma,it Serie A,20,21,1363,0.07,0.0,0.07,0.06,0.03,33.3,0.15,0.01,89.9,2.52,0.13,5.03,0.99,0.07,0.46,0.0,0.0,0.86,13.0,0.33,0.99,3.51,0.0,0.13,104.2,0.33,6.56,69.6,27500000.0
993,Angel Montoro,MF,granada,es La Liga,32,22,1362,0.07,0.07,0.13,0.09,0.11,13.3,0.04,-0.03,69.5,4.7,0.26,7.75,4.3,2.05,2.65,0.0,0.07,1.26,11.7,0.2,0.99,1.46,0.0,0.13,50.0,0.53,8.61,36.4,1320000.0
