Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Samir Ujkani\Samir-Ujkani,GK,Torino,it Serie A,32,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
Tomáš Vaclík\Tomas-Vaclik,GK,Sevilla,es La Liga,31,5,5,450,5.0,5,1.00,14,9,64.3,3,0,2,2,40.0,0,0,0,0,
Koke Vegas\Koke-Vegas,GK,Levante,es La Liga,24,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Guglielmo Vicario\Guglielmo-Vicario,GK,Cagliari,it Serie A,23,4,4,360,4.0,6,1.50,21,15,71.4,3,0,1,1,25.0,0,0,0,0,
Iván Villar\Ivan-Villar,GK,Celta Vigo,es La Liga,23,21,19,1781,19.8,30,1.52,72,47,66.7,7,5,7,5,26.3,7,6,1,0,14.3
João Virgínia\Joao-Virginia,GK,Everton,eng Premier League,20,1,0,48,0.5,0,0.00,3,3,100.0,0,0,0,0,,0,0,0,0,
Rubén Yáñez\Ruben-Yanez,GK,Getafe,es La Liga,26,10,10,900,10.0,12,1.20,30,19,63.3,3,3,4,4,40.0,1,1,0,0,0.0
Yoel\Yoel,GK,Eibar,es La Liga,31,4,3,300,3.3,3,0.90,5,2,40.0,0,1,2,0,0.0,0,0,0,0,
Robin Zentner\Robin-Zentner,GK,Mainz 05,de Bundesliga,25,31,31,2790,31.0,46,1.48,135,93,69.6,9,9,13,5,16.1,6,5,0,1,0.0
Ron-Robert Zieler\Ron-Robert-Zieler,GK,Köln,de Bundesliga,31,1,0,51,0.6,1,1.76,2,2,100.0,0,0,0,0,,1,1,0,0,0.0
Jeroen Zoet\Jeroen-Zoet,GK,Spezia,it Serie A,29,7,7,603,6.7,12,1.79,26,17,65.4,3,1,3,1,14.3,3,3,0,0,0.0
