,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Roberto Firmino\Roberto-Firmino,FW,Liverpool,eng Premier League,28,36,2838,0.29,0.22,0.51,0.40,0.20
Junior Firpo\Junior-Firpo,DF,Barcelona,es La Liga,23,7,289,0.31,0.31,0.62,0.25,0.22
John Fleck\John-Fleck,MF,Sheffield Utd,eng Premier League,28,31,2575,0.00,0.07,0.07,0.03,0.09
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3,270,0.00,0.00,0.00,0.00,0.00
Florian Flick\Florian-Flick,MF,Schalke 04,de Bundesliga,20,4,360,0.25,0.00,0.25,0.13,0.00
Alexis Flips\Alexis-Flips,MF,Reims,fr Ligue 1,20,2,43,2.00,0.00,2.09,0.20,0.00
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,fr Ligue 1,29,21,1538,0.12,0.06,0.18,0.13,0.12
Kingsley Fobi\Kingsley-Fobi,DF,Granada,es La Liga,21,1,45,0.00,0.00,0.00,0.00,0.00
Phil Foden\Phil-Foden,FWMF,Manchester City,eng Premier League,20,28,1616,0.50,0.28,0.78,0.31,0.23
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,fr Ligue 1,22,16,1070,0.00,0.00,0.00,0.03,0.01
Seko Fofana\Seko-Fofana,MF,Lens,fr Ligue 1,25,30,2309,0.08,0.12,0.19,0.12,0.09
Wesley Fofana\Wesley-Fofana,DF,Leicester City,eng Premier League,19,28,2262,0.00,0.00,0.00,0.04,0.01
Wesley Fofana\Wesley-Fofana,DF,Saint-Étienne,fr Ligue 1,19,4,315,0.00,0.00,0.00,0.06,0.00
Youssouf Fofana\Youssouf-Fofana,MF,Monaco,fr Ligue 1,21,35,2873,0.00,0.09,0.09,0.07,0.07
Thomas Foket\Thomas-Foket,DF,Reims,fr Ligue 1,25,37,3324,0.00,0.08,0.08,0.01,0.05
Ramón Folch\Ramon-Folch,MF,Elche,es La Liga,30,1,1,0,0,0.00,0.0,0.0
Lamine Fomba\Lamine-Fomba,MF,Nîmes,fr Ligue 1,22,32,2175,0.04,0.04,0.08,0.10,0.04
Thomas Fontaine\Thomas-Fontaine,DF,Lorient,fr Ligue 1,29,4,320,0.00,0.00,0.00,0.03,0.00
José Fontán\Jose-Fontan,DF,Celta Vigo,es La Liga,20,14,652,0.00,0.00,0.00,0.08,0.00
José Fonte\Jose-Fonte,DF,Lille,fr Ligue 1,36,36,3185,0.08,0.00,0.08,0.03,0.01
Fernando Forestieri\Fernando-Forestieri,FWMF,Udinese,it Serie A,30,19,552,0.16,0.16,0.33,0.20,0.23
Pablo Fornals\Pablo-Fornals,FWMF,West Ham,eng Premier League,24,33,2572,0.17,0.14,0.31,0.23,0.09
Emil Forsberg\Emil-Forsberg,FWMF,RB Leipzig,de Bundesliga,28,29,1539,0.41,0.23,0.64,0.34,0.31
Fraser Forster\Fraser-Forster,GK,Southampton,eng Premier League,32,8,720,0.00,0.00,0.00,0.00,0.00
Philipp Förster\Philipp-Forster,FWMF,Stuttgart,de Bundesliga,25,25,1509,0.18,0.06,0.24,0.25,0.15
Steven Fortes\Steven-Fortes,DF,Lens,fr Ligue 1,28,18,1435,0.00,0.00,0.00,0.01,0.01
Yassin Fortune\Yassin-Fortune,FW,Angers,fr Ligue 1,21,1,15,0.00,0.00,0.00,0.00,0.00
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,eng Premier League,22,1,80,0.00,0.00,0.00,0.00,0.33
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Leverkusen,de Bundesliga,22,6,409,0.00,0.00,0.00,0.04,0.02
Daam Foulon\Daam-Foulon,DF,Benevento,it Serie A,21,23,1021,0.00,0.09,0.09,0.00,0.03
Dimitri Foulquier\Dimitri-Foulquier,DF,Granada,es La Liga,27,32,2663,0.00,0.14,0.14,0.01,0.06
Juan Foyth\Juan-Foyth,DFMF,Villarreal,es La Liga,22,16,1168,0.00,0.00,0.00,0.01,0.02
Gianluca Frabotta\Gianluca-Frabotta,DF,Juventus,it Serie A,21,15,689,0.00,0.13,0.13,0.03,0.16
Raphael Framberger\Raphael-Framberger,DF,Augsburg,de Bundesliga,24,21,1540,0.00,0.06,0.06,0.00,0.12
Tyrese Francois\Tyrese-Francois,DF,Fulham,eng Premier League,20,1,15,0.00,0.00,0.00,0.00,0.00
Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,eng Premier League,26,18,928,0.00,0.19,0.19,0.09,0.20
Fred\Fred,MF,Manchester Utd,eng Premier League,27,30,2390,0.04,0.00,0.04,0.07,0.09
Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,eng Premier League,27,14,569,0.16,0.16,0.32,0.05,0.19
Remo Freuler\Remo-Freuler,MF,Atalanta,it Serie A,28,34,2712,0.07,0.10,0.17,0.07,0.09
Marco Friedl\Marco-Friedl,DF,Werder Bremen,de Bundesliga,22,32,2785,0.00,0.00,0.00,0.02,0.02
Marvin Friedrich\Marvin-Friedrich,DF,Union Berlin,de Bundesliga,24,34,3060,0.15,0.06,0.21,0.04,0.02
Jeremie Frimpong\Jeremie-Frimpong,DFFW,Leverkusen,de Bundesliga,19,10,436,0.00,0.00,0.00,0.02,0.13
Jorge de Frutos\Jorge-de-Frutos,MFFW,Levante,es La Liga,23,37,2186,0.16,0.37,0.54,0.14,0.22
Christian Fuchs\Christian-Fuchs,DF,Leicester City,eng Premier League,34,9,702,0.00,0.00,0.00,0.01,0.00
Angelo Fulgini\Angelo-Fulgini,MF,Angers,fr Ligue 1,23,33,2725,0.23,0.10,0.33,0.18,0.16
Niclas Füllkrug\Niclas-Fullkrug,FWMF,Werder Bremen,de Bundesliga,27,19,877,0.62,0.00,0.62,0.62,0.02
Ramiro Funes Mori\Ramiro-Funes-Mori,DF,Villarreal,es La Liga,29,10,727,0.00,0.00,0.00,0.15,0.00
Darnell Furlong\Darnell-Furlong,DF,West Brom,eng Premier League,24,35,2932,0.03,0.09,0.12,0.06,0.06
Daniel Fuzato\Daniel-Fuzato,GK,Roma,it Serie A,23,5,450,0.00,0.00,0.00,0.00,0.00
Baptiste Gabard\Baptiste-Gabard,MF,Saint-Étienne,fr Ligue 1,20,2,133,0.00,0.00,0.00,0.00,0.00
Matteo Gabbia\Matteo-Gabbia,DF,Milan,it Serie A,20,8,557,0.00,0.00,0.00,0.10,0.00
Manolo Gabbiadini\Manolo-Gabbiadini,FW,Sampdoria,it Serie A,28,16,870,0.31,0.21,0.52,0.37,0.19
Mijat Gaćinović\Mijat-Gacinovic,DFMF,Hoffenheim,de Bundesliga,25,23,822,0.00,0.22,0.22,0.20,0.21
Roberto Gagliardini\Roberto-Gagliardini,MF,Inter,it Serie A,26,28,1232,0.22,0.15,0.37,0.09,0.09
Riccardo Gagliolo\Riccardo-Gagliolo,DF,Parma,it Serie A,30,28,1956,0.09,0.09,0.18,0.11,0.05
Adolfo Gaich\Adolfo-Gaich,FW,Benevento,it Serie A,21,15,768,0.24,0.00,0.23,0.29,0.04
Andrey Galabinov\Andrey-Galabinov,FW,Spezia,it Serie A,31,12,430,0.63,0.21,0.84,0.44,0.04
Javi Galán\Javi-Galan,DF,Huesca,es La Liga,25,37,3065,0.03,0.06,0.09,0.01,0.09
Conor Gallagher\Conor-Gallagher,MF,West Brom,eng Premier League,20,30,2531,0.07,0.07,0.14,0.06,0.06
Enric Gallego\Enric-Gallego,FW,Osasuna,es La Liga,33,22,806,0.00,0.22,0.22,0.17,0.08
Kévin Gameiro\Kevin-Gameiro,FW,Valencia,es La Liga,33,27,1077,0.33,0.08,0.42,0.28,0.10
Idrissa Gana Gueye\Idrissa-Gana-Gueye,MF,Paris S-G,fr Ligue 1,30,28,1581,0.11,0.06,0.17,0.04,0.03
Ignatius Ganago\Ignatius-Ganago,FW,Lens,fr Ligue 1,21,24,1304,0.48,0.00,0.48,0.48,0.07
Aleix García\Aleix-Garcia,MF,Eibar,es La Liga,23,11,437,0.00,0.20,0.21,0.08,0.16
Borja García\Borja-Garcia,MFFW,Huesca,es La Liga,29,21,1117,0.08,0.00,0.08,0.10,0.10
Dani García\Dani-Garcia,MF,Athletic Club,es La Liga,30,27,1920,0.00,0.05,0.05,0.02,0.02
David García\David-Garcia,DF,Osasuna,es La Liga,26,35,3150,0.03,0.00,0.03,0.04,0.01
Eric García\Eric-Garcia,DF,Manchester City,eng Premier League,19,6,383,0.00,0.00,0.00,0.02,0.02
Manu García\Manu-Garcia,MF,Alavés,es La Liga,34,25,1124,0.00,0.00,0.00,0.06,0.02
Raúl García\Raul-Garcia,DFMF,Valladolid,es La Liga,31,8,504,0.18,0.00,0.18,0.02,0.04
Raúl García\Raul-Garcia,FWMF,Athletic Club,es La Liga,34,34,1743,0.26,0.05,0.31,0.33,0.07
Rubén García\Ruben-Garcia,MFFW,Osasuna,es La Liga,27,37,2718,0.10,0.17,0.26,0.11,0.17
Sergi García\Sergi-Garcia,MF,Alavés,es La Liga,21,2,16,0.00,0.00,0.00,0.00,0.00
Unai García\Unai-Garcia,DF,Osasuna,es La Liga,28,17,1242,0.00,0.00,0.00,0.04,0.01
Mario Gaspar\Mario-Gaspar,DF,Villarreal,es La Liga,29,24,1851,0.00,0.10,0.10,0.04,0.08
Manuel Gasparini\Manuel-Gasparini,GK,Udinese,it Serie A,18,1,3,0,0,0.00,0.0,0.0
Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,eng Premier League,29,18,514,0.18,0.18,0.35,0.35,0.09
Paulo Gazzaniga\Paulo-Gazzaniga,GK,Elche,es La Liga,28,8,720,0.00,0.00,0.00,0.00,0.01
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,Everton,eng Premier League,24,1,12,0.00,0.00,0.00,0.00,0.00
Yann Gboho\Yann-Gboho,MFFW,Rennes,fr Ligue 1,19,10,303,0.00,0.00,0.00,0.26,0.06
David de Gea\David-de-Gea,GK,Manchester Utd,eng Premier League,29,26,2295,0.00,0.00,0.00,0.00,0.00
Christian Gebauer\Christian-Gebauer,MFFW,Arminia,de Bundesliga,26,23,687,0.13,0.13,0.26,0.26,0.08
Theodor Gebre Selassie\Theodor-Gebre-Selassie,DF,Werder Bremen,de Bundesliga,33,34,3032,0.09,0.03,0.12,0.04,0.04
Emrehan Gedikli\Emrehan-Gedikli,FW,Leverkusen,de Bundesliga,17,1,25,0.00,0.00,0.00,0.00,0.00
Dennis Geiger\Dennis-Geiger,MF,Hoffenheim,de Bundesliga,22,9,658,0.14,0.14,0.27,0.04,0.23
Christian Gentner\Christian-Gentner,MF,Union Berlin,de Bundesliga,34,22,1033,0.00,0.00,0.00,0.03,0.09
Yannick Gerhardt\Yannick-Gerhardt,MFFW,Wolfsburg,de Bundesliga,26,29,1936,0.09,0.19,0.28,0.18,0.16
Valère Germain\Valere-Germain,FW,Marseille,fr Ligue 1,30,24,857,0.32,0.00,0.32,0.19,0.01
Gervinho\Gervinho,FW,Parma,it Serie A,33,27,2021,0.22,0.04,0.27,0.19,0.11
Willem Geubbels\Willem-Geubbels,FWMF,Monaco,fr Ligue 1,18,14,294,0.30,0.00,0.31,0.30,0.03
Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,FWMF,Stuttgart,de Bundesliga,29,6,46,0.00,0.00,0.00,0.40,0.00
Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,eng Premier League,25,28,1613,0.56,0.00,0.56,0.45,0.13
Paolo Ghiglione\Paolo-Ghiglione,DFMF,Genoa,it Serie A,23,23,1358,0.00,0.26,0.27,0.04,0.13
Faouzi Ghoulam\Faouzi-Ghoulam,DFFW,Napoli,it Serie A,29,11,289,0.00,0.00,0.00,0.03,0.13
Kieran Gibbs\Kieran-Gibbs,DF,West Brom,eng Premier League,30,10,809,0.00,0.00,0.00,0.00,0.03
Morgan Gibbs-White\Morgan-Gibbs-White,MFFW,Wolves,eng Premier League,20,11,414,0.22,0.00,0.22,0.22,0.13
Niko Gießelmann\Niko-Giesselmann,DF,Union Berlin,de Bundesliga,28,13,430,0.00,0.00,0.00,0.02,0.06
Rafał Gikiewicz\Rafal-Gikiewicz,GK,Augsburg,de Bundesliga,32,34,3060,0.00,0.00,0.00,0.00,0.00
David Gil\David-Gil,GK,Cádiz,es La Liga,26,4,360,0.00,0.00,0.00,0.00,0.00
Billy Gilmour\Billy-Gilmour,MF,Chelsea,eng Premier League,19,5,261,0.00,0.00,0.00,0.00,0.03
Álvaro Giménez\Alvaro-Gimenez,FWMF,Cádiz,es La Liga,29,11,407,0.44,0.22,0.66,0.31,0.00
Daniel Ginczek\Daniel-Ginczek,FWMF,Wolfsburg,de Bundesliga,29,11,215,0.00,0.00,0.00,0.17,0.13
Matthias Ginter\Matthias-Ginter,DF,M'Gladbach,de Bundesliga,26,34,3060,0.06,0.03,0.09,0.06,0.06
Andrei Girotto\Andrei-Girotto,DFMF,Nantes,fr Ligue 1,28,34,2668,0.03,0.03,0.07,0.04,0.00
Olivier Giroud\Olivier-Giroud,FW,Chelsea,eng Premier League,33,17,748,0.48,0.00,0.48,0.58,0.08
Robert Glatzel\Robert-Glatzel,FW,Mainz 05,de Bundesliga,26,13,359,0.50,0.25,0.75,0.72,0.15
Kamil Glik\Kamil-Glik,DF,Benevento,it Serie A,32,36,3206,0.06,0.03,0.08,0.09,0.03
Serge Gnabry\Serge-Gnabry,FWMF,Bayern Munich,de Bundesliga,25,27,1644,0.55,0.11,0.66,0.44,0.25
Ben Godfrey\Ben-Godfrey,DF,Everton,eng Premier League,22,31,2685,0.00,0.07,0.07,0.03,0.02
Diego Godín\Diego-Godin,DF,Cagliari,it Serie A,34,28,2508,0.04,0.00,0.04,0.03,0.02
Akaki Gogia\Akaki-Gogia,FWMF,Union Berlin,de Bundesliga,28,7,140,0.00,0.63,0.64,0.06,0.25
Amer Gojak\Amer-Gojak,MFFW,Torino,it Serie A,23,15,475,0.19,0.19,0.38,0.15,0.06
Edoardo Goldaniga\Edoardo-Goldaniga,DF,Genoa,it Serie A,26,25,1857,0.00,0.05,0.05,0.02,0.05
Vladimir Golemić\Vladimir-Golemic,DF,Crotone,it Serie A,29,30,2341,0.08,0.00,0.08,0.05,0.01
Pierluigi Gollini\Pierluigi-Gollini,GK,Atalanta,it Serie A,25,25,2156,0.00,0.00,0.00,0.00,0.00
Aleksandr Golovin\Aleksandr-Golovin,MFFW,Monaco,fr Ligue 1,24,21,1069,0.42,0.76,1.18,0.24,0.40
Tomislav Gomelt\Tomislav-Gomelt,MF,Crotone,it Serie A,25,2,19,0.00,0.00,0.00,0.00,0.00
André Gomes\Andre-Gomes,MF,Everton,eng Premier League,27,28,1570,0.00,0.06,0.06,0.03,0.06
Dani Gómez\Dani-Gomez,FW,Levante,es La Liga,22,34,1666,0.11,0.11,0.22,0.17,0.06
Ibai Gómez\Ibai-Gomez,MF,Athletic Club,es La Liga,30,13,424,0.00,0.21,0.21,0.04,0.15
Joe Gomez\Joe-Gomez,DF,Liverpool,eng Premier League,23,7,590,0.00,0.00,0.00,0.00,0.00
Maxi Gómez\Maxi-Gomez,FW,Valencia,es La Liga,23,31,2689,0.23,0.03,0.27,0.23,0.03
Moi Gómez\Moi-Gomez,MFFW,Villarreal,es La Liga,26,35,2563,0.14,0.00,0.14,0.15,0.09
Papu Gómez\Papu-Gomez,FWMF,Atalanta,it Serie A,32,10,666,0.54,0.27,0.81,0.30,0.19
Papu Gómez\Papu-Gomez,MFFW,Sevilla,es La Liga,32,18,914,0.29,0.10,0.39,0.12,0.11
Sergi Gómez\Sergi-Gomez,DF,Sevilla,es La Liga,28,9,719,0.00,0.00,0.00,0.00,0.00
Sergio Gómez\Sergio-Gomez,MFFW,Huesca,es La Liga,19,29,792,0.00,0.11,0.11,0.07,0.14
Alfred Gomis\Alfred-Gomis,GK,Dijon,fr Ligue 1,26,5,450,0.00,0.00,0.00,0.00,0.00
Alfred Gomis\Alfred-Gomis,GK,Rennes,fr Ligue 1,26,22,1980,0.00,0.00,0.00,0.00,0.00
Maxime Gonalons\Maxime-Gonalons,MF,Granada,es La Liga,31,25,1480,0.00,0.06,0.06,0.01,0.04
Vagner Gonçalves\Vagner-Goncalves,FWMF,Metz,fr Ligue 1,24,26,967,0.37,0.09,0.47,0.40,0.12
Álvaro González\Alvaro-Gonzalez,DF,Marseille,fr Ligue 1,30,32,2831,0.06,0.10,0.16,0.03,0.01
Bruno González\Bruno-Gonzalez,DF,Valladolid,es La Liga,30,27,2263,0.04,0.00,0.04,0.01,0.00
Diego González\Diego-Gonzalez,DF,Elche,es La Liga,25,19,1280,0.07,0.00,0.07,0.04,0.01
Nicolás González\Nicolas-Gonzalez,FWDF,Stuttgart,de Bundesliga,22,15,934,0.58,0.19,0.77,0.78,0.19
Sergio González\Sergio-Gonzalez,MFDF,Cádiz,es La Liga,23,1,90,0.00,0.00,0.00,0.00,0.00
Urko González\Urko-Gonzalez,MF,Real Sociedad,es La Liga,19,2,47,0.00,0.00,0.00,0.00,0.00
Anthony Gordon\Anthony-Gordon,FWMF,Everton,eng Premier League,19,3,88,0.00,0.00,0.00,0.00,0.00
Leon Goretzka\Leon-Goretzka,MF,Bayern Munich,de Bundesliga,25,24,1705,0.26,0.26,0.53,0.22,0.14
Andoni Gorosabel\Andoni-Gorosabel,DF,Real Sociedad,es La Liga,23,32,2382,0.00,0.04,0.04,0.02,0.09
Robin Gosens\Robin-Gosens,DF,Atalanta,it Serie A,26,32,2523,0.36,0.21,0.57,0.25,0.14
Amine Gouiri\Amine-Gouiri,FWMF,Nice,fr Ligue 1,20,34,2747,0.39,0.23,0.62,0.46,0.17
Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,DF,Augsburg,de Bundesliga,29,32,2835,0.03,0.00,0.03,0.01,0.01
Jonathan Gradit\Jonathan-Gradit,DF,Lens,fr Ligue 1,27,33,2823,0.00,0.03,0.03,0.00,0.02
Karlan Grant\Karlan-Grant,FWMF,West Brom,eng Premier League,22,21,1127,0.08,0.00,0.08,0.17,0.00
Alberto Grassi\Alberto-Grassi,MFDF,Parma,it Serie A,25,23,1177,0.00,0.00,0.00,0.05,0.03
Andrew Gravillon\Andrew-Gravillon,DF,Lorient,fr Ligue 1,22,26,2272,0.04,0.08,0.12,0.04,0.01
Demarai Gray\Demarai-Gray,FW,Leicester City,eng Premier League,24,1,19,0.00,0.00,0.00,0.50,0.00
Demarai Gray\Demarai-Gray,FW,Leverkusen,de Bundesliga,24,10,442,0.20,0.41,0.61,0.24,0.16
Adrian Grbić\Adrian-Grbic,FW,Lorient,fr Ligue 1,23,33,961,0.37,0.00,0.37,0.53,0.05
Jack Grealish\Jack-Grealish,FWMF,Aston Villa,eng Premier League,24,26,2185,0.25,0.41,0.66,0.18,0.35
Etienne Green\Etienne-Green,GK,Saint-Étienne,fr Ligue 1,20,8,720,0.00,0.00,0.00,0.00,0.00
Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,eng Premier League,18,31,1822,0.35,0.10,0.44,0.37,0.09
Michael Gregoritsch\Michael-Gregoritsch,FWMF,Augsburg,de Bundesliga,26,24,835,0.11,0.22,0.32,0.11,0.14
Clément Grenier\Clement-Grenier,MF,Rennes,fr Ligue 1,29,23,1078,0.33,0.25,0.58,0.22,0.25
Sebastian Griesbeck\Sebastian-Griesbeck,MF,Union Berlin,de Bundesliga,29,24,890,0.00,0.00,0.00,0.04,0.00
Antoine Griezmann\Antoine-Griezmann,FWMF,Barcelona,es La Liga,29,36,2604,0.45,0.24,0.69,0.48,0.19
Vincenzo Grifo\Vincenzo-Grifo,MFFW,Freiburg,de Bundesliga,27,31,2313,0.35,0.39,0.74,0.31,0.24
Lennart Grill\Lennart-Grill,GK,Leverkusen,de Bundesliga,21,4,360,0.00,0.00,0.00,0.00,0.00
Florian Grillitsch\Florian-Grillitsch,MFDF,Hoffenheim,de Bundesliga,24,26,1879,0.10,0.05,0.14,0.10,0.08
Christian Groß\Christian-Gross,MFDF,Werder Bremen,de Bundesliga,31,23,1468,0.00,0.06,0.06,0.02,0.04
Pascal Groß\Pascal-Gross,MFDF,Brighton,eng Premier League,29,34,2484,0.11,0.29,0.40,0.20,0.20
Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,eng Premier League,32,3,148,0.00,0.63,0.61,0.06,0.06
Ilia Gruev\Ilia-Gruev,FW,Werder Bremen,de Bundesliga,20,1,1,0,0,0.00,0.0,0.0
Carlos Gruezo\Carlos-Gruezo,MF,Augsburg,de Bundesliga,25,28,2084,0.00,0.00,0.00,0.01,0.03
Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,eng Premier League,33,37,3330,0.00,0.00,0.00,0.00,0.00
Andrés Guardado\Andres-Guardado,MF,Betis,es La Liga,33,24,1318,0.07,0.00,0.07,0.03,0.03
Sergi Guardiola\Sergi-Guardiola,FW,Valladolid,es La Liga,29,29,1795,0.05,0.10,0.15,0.25,0.08
Nemanja Gudelj\Nemanja-Gudelj,MFDF,Sevilla,es La Liga,28,30,1041,0.00,0.00,0.00,0.02,0.00
Gonçalo Guedes\Goncalo-Guedes,MFFW,Valencia,es La Liga,23,31,2287,0.20,0.20,0.39,0.13,0.14
Mattéo Guendouzi\Matteo-Guendouzi,MF,Hertha BSC,de Bundesliga,21,24,1818,0.10,0.05,0.15,0.05,0.07
Raphaël Guerreiro\Raphael-Guerreiro,DF,Dortmund,de Bundesliga,26,27,2218,0.20,0.41,0.61,0.15,0.28
Evann Guessand\Evann-Guessand,FW,Nice,fr Ligue 1,19,3,29,0.00,0.00,0.00,0.33,0.00
Kelyan Guessoum\Kelyan-Guessoum,DF,Nîmes,fr Ligue 1,21,15,1128,0.00,0.00,0.00,0.02,0.00
Ander Guevara\Ander-Guevara,MF,Real Sociedad,es La Liga,23,31,2081,0.04,0.04,0.09,0.02,0.03
Lamine Gueye\Lamine-Gueye,FWMF,Metz,fr Ligue 1,22,26,1454,0.19,0.12,0.31,0.30,0.14
Pape Gueye\Pape-Gueye,MF,Marseille,fr Ligue 1,21,32,2058,0.09,0.00,0.09,0.06,0.06
John Guidetti\John-Guidetti,FWMF,Alavés,es La Liga,28,10,208,0.43,0.00,0.43,0.48,0.00
Josuha Guilavogui\Josuha-Guilavogui,MFDF,Wolfsburg,de Bundesliga,29,20,747,0.00,0.12,0.12,0.04,0.01
Frederic Guilbert\Frederic-Guilbert,DF,Strasbourg,fr Ligue 1,25,13,1114,0.08,0.32,0.40,0.05,0.10
Hugo Guillamón\Hugo-Guillamon,DF,Valencia,es La Liga,20,25,1988,0.05,0.00,0.05,0.02,0.00
Bruno Guimarães\Bruno-Guimaraes,MF,Lyon,fr Ligue 1,22,33,1754,0.15,0.05,0.21,0.12,0.09
Sehrou Guirassy\Sehrou-Guirassy,FW,Rennes,fr Ligue 1,24,27,1764,0.51,0.05,0.56,0.41,0.16
Péter Gulácsi\Peter-Gulacsi,GK,RB Leipzig,de Bundesliga,30,33,2970,0.00,0.00,0.00,0.00,0.00
Manuel Gulde\Manuel-Gulde,DF,Freiburg,de Bundesliga,29,27,1954,0.09,0.00,0.09,0.05,0.00
Robert Gumny\Robert-Gumny,DF,Augsburg,de Bundesliga,22,24,1377,0.07,0.00,0.07,0.05,0.03
İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,eng Premier League,29,28,2029,0.58,0.09,0.67,0.40,0.20
Christian Günter\Christian-Gunter,DF,Freiburg,de Bundesliga,27,34,3060,0.09,0.09,0.18,0.03,0.17
Koray Günter\Koray-Gunter,DF,Hellas Verona,it Serie A,25,27,1768,0.00,0.10,0.10,0.02,0.02
Jon Guridi\Jon-Guridi,MF,Real Sociedad,es La Liga,25,17,831,0.00,0.11,0.11,0.09,0.08
Malo Gusto\Malo-Gusto,DFMF,Lyon,fr Ligue 1,17,2,2,0,0,0.00,0.0,0.0
Raúl Guti\Raul-Guti,MF,Elche,es La Liga,23,36,2862,0.09,0.03,0.13,0.05,0.02
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,DF,Cádiz,es La Liga,29,24,1825,0.10,0.00,0.10,0.07,0.00
Miguel Gutiérrez\Miguel-Gutierrez,DF,Real Madrid,es La Liga,19,6,316,0.00,0.29,0.28,0.00,0.06
Emmanuel Gyasi\Emmanuel-Gyasi,FW,Spezia,it Serie A,26,37,2851,0.13,0.19,0.32,0.21,0.13
Erling Haaland\Erling-Haaland,FW,Dortmund,de Bundesliga,20,28,2407,1.01,0.22,1.23,0.89,0.20
Janik Haberer\Janik-Haberer,MFFW,Freiburg,de Bundesliga,26,14,486,0.00,0.00,0.00,0.20,0.02
Alexander Hack\Alexander-Hack,DF,Mainz 05,de Bundesliga,26,21,1370,0.07,0.00,0.07,0.02,0.03
Antwoine Hackford\Antwoine-Hackford,FWDF,Sheffield Utd,eng Premier League,16,1,11,0.00,0.00,0.00,1.00,0.00
Munir El Haddadi\Munir-El-Haddadi,FW,Sevilla,es La Liga,24,24,845,0.43,0.21,0.64,0.37,0.17
André Hahn\Andre-Hahn,FWMF,Augsburg,de Bundesliga,29,29,2037,0.35,0.13,0.49,0.24,0.08
Amadou Haidara\Amadou-Haidara,MFDF,RB Leipzig,de Bundesliga,22,31,1905,0.14,0.05,0.19,0.21,0.12
Massadio Haïdara\Massadio-Haidara,DF,Lens,fr Ligue 1,27,25,2132,0.08,0.04,0.13,0.10,0.10
Achraf Hakimi\Achraf-Hakimi,DF,Inter,it Serie A,21,37,2665,0.24,0.27,0.51,0.16,0.23
Sébastien Haller\Sebastien-Haller,FW,West Ham,eng Premier League,26,16,937,0.29,0.00,0.29,0.28,0.12
Marcel Halstenberg\Marcel-Halstenberg,DF,RB Leipzig,de Bundesliga,28,24,1651,0.11,0.11,0.22,0.10,0.14
Pierre-Yves Hamel\Pierre-Yves-Hamel,FW,Lorient,fr Ligue 1,26,23,849,0.43,0.21,0.64,0.46,0.06
Romain Hamouma\Romain-Hamouma,FW,Saint-Étienne,fr Ligue 1,33,29,1769,0.30,0.05,0.36,0.23,0.16
Samir Handanović\Samir-Handanovic,GK,Inter,it Serie A,36,37,3240,0.00,0.00,0.00,0.00,0.00
Lukáš Haraslín\Lukas-Haraslin,FWMF,Sassuolo,it Serie A,24,14,333,0.00,0.00,0.00,0.24,0.24
Amine Harit\Amine-Harit,MFFW,Schalke 04,de Bundesliga,23,28,2101,0.09,0.21,0.30,0.06,0.21
Rekeem Harper\Rekeem-Harper,MF,West Brom,eng Premier League,20,2,32,0.00,0.00,0.00,0.00,0.00
Jack Harrison\Jack-Harrison,MF,Leeds United,eng Premier League,23,36,2847,0.25,0.25,0.51,0.21,0.22
Marcel Hartel\Marcel-Hartel,MF,Arminia,de Bundesliga,24,22,1681,0.00,0.00,0.00,0.06,0.06
Makoto Hasebe\Makoto-Hasebe,DFMF,Eint Frankfurt,de Bundesliga,36,29,2288,0.00,0.00,0.00,0.01,0.01
Hans Hateboer\Hans-Hateboer,DF,Atalanta,it Serie A,26,22,1762,0.10,0.05,0.15,0.16,0.08
Kortney Hause\Kortney-Hause,DF,Aston Villa,eng Premier League,25,7,630,0.14,0.00,0.14,0.17,0.00
Kai Havertz\Kai-Havertz,MFFW,Chelsea,eng Premier League,21,27,1520,0.24,0.18,0.41,0.37,0.09
Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,eng Premier League,25,24,1942,0.00,0.00,0.00,0.02,0.02
Eden Hazard\Eden-Hazard,FWMF,Real Madrid,es La Liga,29,14,532,0.51,0.34,0.85,0.27,0.14
Thorgan Hazard\Thorgan-Hazard,FWMF,Dortmund,de Bundesliga,27,16,654,0.14,0.41,0.55,0.08,0.38
