,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,0.00,30.0,0.00,0.00,0.00,0.00
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,2.22,12.1,0.32,1.25,1.25,0.05
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,1.20,9.40,0.66,1.66,4.39,0.00
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,0.00,50.0,0.00,3.33,0.00,0.00
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,0.64,11.6,0.41,0.41,0.37,0.00
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,2.31,13.5,1.92,1.92,4.23,0.00
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,0.96,13.6,0.05,0.81,0.15,0.00
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,1.98,20.4,0.05,0.47,0.63,0.00
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,3.35,17.2,0.40,1.21,4.05,0.00
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,0.00,20.0,0.00,0.00,0.00,0.00
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,2.24,22.5,0.15,1.63,1.48,0.00
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,2.38,21.2,0.22,1.46,1.41,0.00
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,2.41,18.1,0.12,0.78,0.24,0.00
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,0.89,7.81,0.70,1.30,5.63,0.04
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,1.79,9.40,1.07,0.89,3.63,0.06
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,1.79,7.44,0.42,1.79,4.46,0.00
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,0.03,0.14,0.00,0.00,0.00,0.03
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,4.00,13.0,0.00,0.00,3.00,0.00
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,0.30,18.2,0.00,0.00,1.21,0.00
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,0.00,10.0,0.00,0.00,0.00,0.00
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,0.00,30.0,0.00,0.00,10.0,0.00
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,2.28,15.9,0.03,0.98,0.68,0.03
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,2.09,18.6,0.14,1.43,2.47,0.00
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,0.83,15.0,0.00,0.00,0.00,0.00
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,1.33,13.3,0.00,2.00,2.00,0.00
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,0.00,0.31,0.00,0.00,0.00,0.62
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,2.97,17.5,0.10,1.04,0.45,0.05
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,2.00,6.80,0.40,2.00,1.60,0.40
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,4.00,29.5,0.24,1.29,2.24,0.00
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,0.00,0.06,0.00,0.00,0.06,0.03
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,0.63,9.90,0.00,0.72,0.48,0.00
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,1.82,27.3,0.00,0.91,1.82,0.00
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,0.35,11.2,0.09,0.53,0.69,0.00
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,0.98,13.4,0.33,0.76,0.22,0.00
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,3.23,19.5,0.22,1.61,1.29,0.00
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,2.92,12.4,0.19,2.45,1.32,0.00
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,0.66,13.3,0.08,0.23,0.54,0.00
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,0.00,0.16,0.00,0.00,0.00,0.00
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,1.40,9.58,0.06,1.09,2.49,0.03
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,2.50,20.0,0.00,0.00,0.00,0.00
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,21.7,1.94,12.8,0.37,0.65,3.09,0.00
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,17.8,4.10,21.6,0.34,1.35,2.92,0.11
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,1.5,2.67,15.3,0.00,1.33,2.00,0.00
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,2.2,1.36,13.2,0.00,0.45,0.45,0.00
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,15.1,0.53,13.7,0.13,0.26,0.26,0.00
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,5.6,2.50,16.3,0.00,1.61,2.86,0.00
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,23.3,2.23,29.1,0.09,1.24,0.52,0.00
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,8.8,1.70,8.98,0.45,0.91,4.77,0.00
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,3.02,14.1,0.90,1.53,2.94,0.05
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,2.73,11.8,0.00,0.00,1.82,0.00
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,2.14,14.2,0.29,1.52,3.99,0.04
Ludovic Baal\Ludovic-Baal,DFMF,Brest,fr Ligue 1,34,3.3,2.12,17.9,0.30,0.61,2.42,0.00
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,0.92,14.5,0.00,0.46,0.11,0.00
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,2.45,10.8,0.66,1.79,7.76,0.07
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,2.39,17.1,0.37,3.43,1.72,0.00
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,0.00,0.13,0.00,0.00,0.03,0.07
Benoît Badiashile\Benoit-Badiashile,DF,Monaco,fr Ligue 1,19,31.9,0.97,6.33,0.47,1.19,5.61,0.03
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,0.67,19.3,0.67,2.00,0.00,0.00
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,1.50,17.2,0.00,1.00,0.67,0.00
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,1.00,15.7,0.00,0.61,0.67,0.00
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,0.88,10.4,0.00,0.76,0.38,0.00
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,0.88,5.39,1.47,2.16,5.00,0.00
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,21.8,3.58,16.7,0.14,1.28,1.15,0.00
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,18.8,2.29,10.2,0.11,0.90,1.44,0.00
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,29.8,1.85,17.4,0.13,1.58,1.21,0.03
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2.0,2.50,11.0,0.00,2.00,2.50,0.00
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,0.6,3.33,26.7,0.00,1.67,0.00,0.00
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,13.3,1.80,10.1,0.45,1.05,6.69,0.08
Keita Baldé\Keita-Balde,FW,Sampdoria,it Serie A,25,13.3,0.75,17.1,0.08,0.23,0.45,0.00
George Baldock\George-Baldock,DF,Sheffield Utd,eng Premier League,27,31.0,1.77,15.0,0.26,1.13,2.65,0.00
Gareth Bale\Gareth-Bale,FW,Tottenham,eng Premier League,31,10.2,1.37,12.3,0.20,0.88,1.67,0.00
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,es La Liga,32,18.8,1.44,11.0,0.32,0.69,3.30,0.00
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,fr Ligue 1,21,18.2,2.20,13.1,0.60,1.87,5.27,0.11
Fodé Ballo-Touré\Fode-Ballo-Toure,DF,Monaco,fr Ligue 1,23,7.4,3.38,14.2,0.00,0.68,1.62,0.00
Botond Balogh\Botond-Balogh,DF,Parma,it Serie A,18,1.8,3.33,18.3,1.67,0.56,3.89,0.00
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,fr Ligue 1,30,15.0,2.07,11.4,0.07,1.20,2.80,0.07
Jonathan Bamba\Jonathan-Bamba,MF,Lille,fr Ligue 1,24,33.2,1.30,14.1,0.03,0.84,0.39,0.00
Robson Bambu\Robson-Bambu,DF,Nice,fr Ligue 1,22,11.6,1.72,8.71,0.69,1.03,5.60,0.00
Patrick Bamford\Patrick-Bamford,FW,Leeds United,eng Premier League,26,33.9,0.77,17.8,0.27,0.38,1.03,0.00
Mattia Bani\Mattia-Bani,DF,Genoa,it Serie A,26,10.2,1.27,14.0,1.37,1.76,5.39,0.10
Mattia Bani\Mattia-Bani,DF,Parma,it Serie A,26,12.7,1.57,13.0,0.55,1.89,5.83,0.00
Simon Banza\Simon-Banza,FW,Lens,fr Ligue 1,23,15.2,1.18,11.7,0.20,0.33,0.86,0.00
Antonín Barák\Antonin-Barak,MFFW,Hellas Verona,it Serie A,25,30.7,1.30,17.4,0.29,0.59,1.30,0.03
Federico Barba\Federico-Barba,DF,Benevento,it Serie A,26,29.5,1.15,10.2,0.61,1.93,3.97,0.14
Danilo Barbosa\Danilo-Barbosa,DF,Nice,fr Ligue 1,24,2.8,1.79,7.14,0.36,0.36,4.64,0.36
Barcia\Barcia,DF,Granada,es La Liga,19,1.0,2.00,12.0,1.00,1.00,7.00,0.00
Melvin Bard\Melvin-Bard,DF,Lyon,fr Ligue 1,19,4.8,3.33,19.4,0.42,1.25,3.75,0.00
