,,,,,,SCA,SCA,SCA
Player,Pos,Squad,Comp,Age,90s,SCA,Drib,Def
,,,,,,,,
Matthias Ginter\Matthias-Ginter,DF,M'Gladbach,de Bundesliga,26,34.0,0.88,0.03,0.00
Andrei Girotto\Andrei-Girotto,DFMF,Nantes,fr Ligue 1,28,29.6,0.64,0.00,0.00
Olivier Giroud\Olivier-Giroud,FW,Chelsea,eng Premier League,33,8.3,1.81,0.00,0.12
Robert Glatzel\Robert-Glatzel,FW,Mainz 05,de Bundesliga,26,4.0,2.75,0.25,0.25
Kamil Glik\Kamil-Glik,DF,Benevento,it Serie A,32,35.6,0.37,0.03,0.00
Serge Gnabry\Serge-Gnabry,FWMF,Bayern Munich,de Bundesliga,25,18.3,4.32,0.22,0.00
Ben Godfrey\Ben-Godfrey,DF,Everton,eng Premier League,22,29.8,0.34,0.00,0.00
Diego Godín\Diego-Godin,DF,Cagliari,it Serie A,34,27.9,0.72,0.00,0.00
Akaki Gogia\Akaki-Gogia,FWMF,Union Berlin,de Bundesliga,28,1.6,3.13,0.00,0.00
Amer Gojak\Amer-Gojak,MFFW,Torino,it Serie A,23,5.3,2.64,0.19,0.19
Edoardo Goldaniga\Edoardo-Goldaniga,DF,Genoa,it Serie A,26,20.6,0.58,0.00,0.00
Vladimir Golemić\Vladimir-Golemic,DF,Crotone,it Serie A,29,26.0,0.46,0.00,0.00
Pierluigi Gollini\Pierluigi-Gollini,GK,Atalanta,it Serie A,25,24.0,0.13,0.00,0.00
Aleksandr Golovin\Aleksandr-Golovin,MFFW,Monaco,fr Ligue 1,24,11.9,4.12,0.25,0.08
Tomislav Gomelt\Tomislav-Gomelt,MF,Crotone,it Serie A,25,0.2,5.00,0.00,5.00
André Gomes\Andre-Gomes,MF,Everton,eng Premier League,27,17.4,2.01,0.06,0.06
Dani Gómez\Dani-Gomez,FW,Levante,es La Liga,22,18.5,1.57,0.16,0.00
Ibai Gómez\Ibai-Gomez,MF,Athletic Club,es La Liga,30,4.7,1.91,0.00,0.00
Joe Gomez\Joe-Gomez,DF,Liverpool,eng Premier League,23,6.6,0.30,0.00,0.00
Maxi Gómez\Maxi-Gomez,FW,Valencia,es La Liga,23,29.9,1.61,0.07,0.03
Moi Gómez\Moi-Gomez,MFFW,Villarreal,es La Liga,26,28.5,2.18,0.21,0.00
Papu Gómez\Papu-Gomez,FWMF,Atalanta,it Serie A,32,7.4,4.86,0.95,0.00
Papu Gómez\Papu-Gomez,MFFW,Sevilla,es La Liga,32,10.2,3.63,0.39,0.10
Sergi Gómez\Sergi-Gomez,DF,Sevilla,es La Liga,28,8.0,0.00,0.00,0.00
Sergio Gómez\Sergio-Gomez,MFFW,Huesca,es La Liga,19,8.8,2.16,0.00,0.00
Alfred Gomis\Alfred-Gomis,GK,Dijon,fr Ligue 1,26,5.0,0.00,0.00,0.00
Alfred Gomis\Alfred-Gomis,GK,Rennes,fr Ligue 1,26,22.0,0.14,0.00,0.00
Maxime Gonalons\Maxime-Gonalons,MF,Granada,es La Liga,31,16.4,1.28,0.06,0.06
Vagner Gonçalves\Vagner-Goncalves,FWMF,Metz,fr Ligue 1,24,10.7,2.99,0.28,0.09
Álvaro González\Alvaro-Gonzalez,DF,Marseille,fr Ligue 1,30,31.5,0.41,0.00,0.03
Bruno González\Bruno-Gonzalez,DF,Valladolid,es La Liga,30,25.1,0.16,0.00,0.00
Diego González\Diego-Gonzalez,DF,Elche,es La Liga,25,14.2,0.28,0.00,0.00
Nicolás González\Nicolas-Gonzalez,FWDF,Stuttgart,de Bundesliga,22,10.4,2.88,0.29,0.00
Sergio González\Sergio-Gonzalez,MFDF,Cádiz,es La Liga,23,1.0,1.00,0.00,0.00
Urko González\Urko-Gonzalez,MF,Real Sociedad,es La Liga,19,0.5,2.00,0.00,0.00
Anthony Gordon\Anthony-Gordon,FWMF,Everton,eng Premier League,19,1.0,1.00,0.00,0.00
Leon Goretzka\Leon-Goretzka,MF,Bayern Munich,de Bundesliga,25,18.9,2.43,0.11,0.11
Andoni Gorosabel\Andoni-Gorosabel,DF,Real Sociedad,es La Liga,23,26.5,1.96,0.00,0.00
Robin Gosens\Robin-Gosens,DF,Atalanta,it Serie A,26,28.0,2.29,0.04,0.07
Amine Gouiri\Amine-Gouiri,FWMF,Nice,fr Ligue 1,20,30.5,3.97,0.30,0.23
Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,DF,Augsburg,de Bundesliga,29,31.5,0.76,0.03,0.10
Jonathan Gradit\Jonathan-Gradit,DF,Lens,fr Ligue 1,27,31.4,0.96,0.03,0.03
Karlan Grant\Karlan-Grant,FWMF,West Brom,eng Premier League,22,12.5,0.88,0.08,0.00
Alberto Grassi\Alberto-Grassi,MFDF,Parma,it Serie A,25,13.1,0.84,0.00,0.00
Andrew Gravillon\Andrew-Gravillon,DF,Lorient,fr Ligue 1,22,25.2,0.52,0.00,0.00
Demarai Gray\Demarai-Gray,FW,Leicester City,eng Premier League,24,0.2,0.00,0.00,0.00
Demarai Gray\Demarai-Gray,FW,Leverkusen,de Bundesliga,24,4.9,3.27,0.20,0.00
Adrian Grbić\Adrian-Grbic,FW,Lorient,fr Ligue 1,23,10.7,1.21,0.00,0.09
Jack Grealish\Jack-Grealish,FWMF,Aston Villa,eng Premier League,24,24.3,6.17,0.33,0.04
Etienne Green\Etienne-Green,GK,Saint-Étienne,fr Ligue 1,20,8.0,0.00,0.00,0.00
Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,eng Premier League,18,20.2,2.48,0.40,0.05
Michael Gregoritsch\Michael-Gregoritsch,FWMF,Augsburg,de Bundesliga,26,9.3,1.61,0.22,0.00
Clément Grenier\Clement-Grenier,MF,Rennes,fr Ligue 1,29,12.0,3.83,0.00,0.00
Sebastian Griesbeck\Sebastian-Griesbeck,MF,Union Berlin,de Bundesliga,29,9.9,0.61,0.10,0.00
Antoine Griezmann\Antoine-Griezmann,FWMF,Barcelona,es La Liga,29,28.9,3.04,0.10,0.03
Vincenzo Grifo\Vincenzo-Grifo,MFFW,Freiburg,de Bundesliga,27,25.7,4.63,0.27,0.04
Lennart Grill\Lennart-Grill,GK,Leverkusen,de Bundesliga,21,4.0,0.25,0.00,0.00
Florian Grillitsch\Florian-Grillitsch,MFDF,Hoffenheim,de Bundesliga,24,20.9,2.01,0.10,0.05
Christian Groß\Christian-Gross,MFDF,Werder Bremen,de Bundesliga,31,16.3,0.86,0.06,0.00
Pascal Groß\Pascal-Gross,MFDF,Brighton,eng Premier League,29,27.6,3.99,0.00,0.04
Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,eng Premier League,32,1.6,3.13,0.00,0.00
Ilia Gruev\Ilia-Gruev,FW,Werder Bremen,de Bundesliga,20,0.0,0,0,0
Carlos Gruezo\Carlos-Gruezo,MF,Augsburg,de Bundesliga,25,23.2,0.95,0.09,0.04
Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,eng Premier League,33,37.0,0.05,0.00,0.00
Andrés Guardado\Andres-Guardado,MF,Betis,es La Liga,33,14.6,1.58,0.00,0.07
Sergi Guardiola\Sergi-Guardiola,FW,Valladolid,es La Liga,29,19.9,1.36,0.15,0.10
Nemanja Gudelj\Nemanja-Gudelj,MFDF,Sevilla,es La Liga,28,11.6,0.60,0.00,0.00
Gonçalo Guedes\Goncalo-Guedes,MFFW,Valencia,es La Liga,23,25.4,3.35,0.47,0.04
Mattéo Guendouzi\Matteo-Guendouzi,MF,Hertha BSC,de Bundesliga,21,20.2,1.88,0.00,0.00
Raphaël Guerreiro\Raphael-Guerreiro,DF,Dortmund,de Bundesliga,26,24.6,3.54,0.20,0.04
Evann Guessand\Evann-Guessand,FW,Nice,fr Ligue 1,19,0.3,3.33,0.00,0.00
Kelyan Guessoum\Kelyan-Guessoum,DF,Nîmes,fr Ligue 1,21,12.5,0.24,0.00,0.00
Ander Guevara\Ander-Guevara,MF,Real Sociedad,es La Liga,23,23.1,1.21,0.04,0.00
Lamine Gueye\Lamine-Gueye,FWMF,Metz,fr Ligue 1,22,16.2,2.22,0.06,0.06
Pape Gueye\Pape-Gueye,MF,Marseille,fr Ligue 1,21,22.9,1.22,0.00,0.09
John Guidetti\John-Guidetti,FWMF,Alavés,es La Liga,28,2.3,2.17,0.00,0.00
Josuha Guilavogui\Josuha-Guilavogui,MFDF,Wolfsburg,de Bundesliga,29,8.3,1.33,0.00,0.12
Frederic Guilbert\Frederic-Guilbert,DF,Strasbourg,fr Ligue 1,25,12.4,1.85,0.00,0.00
Hugo Guillamón\Hugo-Guillamon,DF,Valencia,es La Liga,20,22.1,0.23,0.00,0.05
Bruno Guimarães\Bruno-Guimaraes,MF,Lyon,fr Ligue 1,22,19.5,2.92,0.05,0.10
Sehrou Guirassy\Sehrou-Guirassy,FW,Rennes,fr Ligue 1,24,19.6,2.86,0.31,0.00
Péter Gulácsi\Peter-Gulacsi,GK,RB Leipzig,de Bundesliga,30,33.0,0.06,0.00,0.00
Manuel Gulde\Manuel-Gulde,DF,Freiburg,de Bundesliga,29,21.7,0.28,0.00,0.05
Robert Gumny\Robert-Gumny,DF,Augsburg,de Bundesliga,22,15.3,0.98,0.00,0.00
İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,eng Premier League,29,22.5,3.64,0.36,0.09
Christian Günter\Christian-Gunter,DF,Freiburg,de Bundesliga,27,34.0,3.00,0.03,0.06
Koray Günter\Koray-Gunter,DF,Hellas Verona,it Serie A,25,19.6,0.61,0.00,0.05
Jon Guridi\Jon-Guridi,MF,Real Sociedad,es La Liga,25,9.2,1.09,0.00,0.00
Malo Gusto\Malo-Gusto,DFMF,Lyon,fr Ligue 1,17,0.0,0,0,0
Raúl Guti\Raul-Guti,MF,Elche,es La Liga,23,31.8,0.82,0.06,0.03
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,DF,Cádiz,es La Liga,29,20.3,0.20,0.00,0.00
Miguel Gutiérrez\Miguel-Gutierrez,DF,Real Madrid,es La Liga,19,3.5,2.00,0.00,0.00
Emmanuel Gyasi\Emmanuel-Gyasi,FW,Spezia,it Serie A,26,31.7,1.86,0.16,0.03
Erling Haaland\Erling-Haaland,FW,Dortmund,de Bundesliga,20,26.7,2.32,0.37,0.04
Janik Haberer\Janik-Haberer,MFFW,Freiburg,de Bundesliga,26,5.4,1.30,0.37,0.19
Alexander Hack\Alexander-Hack,DF,Mainz 05,de Bundesliga,26,15.2,0.72,0.00,0.00
Antwoine Hackford\Antwoine-Hackford,FWDF,Sheffield Utd,eng Premier League,16,0.1,0.00,0.00,0.00
Munir El Haddadi\Munir-El-Haddadi,FW,Sevilla,es La Liga,24,9.4,2.66,0.32,0.00
André Hahn\Andre-Hahn,FWMF,Augsburg,de Bundesliga,29,22.6,1.42,0.09,0.13
Amadou Haidara\Amadou-Haidara,MFDF,RB Leipzig,de Bundesliga,22,21.2,3.16,0.09,0.14
Massadio Haïdara\Massadio-Haidara,DF,Lens,fr Ligue 1,27,23.7,1.31,0.04,0.04
Achraf Hakimi\Achraf-Hakimi,DF,Inter,it Serie A,21,29.6,2.53,0.10,0.00
Sébastien Haller\Sebastien-Haller,FW,West Ham,eng Premier League,26,10.4,1.63,0.10,0.00
Marcel Halstenberg\Marcel-Halstenberg,DF,RB Leipzig,de Bundesliga,28,18.3,2.90,0.05,0.11
Pierre-Yves Hamel\Pierre-Yves-Hamel,FW,Lorient,fr Ligue 1,26,9.4,2.13,0.00,0.21
Romain Hamouma\Romain-Hamouma,FW,Saint-Étienne,fr Ligue 1,33,19.7,3.15,0.15,0.00
Samir Handanović\Samir-Handanovic,GK,Inter,it Serie A,36,36.0,0.08,0.00,0.00
Lukáš Haraslín\Lukas-Haraslin,FWMF,Sassuolo,it Serie A,24,3.7,4.59,0.27,0.00
Amine Harit\Amine-Harit,MFFW,Schalke 04,de Bundesliga,23,23.3,3.65,0.34,0.09
Rekeem Harper\Rekeem-Harper,MF,West Brom,eng Premier League,20,0.4,0.00,0.00,0.00
Jack Harrison\Jack-Harrison,MF,Leeds United,eng Premier League,23,31.6,3.29,0.16,0.06
Marcel Hartel\Marcel-Hartel,MF,Arminia,de Bundesliga,24,18.7,1.55,0.11,0.00
Makoto Hasebe\Makoto-Hasebe,DFMF,Eint Frankfurt,de Bundesliga,36,25.4,1.54,0.00,0.08
Hans Hateboer\Hans-Hateboer,DF,Atalanta,it Serie A,26,19.6,1.99,0.05,0.00
Kortney Hause\Kortney-Hause,DF,Aston Villa,eng Premier League,25,7.0,0.00,0.00,0.00
Kai Havertz\Kai-Havertz,MFFW,Chelsea,eng Premier League,21,16.9,2.78,0.18,0.06
Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,eng Premier League,25,21.6,0.79,0.00,0.14
Eden Hazard\Eden-Hazard,FWMF,Real Madrid,es La Liga,29,5.9,3.22,0.68,0.00
Thorgan Hazard\Thorgan-Hazard,FWMF,Dortmund,de Bundesliga,27,7.3,2.74,0.14,0.14
Jonas Hector\Jonas-Hector,MF,Köln,de Bundesliga,30,14.3,2.52,0.14,0.07
Michael Hector\Michael-Hector,DF,Fulham,eng Premier League,28,2.9,0.69,0.00,0.00
Hwang Hee-chan\Hwang-Hee-chan,FWMF,RB Leipzig,de Bundesliga,24,5.1,2.16,0.39,0.00
Ahmed Hegazi\Ahmed-Hegazi,DF,West Brom,eng Premier League,29,1.0,1.00,0.00,0.00
Dominique Heintz\Dominique-Heintz,DF,Freiburg,de Bundesliga,26,15.2,0.39,0.00,0.00
Dean Henderson\Dean-Henderson,GK,Manchester Utd,eng Premier League,23,12.5,0.08,0.00,0.00
Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,eng Premier League,30,18.9,1.75,0.00,0.05
Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,eng Premier League,28,15.8,0.89,0.00,0.00
Benjamin Henrichs\Benjamin-Henrichs,DFMF,RB Leipzig,de Bundesliga,23,6.0,1.00,0.00,0.00
Dalbert Henrique\Dalbert-Henrique,DF,Rennes,fr Ligue 1,26,4.1,1.71,0.24,0.00
Eduardo Henrique\Eduardo-Henrique,MF,Crotone,it Serie A,25,10.3,1.17,0.10,0.10
Luis Henrique\Luis-Henrique,DFFW,Marseille,fr Ligue 1,18,7.5,3.73,0.40,0.00
Christophe Hérelle\Christophe-Herelle,DF,Brest,fr Ligue 1,27,15.3,0.65,0.00,0.07
Jérôme Hergault\Jerome-Hergault,DF,Lorient,fr Ligue 1,34,18.1,0.77,0.00,0.00
Mario Hermoso\Mario-Hermoso,DF,Atlético Madrid,es La Liga,25,28.6,0.87,0.00,0.00
Aridane Hernández\Aridane-Hernandez,DF,Osasuna,es La Liga,31,22.5,0.36,0.00,0.00
Lucas Hernández\Lucas-Hernandez,DF,Bayern Munich,de Bundesliga,24,17.7,1.36,0.00,0.06
Pablo Hernández\Pablo-Hernandez,MFFW,Leeds United,eng Premier League,35,4.7,4.26,0.21,0.21
Theo Hernández\Theo-Hernandez,DF,Milan,it Serie A,22,32.6,2.42,0.09,0.03
Hernani\Hernani,MF,Parma,it Serie A,26,24.3,2.47,0.12,0.08
Ander Herrera\Ander-Herrera,MF,Paris S-G,fr Ligue 1,30,20.6,2.52,0.05,0.05
Héctor Herrera\Hector-Herrera,MF,Atlético Madrid,es La Liga,30,7.6,2.24,0.13,0.00
Sergio Herrera\Sergio-Herrera,GK,Osasuna,es La Liga,27,32.9,0.06,0.00,0.00
Yangel Herrera\Yangel-Herrera,MF,Granada,es La Liga,22,25.7,1.36,0.00,0.04
Patrick Herrmann\Patrick-Herrmann,FW,M'Gladbach,de Bundesliga,29,9.7,3.81,0.41,0.00
Pablo Hervías\Pablo-Hervias,DFMF,Valladolid,es La Liga,27,13.4,3.51,0.07,0.07
Përparim Hetemaj\Perparim-Hetemaj,MF,Benevento,it Serie A,33,24.6,1.18,0.00,0.00
Son Heung-min\Son-Heung-min,FW,Tottenham,eng Premier League,28,34.6,3.38,0.23,0.00
Aaron Hickey\Aaron-Hickey,DF,Bologna,it Serie A,18,8.4,0.83,0.00,0.00
Vitorino Hilton\Vitorino-Hilton,DF,Montpellier,fr Ligue 1,42,23.5,0.47,0.00,0.00
Martin Hinteregger\Martin-Hinteregger,DF,Eint Frankfurt,de Bundesliga,27,28.1,1.10,0.00,0.04
Marwin Hitz\Marwin-Hitz,GK,Dortmund,de Bundesliga,32,15.5,0.00,0.00,0.00
Wesley Hoedt\Wesley-Hoedt,DF,Lazio,it Serie A,26,10.6,0.57,0.09,0.00
Ki-Jana Hoever\Ki-Jana-Hoever,DF,Wolves,eng Premier League,18,6.4,1.09,0.00,0.16
Nicolas Höfler\Nicolas-Hofler,MF,Freiburg,de Bundesliga,30,30.3,1.55,0.03,0.07
Jonas Hofmann\Jonas-Hofmann,FWMF,M'Gladbach,de Bundesliga,28,20.2,4.16,0.05,0.10
Marco Höger\Marco-Hoger,DFMF,Köln,de Bundesliga,30,0.6,0.00,0.00,0.00
Rob Holding\Rob-Holding,DF,Arsenal,eng Premier League,24,28.4,0.42,0.00,0.04
Lucas Höler\Lucas-Holer,FWMF,Freiburg,de Bundesliga,26,23.2,2.24,0.13,0.00
Mason Holgate\Mason-Holgate,DF,Everton,eng Premier League,23,25.4,0.83,0.00,0.04
Jordan Holsgrove\Jordan-Holsgrove,MF,Celta Vigo,es La Liga,20,1.6,1.25,0.00,0.00
Franck Honorat\Franck-Honorat,MFFW,Brest,fr Ligue 1,23,27.3,3.85,0.26,0.07
Matthew Hoppe\Matthew-Hoppe,FW,Schalke 04,de Bundesliga,19,14.5,1.31,0.07,0.07
Jannes Horn\Jannes-Horn,DF,Köln,de Bundesliga,23,19.6,1.43,0.00,0.00
Timo Horn\Timo-Horn,GK,Köln,de Bundesliga,27,33.4,0.12,0.00,0.00
Fraser Hornby\Fraser-Hornby,FW,Reims,fr Ligue 1,20,0.4,0.00,0.00,0.00
Conor Hourihane\Conor-Hourihane,MF,Aston Villa,eng Premier League,29,2.5,3.20,0.00,0.00
Lukáš Hrádecký\Lukas-Hradecky,GK,Leverkusen,de Bundesliga,30,28.5,0.14,0.00,0.00
Ajdin Hrustic\Ajdin-Hrustic,MFFW,Eint Frankfurt,de Bundesliga,24,3.0,4.00,0.33,0.00
Florian Hübner\Florian-Hubner,DF,Union Berlin,de Bundesliga,29,5.8,0.00,0.00,0.00
Callum Hudson-Odoi\Callum-Hudson-Odoi,FWDF,Chelsea,eng Premier League,19,11.8,4.83,0.17,0.00
Niall Huggins\Niall-Huggins,DF,Leeds United,eng Premier League,19,0.4,0.00,0.00,0.00
Mats Hummels\Mats-Hummels,DF,Dortmund,de Bundesliga,31,31.3,0.86,0.00,0.00
Adrien Hunou\Adrien-Hunou,FWMF,Rennes,fr Ligue 1,26,6.5,1.85,0.00,0.00
Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,FW,Schalke 04,de Bundesliga,36,6.5,2.00,0.00,0.00
Elseid Hysaj\Elseid-Hysaj,DF,Napoli,it Serie A,26,19.6,1.53,0.10,0.00
Pierre Højbjerg\Pierre-Hojbjerg,MF,Tottenham,eng Premier League,24,38.0,1.37,0.03,0.08
Simone Iacoponi\Simone-Iacoponi,DF,Parma,it Serie A,33,13.3,0.30,0.00,0.00
Iago\Iago,DF,Augsburg,de Bundesliga,23,17.3,1.73,0.06,0.12
Roger Ibanez\Roger-Ibanez,DF,Roma,it Serie A,21,26.6,1.05,0.04,0.19
Vedad Ibišević\Vedad-Ibisevic,FW,Schalke 04,de Bundesliga,35,1.7,2.94,0.00,0.00
Vicente Iborra\Vicente-Iborra,MF,Villarreal,es La Liga,32,10.3,0.97,0.00,0.10
Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,MF,Dijon,fr Ligue 1,26,29.0,0.93,0.00,0.03
Zlatan Ibrahimović\Zlatan-Ibrahimovic,FW,Milan,it Serie A,38,16.6,3.73,0.30,0.06
Mauro Icardi\Mauro-Icardi,FW,Paris S-G,fr Ligue 1,27,12.0,1.92,0.08,0.00
Oussama Idrissi\Oussama-Idrissi,FWMF,Sevilla,es La Liga,24,0.3,0.00,0.00,0.00
Blendi Idrizi\Blendi-Idrizi,MF,Schalke 04,de Bundesliga,22,2.6,0.38,0.00,0.00
Odion Ighalo\Odion-Ighalo,FW,Manchester Utd,eng Premier League,31,0.1,0.00,0.00,0.00
Iglesias\Iglesias,DFMF,Getafe,es La Liga,22,6.7,1.49,0.30,0.15
Borja Iglesias\Borja-Iglesias,FW,Betis,es La Liga,27,15.7,1.53,0.00,0.06
Igor\Igor,DF,Fiorentina,it Serie A,22,13.0,0.69,0.00,0.00
Kelechi Iheanacho\Kelechi-Iheanacho,FW,Leicester City,eng Premier League,23,16.2,2.72,0.37,0.06
Jonathan Ikone\Jonathan-Ikone,MFFW,Lille,fr Ligue 1,22,24.2,2.52,0.45,0.12
Yun Il-lok\Yun-Il-lok,MFFW,Montpellier,fr Ligue 1,28,3.5,2.00,0.00,0.00
Ilaix\Ilaix,MF,Barcelona,es La Liga,17,6.0,2.33,0.33,0.00
Ivan Ilić\Ivan-Ilic,MF,Hellas Verona,it Serie A,19,20.4,1.81,0.05,0.05
Josip Iličić\Josip-Ilicic,FWMF,Atalanta,it Serie A,32,17.0,6.06,0.41,0.00
Asier Illarramendi\Asier-Illarramendi,MF,Real Sociedad,es La Liga,30,3.7,1.35,0.00,0.27
Stefan Ilsanker\Stefan-Ilsanker,MFDF,Eint Frankfurt,de Bundesliga,31,17.5,0.74,0.00,0.06
Ciro Immobile\Ciro-Immobile,FW,Lazio,it Serie A,30,31.7,3.79,0.35,0.03
Riccardo Improta\Riccardo-Improta,MFDF,Benevento,it Serie A,26,25.9,1.97,0.08,0.00
Roberto Inglese\Roberto-Inglese,FW,Parma,it Serie A,28,6.4,1.41,0.31,0.16
Danny Ings\Danny-Ings,FW,Southampton,eng Premier League,28,24.1,2.37,0.37,0.00
Marcus Ingvartsen\Marcus-Ingvartsen,MFFW,Union Berlin,de Bundesliga,24,21.8,2.11,0.14,0.09
Lorenzo Insigne\Lorenzo-Insigne,FW,Napoli,it Serie A,29,31.8,4.81,0.44,0.13
Roberto Insigne\Roberto-Insigne,MFFW,Benevento,it Serie A,26,17.8,3.60,0.17,0.00
Pablo Insua\Pablo-Insua,DF,Huesca,es La Liga,26,17.6,0.45,0.00,0.00
Takashi Inui\Takashi-Inui,MFFW,Eibar,es La Liga,32,20.2,2.03,0.45,0.00
Artur Ioniță\Artur-Ionita,MF,Benevento,it Serie A,29,31.5,0.83,0.06,0.06
Alexander Isak\Alexander-Isak,FW,Real Sociedad,es La Liga,20,26.0,1.85,0.31,0.04
Isco\Isco,MFFW,Real Madrid,es La Liga,28,10.1,3.86,0.20,0.00
Ardian Ismajli\Ardian-Ismajli,DF,Spezia,it Serie A,23,14.4,0.56,0.00,0.00
Branislav Ivanović\Branislav-Ivanovic,DF,West Brom,eng Premier League,36,8.5,0.12,0.00,0.00
Alex Iwobi\Alex-Iwobi,FWDF,Everton,eng Premier League,24,17.1,2.69,0.12,0.06
Jairo Izquierdo\Jairo-Izquierdo,MFDF,Cádiz,es La Liga,26,14.2,0.99,0.00,0.07
José Izquierdo\Jose-Izquierdo,DF,Brighton,eng Premier League,28,0.1,10.0,0.00,0.00
Armando Izzo\Armando-Izzo,DF,Torino,it Serie A,28,22.3,1.12,0.04,0.04
Phil Jagielka\Phil-Jagielka,DF,Sheffield Utd,eng Premier League,37,5.8,0.17,0.00,0.00
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,FWMF,Brighton,eng Premier League,26,5.9,3.39,0.17,0.00
Mato Jajalo\Mato-Jajalo,MF,Udinese,it Serie A,32,0.4,0.00,0.00,0.00
Ismail Jakobs\Ismail-Jakobs,DFMF,Köln,de Bundesliga,20,19.2,1.46,0.05,0.00
Daniel James\Daniel-James,FW,Manchester Utd,eng Premier League,22,10.1,1.58,0.00,0.00
Reece James\Reece-James,DF,Chelsea,eng Premier League,20,26.4,2.80,0.11,0.08
Alexandre Jankewitz\Alexandre-Jankewitz,MF,Southampton,eng Premier League,18,0.0,1,0,0
Saidy Janko\Saidy-Janko,DF,Valladolid,es La Liga,24,13.6,1.10,0.00,0.00
Jakub Jankto\Jakub-Jankto,MF,Sampdoria,it Serie A,24,26.8,1.90,0.07,0.00
Tony Jantschke\Tony-Jantschke,DF,M'Gladbach,de Bundesliga,30,3.0,1.00,0.00,0.00
Adnan Januzaj\Adnan-Januzaj,FWMF,Real Sociedad,es La Liga,25,11.3,4.87,0.44,0.00
Rune Jarstein\Rune-Jarstein,GK,Hertha BSC,de Bundesliga,35,8.0,0.00,0.00,0.00
Jason\Jason,MFDF,Valencia,es La Liga,26,4.9,2.04,0.20,0.00
Luis Javier Suárez\Luis-Javier-Suarez,FWMF,Granada,es La Liga,22,18.5,2.27,0.38,0.16
Corentin Jean\Corentin-Jean,FWMF,Lens,fr Ligue 1,25,6.4,3.59,0.47,0.16
Daniel Jebbison\Daniel-Jebbison,FW,Sheffield Utd,eng Premier League,17,3.2,1.25,0.00,0.31
Tin Jedvaj\Tin-Jedvaj,DF,Leverkusen,de Bundesliga,24,1.7,0.59,0.00,0.00
Fredrik Jensen\Fredrik-Jensen,FWMF,Augsburg,de Bundesliga,22,4.2,2.14,0.24,0.00
Jesé\Jese,FW,Paris S-G,fr Ligue 1,27,0.3,0.00,0.00,0.00
Gabriel Jesus\Gabriel-Jesus,FW,Manchester City,eng Premier League,23,22.9,3.10,0.31,0.04
Juan Jesus\Juan-Jesus,DF,Roma,it Serie A,29,1.7,0.00,0.00,0.00
Raúl Jiménez\Raul-Jimenez,FW,Wolves,eng Premier League,29,9.1,2.42,0.33,0.22
Joaquín\Joaquin,FWMF,Betis,es La Liga,39,14.3,3.29,0.07,0.00
John Joe\John-Joe,MFDF,Getafe,es La Liga,16,0.7,0.00,0.00,0.00
Joelinton\Joelinton,FWMF,Newcastle Utd,eng Premier League,23,22.0,2.36,0.27,0.14
Marco John\Marco-John,DF,Hoffenheim,de Bundesliga,18,11.1,1.80,0.09,0.00
Ben Johnson\Ben-Johnson,DF,West Ham,eng Premier League,20,5.8,0.86,0.00,0.00
Sam Johnstone\Sam-Johnstone,GK,West Brom,eng Premier League,27,37.0,0.08,0.00,0.00
Curtis Jones\Curtis-Jones,MF,Liverpool,eng Premier League,19,13.1,2.82,0.15,0.23
Frenkie de Jong\Frenkie-de-Jong,MFDF,Barcelona,es La Liga,23,35.0,2.46,0.06,0.00
Luuk de Jong\Luuk-de-Jong,FW,Sevilla,es La Liga,29,14.1,1.77,0.07,0.00
Jony\Jony,MFFW,Osasuna,es La Liga,29,9.7,4.33,0.52,0.10
Joan Jordán\Joan-Jordan,MF,Sevilla,es La Liga,26,26.7,2.73,0.07,0.04
Jorginho\Jorginho,MF,Chelsea,eng Premier League,28,22.3,2.29,0.04,0.09
Josan\Josan,MFDF,Elche,es La Liga,30,21.4,1.40,0.05,0.05
Willian José\Willian-Jose,FW,Wolves,eng Premier League,28,12.3,1.54,0.08,0.08
Willian José\Willian-Jose,FW,Real Sociedad,es La Liga,28,7.7,1.56,0.00,0.00
Joselu\Joselu,FW,Alavés,es La Liga,30,33.6,1.73,0.15,0.09
Josema\Josema,DF,Elche,es La Liga,24,21.8,0.64,0.00,0.00
Jota\Jota,FW,Valladolid,es La Liga,21,7.4,,,
Jota\Jota,MF,Alavés,es La Liga,29,15.5,1.74,0.13,0.06
Diogo Jota\Diogo-Jota,FW,Liverpool,eng Premier League,23,12.4,2.74,0.16,0.16
Stevan Jovetić\Stevan-Jovetic,FWMF,Monaco,fr Ligue 1,30,8.9,4.04,0.45,0.00
Luka Jović\Luka-Jovic,FWMF,Real Madrid,es La Liga,22,1.7,2.35,0.00,0.00
