,,,,,,Tota,
Player,Pos,Squad,Comp,Age,90s,Cmp%,Prog
,,,,,,,
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,es La Liga,32,18.8,75.9,2.39
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,fr Ligue 1,21,18.2,87.8,2.36
Fodé Ballo-Touré\Fode-Ballo-Toure,DF,Monaco,fr Ligue 1,23,7.4,81.9,4.05
Botond Balogh\Botond-Balogh,DF,Parma,it Serie A,18,1.8,74.7,1.67
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,fr Ligue 1,30,15.0,76.6,3.60
Jonathan Bamba\Jonathan-Bamba,MF,Lille,fr Ligue 1,24,33.2,78.7,3.43
Robson Bambu\Robson-Bambu,DF,Nice,fr Ligue 1,22,11.6,88.2,1.55
Patrick Bamford\Patrick-Bamford,FW,Leeds United,eng Premier League,26,33.9,76.3,0.91
Mattia Bani\Mattia-Bani,DF,Genoa,it Serie A,26,10.2,84.6,1.47
Mattia Bani\Mattia-Bani,DF,Parma,it Serie A,26,12.7,90.8,1.81
Simon Banza\Simon-Banza,FW,Lens,fr Ligue 1,23,15.2,74.5,1.38
Antonín Barák\Antonin-Barak,MFFW,Hellas Verona,it Serie A,25,30.7,78.2,4.43
Federico Barba\Federico-Barba,DF,Benevento,it Serie A,26,29.5,80.4,2.47
Danilo Barbosa\Danilo-Barbosa,DF,Nice,fr Ligue 1,24,2.8,88.1,3.21
Barcia\Barcia,DF,Granada,es La Liga,19,1.0,38.2,1.00
Melvin Bard\Melvin-Bard,DF,Lyon,fr Ligue 1,19,4.8,80.7,6.25
Enis Bardhi\Enis-Bardhi,MFFW,Levante,es La Liga,25,18.7,74.9,4.49
Phil Bardsley\Phil-Bardsley,DF,Burnley,eng Premier League,35,3.0,70.3,3.67
Nicolò Barella\Nicolo-Barella,MF,Inter,it Serie A,23,32.2,83.0,6.89
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,de Bundesliga,31,0.3,90.9,6.67
Kike Barja\Kike-Barja,MFFW,Osasuna,es La Liga,23,15.9,69.1,2.83
Ross Barkley\Ross-Barkley,MF,Aston Villa,eng Premier League,26,17.0,81.0,4.47
Ross Barkley\Ross-Barkley,MF,Chelsea,eng Premier League,26,0.5,84.6,4.00
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,de Bundesliga,22,10.9,72.5,3.76
Ashley Barnes\Ashley-Barnes,FW,Burnley,eng Premier League,30,14.8,63.5,1.35
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,eng Premier League,22,21.6,74.8,2.87
Marc Baró\Marc-Baro,DF,Cádiz,es La Liga,20,1.0,52.6,0.00
Antonio Barragán\Antonio-Barragan,DF,Elche,es La Liga,33,24.8,82.9,2.78
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,it Serie A,25,0.9,64.6,5.56
Leandro Barreiro Martins\Leandro-Barreiro-Martins,MF,Mainz 05,de Bundesliga,20,25.6,66.5,2.19
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,es La Liga,18,14.5,71.5,1.93
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,de Bundesliga,25,12.3,77.9,2.44
Musa Barrow\Musa-Barrow,FWMF,Bologna,it Serie A,21,32.5,71.3,2.71
Kyle Bartley\Kyle-Bartley,DF,West Brom,eng Premier League,29,28.7,77.9,1.05
Paolo Bartolomei\Paolo-Bartolomei,MF,Spezia,it Serie A,30,3.6,72.4,2.78
Marc Bartra\Marc-Bartra,DF,Betis,es La Liga,29,18.8,81.2,1.60
Daniele Baselli\Daniele-Baselli,MF,Torino,it Serie A,28,4.4,75.2,5.68
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,eng Premier League,32,28.6,81.4,2.17
Toma Bašić\Toma-Basic,MF,Bordeaux,fr Ligue 1,23,28.9,82.2,2.80
Álvaro Bastida\Alvaro-Bastida,MF,Cádiz,es La Liga,16,0.4,50.0,5.00
Alessandro Bastoni\Alessandro-Bastoni,DF,Inter,it Serie A,21,32.5,89.9,3.85
Simone Bastoni\Simone-Bastoni,DF,Spezia,it Serie A,23,16.9,75.7,4.56
Bastos\Bastos,DF,Lazio,it Serie A,29,0.7,92.9,2.86
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,eng Premier League,26,8.1,70.2,1.36
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,es La Liga,29,27.7,84.2,1.77
Cristian Battocchio\Cristian-Battocchio,MFFW,Brest,fr Ligue 1,28,3.9,80.4,3.33
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31.0,78.8,0.06
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,de Bundesliga,32,11.9,86.7,4.71
Christoph Baumgartner\Christoph-Baumgartner,MFFW,Hoffenheim,de Bundesliga,20,26.3,76.0,3.73
Jon Bautista\Jon-Bautista,FWMF,Real Sociedad,es La Liga,25,4.1,61.8,0.98
Paul Baysse\Paul-Baysse,DF,Bordeaux,fr Ligue 1,32,29.0,89.6,2.48
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,de Bundesliga,23,0.4,46.2,0.00
Ihlas Bebou\Ihlas-Bebou,FW,Hoffenheim,de Bundesliga,26,24.4,75.8,1.97
Rodrigo Becão\Rodrigo-Becao,DF,Udinese,it Serie A,24,30.9,87.8,1.94
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,de Bundesliga,25,12.3,63.1,1.87
Timo Becker\Timo-Becker,DF,Schalke 04,de Bundesliga,23,18.2,77.2,1.92
Jan Bednarek\Jan-Bednarek,DF,Southampton,eng Premier League,24,34.4,84.6,2.33
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,eng Premier League,23,5.8,84.2,1.72
Valon Behrami\Valon-Behrami,MF,Genoa,it Serie A,35,9.9,75.3,2.12
Brian Behrendt\Brian-Behrendt,DF,Arminia,de Bundesliga,28,0.9,73.2,5.56
Maximilian Beier\Maximilian-Beier,FWDF,Hoffenheim,de Bundesliga,17,0.1,100.0,0.00
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,de Bundesliga,28,6.6,71.5,1.21
Erwan Belhadji\Erwan-Belhadji,MF,Dijon,fr Ligue 1,19,0.3,85.7,3.33
Haris Belkebla\Haris-Belkebla,MF,Brest,fr Ligue 1,26,30.3,87.4,2.74
Stefan Bell\Stefan-Bell,DF,Mainz 05,de Bundesliga,28,14.1,78.7,1.99
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,de Bundesliga,30,8.9,70.9,3.03
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,fr Ligue 1,22,23.2,77.8,1.77
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,eng Premier League,25,23.2,82.9,3.79
Jude Bellingham\Jude-Bellingham,MF,Dortmund,de Bundesliga,17,18.9,83.2,4.02
Andrea Belotti\Andrea-Belotti,FW,Torino,it Serie A,26,32.1,69.0,1.78
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,es La Liga,21,15.5,90.8,2.19
Sami Ben Amar\Sami-Ben-Amar,MF,Nîmes,fr Ligue 1,22,0.1,66.7,0.00
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,fr Ligue 1,33,18.9,79.3,3.65
